Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
16,SDG,2016-09-18,1,3,3,23,14,93,1,0,53.8,18.2,Sun,2,2,,JAX,W 38-14,25,10,10,5,13,7,53.8,0,0,,388,3,3,23,14,93,17,116,2,2,2,1,0,0,357,63,5.67,63,6.16,1,34:52,3:14,20,6,13,1,11,2,18.2,2,1,50.0,5,5,5,1,1,0,0,0
17,SDG,2014-12-20,3,3,8,38,9,92,1,0,50.0,45.5,Sat,15,16,@,SFO,W 38-35 (OT),28,6,19,3,16,8,50.0,3,3,100.0,447,3,8,38,9,92,17,130,5,5,5,1,0,0,446,80,5.58,66,6.77,3,34:19,3:51,21,12,6,3,11,5,45.5,1,0,0.0,5,5,5,1,1,0,0,0
18,SDG,2015-10-04,0,1,6,31,12,91,3,4,27.3,30.8,Sun,4,4,,CLE,W 30-27,23,3,15,5,11,3,27.3,0,0,,432,1,6,31,12,91,18,122,2,1,1,4,4,0,438,61,7.18,66,6.55,0,25:41,3:15,20,2,16,2,13,4,30.8,0,0,,3,3,3,3,3,0,0,0
19,SDG,2014-11-23,3,3,8,85,9,90,2,1,33.3,42.9,Sun,11,12,,STL,W 27-24,19,4,15,0,12,4,33.3,0,0,,317,3,8,85,9,90,17,175,3,3,3,2,1,0,410,60,6.83,61,5.20,3,31:09,3:11,16,5,9,2,14,6,42.9,1,1,100.0,3,3,3,2,2,0,0,0
20,LAC,2020-09-20,1,0,6,40,11,90,2,3,46.2,46.7,Sun,2,2,,KAN,L 20-23 (OT),28,13,14,1,13,6,46.2,2,1,50.0,414,0,6,40,11,90,17,130,2,1,0,3,3,0,479,79,6.06,70,5.91,1,39:27,3:19,23,8,15,0,15,7,46.7,1,1,100.0,2,2,2,2,2,0,0,0
21,LAC,2020-10-04,2,1,7,60,8,90,1,1,40.0,45.5,Sun,4,4,@,TAM,L 31-38,15,4,9,2,10,4,40.0,1,1,100.0,484,1,7,60,8,90,15,150,5,5,5,2,1,0,324,50,6.48,73,6.63,2,25:05,3:09,28,6,20,2,11,5,45.5,0,0,,4,4,4,2,1,0,0,0
22,LAC,2020-11-22,1,1,9,78,8,88,2,0,60.0,45.5,Sun,10,11,,NYJ,W 34-28,28,5,18,5,15,9,60.0,1,0,0.0,292,1,9,78,8,88,17,166,4,4,2,0,0,1,376,78,4.82,55,5.31,1,36:28,3:10,20,6,9,5,11,5,45.5,2,1,50.0,4,4,4,2,2,0,0,0
23,SDG,2015-10-12,2,1,7,54,8,86,2,1,28.6,35.7,Mon,5,5,,PIT,L 20-24,24,2,20,2,14,4,28.6,0,0,,349,1,7,54,8,86,15,140,3,3,3,1,1,0,406,69,5.88,56,6.23,2,33:43,3:08,14,8,5,1,14,5,35.7,0,0,,2,2,2,3,2,0,0,0
24,LAC,2017-12-31,0,2,7,65,6,85,1,1,53.8,36.4,Sun,16,17,,OAK,W 30-10,26,9,15,2,13,7,53.8,1,0,0.0,336,2,7,65,6,85,13,150,1,1,1,1,1,0,495,68,7.28,53,6.34,0,33:20,2:57,14,6,7,1,11,4,36.4,3,0,0.0,3,4,3,2,1,0,0,0
25,LAC,2020-11-29,1,3,5,91,9,85,1,2,18.8,44.4,Sun,11,12,@,BUF,L 17-27,24,5,16,3,16,3,18.8,5,4,80.0,332,3,5,91,9,85,14,176,3,3,3,2,2,0,367,79,4.65,58,5.72,1,30:04,3:13,23,11,8,4,9,4,44.4,0,0,,2,1,0,1,1,1,1,0
