Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
16,MIN,2014-12-28,1,0,4,25,8,50,2,3,53.3,26.7,Sun,16,17,,CHI,W 13-9,15,6,9,0,15,8,53.3,1,0,0.0,264,0,4,25,8,50,12,75,0,0,0,4,3,0,311,61,5.10,59,4.47,1,28:27,2:53,12,5,7,0,15,4,26.7,3,2,66.7,1,1,1,2,2,0,0,0
17,MIN,2015-09-14,1,1,5,25,8,57,1,2,11.1,41.7,Mon,1,1,@,SFO,L 3-20,17,5,11,1,9,1,11.1,2,0,0.0,395,1,5,25,8,57,13,82,2,2,2,3,2,0,248,54,4.59,66,5.98,1,26:58,2:49,25,14,8,3,12,5,41.7,0,0,,0,0,0,2,1,0,0,0
18,MIN,2015-09-20,1,3,10,97,6,39,2,1,50.0,46.2,Sun,2,2,,DET,W 26-16,20,12,7,1,14,7,50.0,1,1,100.0,323,3,10,97,6,39,16,136,2,1,1,1,1,0,350,61,5.74,70,4.61,1,31:06,3:17,25,2,17,6,13,6,46.2,2,2,100.0,3,3,2,2,2,0,0,0
19,MIN,2015-09-27,1,2,3,39,7,74,1,0,33.3,47.1,Sun,3,3,,SDG,W 31-14,18,8,8,2,9,3,33.3,0,0,,369,2,3,39,7,74,10,113,2,2,2,0,0,0,284,55,5.16,72,5.13,1,26:31,3:00,21,8,12,1,17,8,47.1,1,0,0.0,4,4,4,1,1,0,0,0
20,MIN,2015-10-04,1,2,9,63,8,40,2,3,37.5,22.2,Sun,4,4,@,DEN,L 20-23,19,5,13,1,16,6,37.5,2,2,100.0,344,2,9,63,8,40,17,103,2,2,2,3,3,0,325,69,4.71,53,6.49,1,33:54,3:00,18,4,11,3,9,2,22.2,1,1,100.0,2,2,2,3,2,0,0,0
21,MIN,2015-10-18,2,1,5,50,8,95,3,1,35.3,25.0,Sun,5,6,,KAN,W 16-10,16,4,10,2,17,6,35.3,1,1,100.0,328,1,5,50,8,95,13,145,1,1,1,1,1,0,321,68,4.72,57,5.75,2,33:07,3:02,16,2,13,1,12,3,25.0,2,0,0.0,1,1,1,3,3,0,0,0
22,MIN,2015-10-25,1,0,3,31,5,30,5,1,38.5,10.0,Sun,6,7,@,DET,W 28-19,25,7,16,2,13,5,38.5,1,0,0.0,274,0,3,31,5,30,8,61,2,2,2,1,1,1,425,74,5.74,50,5.48,1,36:27,3:02,14,3,9,2,10,1,10.0,2,0,0.0,2,2,1,5,5,0,0,0
23,MIN,2015-11-01,1,0,4,35,4,38,3,2,41.7,25.0,Sun,7,8,@,CHI,W 23-20,17,8,7,2,12,5,41.7,0,0,,305,0,4,35,4,38,8,73,2,2,2,3,2,0,327,56,5.84,59,5.17,1,27:18,2:58,18,6,11,1,12,3,25.0,1,1,100.0,2,2,2,3,3,0,0,0
24,MIN,2015-11-08,1,0,6,67,12,87,2,4,23.1,12.5,Sun,8,9,,STL,W 21-18 (OT),21,9,6,6,13,3,23.1,0,0,,320,0,6,67,12,87,18,154,1,0,0,5,4,0,293,63,4.65,70,4.57,1,33:13,3:31,18,10,5,3,16,2,12.5,1,1,100.0,2,1,1,2,2,1,1,0
25,MIN,2015-11-15,0,2,3,15,8,82,3,0,36.4,50.0,Sun,9,10,@,OAK,W 30-14,21,13,6,2,11,4,36.4,0,0,,371,2,3,15,8,82,11,97,2,2,2,0,0,0,385,59,6.53,64,5.80,0,33:01,3:06,20,5,15,0,14,7,50.0,0,0,,3,3,3,5,3,0,0,0
26,MIN,2015-11-22,1,0,8,110,4,19,0,5,38.5,37.5,Sun,10,11,,GNB,L 13-30,16,5,11,0,13,5,38.5,2,0,0.0,320,0,8,110,4,19,12,129,2,1,1,5,5,0,342,62,5.52,70,4.57,1,29:38,3:15,19,6,10,3,16,6,37.5,0,0,,2,2,1,0,0,0,0,0
27,MIN,2015-11-29,1,3,9,53,6,78,2,1,58.3,45.5,Sun,11,12,@,ATL,W 20-10,24,11,10,3,12,7,58.3,0,0,,326,3,9,53,6,78,15,131,1,1,1,1,1,0,365,67,5.45,57,5.72,1,33:28,2:53,22,2,14,6,11,5,45.5,1,0,0.0,2,2,2,3,2,0,0,0
28,MIN,2015-12-06,1,1,9,95,9,65,0,1,20.0,69.2,Sun,12,13,,SEA,L 7-38,9,1,7,1,10,2,20.0,1,0,0.0,433,1,9,95,9,65,18,160,5,5,5,1,1,0,125,48,2.60,66,6.56,1,24:50,2:55,25,11,11,3,13,9,69.2,1,1,100.0,1,1,1,0,0,0,0,0
