Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Kansas City Chiefs,Houston Texans,1,369,360,0,1
Atlanta Falcons,Seattle Seahawks,0,506,383,2,0
Buffalo Bills,New York Jets,1,404,254,2,2
Carolina Panthers,Las Vegas Raiders,0,388,372,0,0
Detroit Lions,Chicago Bears,0,426,363,1,0
Baltimore Ravens,Cleveland Browns,1,381,306,1,3
Jacksonville Jaguars,Indianapolis Colts,1,241,445,0,2
Minnesota Vikings,Green Bay Packers,0,382,522,1,0
New England Patriots,Miami Dolphins,1,357,269,1,3
Washington Football Team,Philadelphia Eagles,1,239,265,0,3
Cincinnati Bengals,Los Angeles Chargers,0,295,362,2,0
San Francisco 49ers,Arizona Cardinals,0,366,404,0,1
New Orleans Saints,Tampa Bay Buccaneers,1,271,310,0,3
Los Angeles Rams,Dallas Cowboys,1,422,380,1,0
New York Giants,Pittsburgh Steelers,0,291,349,2,1
Denver Broncos,Tennessee Titans,0,323,377,1,0
Cleveland Browns,Cincinnati Bengals,1,434,353,1,1
Dallas Cowboys,Atlanta Falcons,1,570,380,3,0
Miami Dolphins,Buffalo Bills,0,410,523,0,1
Tampa Bay Buccaneers,Carolina Panthers,1,339,427,2,4
Chicago Bears,New York Giants,1,304,295,2,2
Indianapolis Colts,Minnesota Vikings,1,354,175,1,3
Pittsburgh Steelers,Denver Broncos,1,410,319,2,2
Green Bay Packers,Detroit Lions,1,488,307,0,1
Tennessee Titans,Jacksonville Jaguars,1,354,480,0,2
New York Jets,San Francisco 49ers,0,277,359,0,1
Philadelphia Eagles,Los Angeles Rams,0,363,449,3,1
Arizona Cardinals,Washington Football Team,1,438,316,1,2
Houston Texans,Baltimore Ravens,0,304,407,2,0
Los Angeles Chargers,Kansas City Chiefs,0,479,414,1,0
Seattle Seahawks,New England Patriots,1,429,464,1,1
Las Vegas Raiders,New Orleans Saints,1,377,424,1,1
Jacksonville Jaguars,Miami Dolphins,0,318,294,2,0
Atlanta Falcons,Chicago Bears,0,371,437,1,2
Buffalo Bills,Los Angeles Rams,1,375,478,2,2
Philadelphia Eagles,Cincinnati Bengals,1,378,304,2,0
Cleveland Browns,Washington Football Team,1,300,309,0,5
Pittsburgh Steelers,Houston Texans,1,387,260,0,1
Minnesota Vikings,Tennessee Titans,0,464,444,3,1
New England Patriots,Las Vegas Raiders,1,406,375,1,3
New York Giants,San Francisco 49ers,0,231,420,3,0
Los Angeles Chargers,Carolina Panthers,0,436,302,4,0
Indianapolis Colts,New York Jets,1,353,260,0,3
Arizona Cardinals,Detroit Lions,0,377,322,3,0
Seattle Seahawks,Dallas Cowboys,1,412,522,1,3
Denver Broncos,Tampa Bay Buccaneers,0,226,353,2,0
New Orleans Saints,Green Bay Packers,0,397,369,1,0
Baltimore Ravens,Kansas City Chiefs,0,228,517,1,1
New York Jets,Denver Broncos,0,321,359,0,3
Carolina Panthers,Arizona Cardinals,1,444,262,1,1
Chicago Bears,Indianapolis Colts,0,269,289,1,0
Cincinnati Bengals,Jacksonville Jaguars,1,505,429,1,1
Dallas Cowboys,Cleveland Browns,0,566,508,3,0
Detroit Lions,New Orleans Saints,0,281,392,1,1
Houston Texans,Minnesota Vikings,0,386,410,1,0
Miami Dolphins,Seattle Seahawks,0,415,441,2,1
Washington Football Team,Baltimore Ravens,0,343,350,1,2
Tampa Bay Buccaneers,Los Angeles Chargers,1,484,324,1,2
Los Angeles Rams,New York Giants,1,240,295,1,1
Las Vegas Raiders,Buffalo Bills,0,383,337,2,0
San Francisco 49ers,Philadelphia Eagles,0,417,267,3,1
Kansas City Chiefs,New England Patriots,1,323,357,1,4
Green Bay Packers,Atlanta Falcons,1,403,327,0,0
Chicago Bears,Tampa Bay Buccaneers,1,243,339,1,1
Atlanta Falcons,Carolina Panthers,0,373,437,1,0
Baltimore Ravens,Cincinnati Bengals,1,332,205,1,3
New York Jets,Arizona Cardinals,0,285,496,0,1
Houston Texans,Jacksonville Jaguars,1,486,364,2,2
Kansas City Chiefs,Las Vegas Raiders,0,413,490,1,1
Pittsburgh Steelers,Philadelphia Eagles,1,367,336,1,2
Washington Football Team,Los Angeles Rams,0,108,429,0,1
San Francisco 49ers,Miami Dolphins,0,259,436,3,0
Cleveland Browns,Indianapolis Colts,1,385,308,2,2
Dallas Cowboys,New York Giants,1,402,300,2,1
Seattle Seahawks,Minnesota Vikings,1,314,449,1,2
New Orleans Saints,Los Angeles Chargers,1,408,350,1,0
Tennessee Titans,Buffalo Bills,1,334,370,0,3
New England Patriots,Denver Broncos,0,288,299,3,2
Jacksonville Jaguars,Detroit Lions,0,275,403,2,1
Minnesota Vikings,Atlanta Falcons,0,365,462,3,1
Carolina Panthers,Chicago Bears,0,303,261,3,1
Indianapolis Colts,Cincinnati Bengals,1,430,398,2,1
Pittsburgh Steelers,Cleveland Browns,1,277,220,0,2
Tennessee Titans,Houston Texans,1,607,412,2,0
New York Giants,Washington Football Team,1,240,337,1,2
Philadelphia Eagles,Baltimore Ravens,0,364,355,1,0
Miami Dolphins,New York Jets,1,302,263,2,1
Tampa Bay Buccaneers,Green Bay Packers,1,324,201,0,2
San Francisco 49ers,Los Angeles Rams,1,390,311,0,1
Buffalo Bills,Kansas City Chiefs,0,206,466,1,1
Dallas Cowboys,Arizona Cardinals,0,344,438,4,0
Philadelphia Eagles,New York Giants,1,442,325,1,3
Houston Texans,Green Bay Packers,0,365,379,1,0
Tennessee Titans,Pittsburgh Steelers,0,292,362,0,3
