Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Atlanta Falcons,Carolina Panthers,0,213,332,2,1
Buffalo Bills,Miami Dolphins,1,351,262,0,2
Chicago Bears,San Francisco 49ers,0,324,467,1,0
New York Jets,Cincinnati Bengals,1,511,318,3,1
Cleveland Browns,Pittsburgh Steelers,0,306,370,1,0
Indianapolis Colts,Tennessee Titans,0,307,340,3,2
Detroit Lions,Philadelphia Eagles,0,228,350,1,0
Houston Texans,Los Angeles Rams,0,323,467,1,0
Seattle Seahawks,Jacksonville Jaguars,1,229,309,0,1
Los Angeles Chargers,New England Patriots,0,369,352,2,1
New Orleans Saints,Tampa Bay Buccaneers,1,361,421,0,3
Denver Broncos,Washington Football Team,1,273,342,1,2
Minnesota Vikings,Dallas Cowboys,0,278,419,0,2
Kansas City Chiefs,New York Giants,1,368,300,2,1
Indianapolis Colts,New York Jets,1,532,486,0,2
New Orleans Saints,Atlanta Falcons,0,376,366,1,0
Jacksonville Jaguars,Buffalo Bills,1,218,301,1,3
Dallas Cowboys,Denver Broncos,0,290,407,2,0
Baltimore Ravens,Minnesota Vikings,1,500,318,2,0
Carolina Panthers,New England Patriots,0,240,273,3,2
Cincinnati Bengals,Cleveland Browns,0,348,361,3,0
Miami Dolphins,Houston Texans,1,262,272,5,4
New York Giants,Las Vegas Raiders,1,247,403,1,3
Philadelphia Eagles,Los Angeles Chargers,0,331,445,0,0
San Francisco 49ers,Arizona Cardinals,0,337,437,3,0
Kansas City Chiefs,Green Bay Packers,1,237,301,0,2
Los Angeles Rams,Tennessee Titans,0,347,194,2,1
Pittsburgh Steelers,Chicago Bears,1,280,414,1,2
Miami Dolphins,Baltimore Ravens,1,350,304,0,2
Dallas Cowboys,Atlanta Falcons,1,431,214,1,3
New York Jets,Buffalo Bills,0,366,489,5,2
Pittsburgh Steelers,Detroit Lions,1,387,306,3,0
Tennessee Titans,New Orleans Saints,1,264,373,0,1
Washington Football Team,Tampa Bay Buccaneers,1,320,273,1,2
New England Patriots,Cleveland Browns,1,452,217,0,1
Indianapolis Colts,Jacksonville Jaguars,1,295,331,0,1
Los Angeles Chargers,Minnesota Vikings,0,253,381,1,1
Arizona Cardinals,Carolina Panthers,0,169,341,2,2
Denver Broncos,Philadelphia Eagles,0,308,386,1,1
Green Bay Packers,Seattle Seahawks,1,393,208,1,2
Las Vegas Raiders,Kansas City Chiefs,0,299,516,2,1
San Francisco 49ers,Los Angeles Rams,1,335,278,0,2
Atlanta Falcons,New England Patriots,0,165,308,4,1
Buffalo Bills,Indianapolis Colts,0,311,370,4,0
Chicago Bears,Baltimore Ravens,0,353,299,1,1
Tennessee Titans,Houston Texans,0,420,190,5,0
Jacksonville Jaguars,San Francisco 49ers,0,200,333,2,0
Philadelphia Eagles,New Orleans Saints,1,380,323,1,3
Carolina Panthers,Washington Football Team,0,297,369,0,1
Cleveland Browns,Detroit Lions,1,349,245,2,2
Minnesota Vikings,Green Bay Packers,1,408,467,0,0
New York Jets,Miami Dolphins,0,380,388,1,1
Las Vegas Raiders,Cincinnati Bengals,0,278,288,2,1
Kansas City Chiefs,Dallas Cowboys,1,370,276,2,3
Seattle Seahawks,Arizona Cardinals,0,266,413,0,0
Los Angeles Chargers,Pittsburgh Steelers,1,533,300,1,0
Tampa Bay Buccaneers,New York Giants,1,402,215,1,3
