Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Indianapolis Colts,Kansas City Chiefs,1,259,315,1,2
Minnesota Vikings,Detroit Lions,1,373,416,1,1
New England Patriots,Baltimore Ravens,0,447,394,4,2
Tennessee Titans,Las Vegas Raiders,1,361,396,1,1
Washington Commanders,Philadelphia Eagles,0,240,400,1,0
Los Angeles Chargers,Jacksonville Jaguars,0,312,413,2,0
Seattle Seahawks,Atlanta Falcons,0,420,386,1,2
Arizona Cardinals,Los Angeles Rams,0,365,339,0,1
Tampa Bay Buccaneers,Green Bay Packers,0,285,315,2,2
Denver Broncos,San Francisco 49ers,1,261,267,0,3
New York Giants,Dallas Cowboys,0,336,391,1,0
Cincinnati Bengals,Miami Dolphins,1,371,378,0,2
New Orleans Saints,Minnesota Vikings,0,338,344,2,1
Atlanta Falcons,Cleveland Browns,1,333,403,1,2
Baltimore Ravens,Buffalo Bills,0,296,326,2,2
New York Giants,Chicago Bears,1,333,304,2,3
Indianapolis Colts,Tennessee Titans,0,365,243,3,0
Dallas Cowboys,Washington Commanders,1,279,297,0,2
Detroit Lions,Seattle Seahawks,0,520,555,2,1
Houston Texans,Los Angeles Chargers,0,346,419,2,1
Philadelphia Eagles,Jacksonville Jaguars,1,401,219,1,5
Pittsburgh Steelers,New York Jets,0,297,348,4,2
Carolina Panthers,Arizona Cardinals,0,220,338,3,1
Las Vegas Raiders,Denver Broncos,1,385,299,0,1
Green Bay Packers,New England Patriots,1,443,271,2,1
Tampa Bay Buccaneers,Kansas City Chiefs,0,376,417,2,1
San Francisco 49ers,Los Angeles Rams,1,327,257,0,2
Denver Broncos,Indianapolis Colts,0,375,306,2,2
Green Bay Packers,New York Giants,0,301,338,0,0
Tampa Bay Buccaneers,Atlanta Falcons,1,420,261,0,0
Buffalo Bills,Pittsburgh Steelers,1,552,364,2,2
Minnesota Vikings,Chicago Bears,1,429,271,1,1
Cleveland Browns,Los Angeles Chargers,0,443,465,1,0
New England Patriots,Detroit Lions,1,364,312,1,2
Jacksonville Jaguars,Houston Texans,0,422,248,2,0
New York Jets,Miami Dolphins,1,322,295,0,2
New Orleans Saints,Seattle Seahawks,1,438,396,2,1
Washington Commanders,Tennessee Titans,0,385,241,1,0
Carolina Panthers,San Francisco 49ers,0,308,397,1,1
Arizona Cardinals,Philadelphia Eagles,0,363,357,1,0
Los Angeles Rams,Dallas Cowboys,0,323,239,3,0
Baltimore Ravens,Cincinnati Bengals,1,325,291,1,1
Kansas City Chiefs,Las Vegas Raiders,1,368,378,0,0
Chicago Bears,Washington Commanders,0,391,214,2,0
Atlanta Falcons,San Francisco 49ers,1,289,346,0,3
New Orleans Saints,Cincinnati Bengals,0,399,348,0,1
Cleveland Browns,New England Patriots,0,328,399,4,1
Indianapolis Colts,Jacksonville Jaguars,1,434,379,0,1
Green Bay Packers,New York Jets,0,278,278,1,0
Miami Dolphins,Minnesota Vikings,0,458,234,3,0
New York Giants,Baltimore Ravens,1,238,406,1,2
Pittsburgh Steelers,Tampa Bay Buccaneers,1,270,304,0,0
Los Angeles Rams,Carolina Panthers,1,360,203,1,1
Seattle Seahawks,Arizona Cardinals,1,296,315,1,2
Kansas City Chiefs,Buffalo Bills,0,387,443,2,1
Philadelphia Eagles,Dallas Cowboys,1,268,315,0,3
Los Angeles Chargers,Denver Broncos,1,297,258,1,1
Arizona Cardinals,New Orleans Saints,1,326,494,0,3
Cincinnati Bengals,Atlanta Falcons,1,537,214,0,0
Carolina Panthers,Tampa Bay Buccaneers,1,343,322,0,0
Baltimore Ravens,Cleveland Browns,1,254,336,1,2
Tennessee Titans,Indianapolis Colts,1,254,292,1,3
Dallas Cowboys,Detroit Lions,1,330,312,1,5
Washington Commanders,Green Bay Packers,1,364,232,1,1
Jacksonville Jaguars,New York Giants,0,452,436,1,0
Las Vegas Raiders,Houston Texans,1,400,404,0,1
Denver Broncos,New York Jets,0,324,260,1,0
San Francisco 49ers,Kansas City Chiefs,0,444,529,3,2
Los Angeles Chargers,Seattle Seahawks,0,329,404,2,2
Miami Dolphins,Pittsburgh Steelers,1,372,341,0,3
New England Patriots,Chicago Bears,0,260,390,4,1
Tampa Bay Buccaneers,Baltimore Ravens,0,349,453,1,0
Jacksonville Jaguars,Denver Broncos,0,305,331,2,1
Detroit Lions,Miami Dolphins,0,393,476,0,1
Philadelphia Eagles,Pittsburgh Steelers,1,401,302,0,2
Atlanta Falcons,Carolina Panthers,1,406,478,2,1
Dallas Cowboys,Chicago Bears,1,442,371,1,1
Minnesota Vikings,Arizona Cardinals,1,381,375,1,3
New Orleans Saints,Las Vegas Raiders,1,367,183,0,1
New York Jets,New England Patriots,0,387,288,3,1
Houston Texans,Tennessee Titans,0,161,354,1,2
Los Angeles Rams,San Francisco 49ers,0,223,368,0,0
Indianapolis Colts,Washington Commanders,0,324,362,2,1
Seattle Seahawks,New York Giants,1,277,225,1,2
Buffalo Bills,Green Bay Packers,1,369,398,2,1
Cleveland Browns,Cincinnati Bengals,1,440,229,2,2
Houston Texans,Philadelphia Eagles,0,303,360,2,1
New York Jets,Buffalo Bills,1,310,317,1,2
Detroit Lions,Green Bay Packers,1,254,389,1,3
Washington Commanders,Minnesota Vikings,0,263,301,1,1
Atlanta Falcons,Los Angeles Chargers,0,315,336,2,2
Cincinnati Bengals,Carolina Panthers,1,464,228,0,3
Chicago Bears,Miami Dolphins,0,368,379,0,0
New England Patriots,Indianapolis Colts,1,203,121,1,1
Jacksonville Jaguars,Las Vegas Raiders,1,403,321,1,1
Arizona Cardinals,Seattle Seahawks,0,262,421,1,1
Tampa Bay Buccaneers,Los Angeles Rams,1,323,206,0,0
Kansas City Chiefs,Tennessee Titans,1,499,229,1,0
New Orleans Saints,Baltimore Ravens,0,243,319,1,0
Carolina Panthers,Atlanta Falcons,1,333,291,0,1
Tampa Bay Buccaneers,Seattle Seahawks,1,419,283,2,1
Buffalo Bills,Minnesota Vikings,0,486,481,4,2
Miami Dolphins,Cleveland Browns,1,491,297,0,1
Tennessee Titans,Denver Broncos,1,307,313,1,1
New York Giants,Houston Texans,1,367,387,0,2
Chicago Bears,Detroit Lions,0,408,323,1,0
Kansas City Chiefs,Jacksonville Jaguars,1,486,315,3,0
Pittsburgh Steelers,New Orleans Saints,1,379,186,0,2
Las Vegas Raiders,Indianapolis Colts,0,309,415,0,1
Green Bay Packers,Dallas Cowboys,1,415,421,2,2
Los Angeles Rams,Arizona Cardinals,0,256,298,2,0
San Francisco 49ers,Los Angeles Chargers,1,387,238,1,1
Philadelphia Eagles,Washington Commanders,0,264,330,4,2
Green Bay Packers,Tennessee Titans,0,271,408,0,1
Buffalo Bills,Cleveland Browns,1,357,396,0,1
New York Giants,Detroit Lions,0,413,325,3,0
Houston Texans,Washington Commanders,0,148,344,2,0
New England Patriots,New York Jets,1,297,103,0,0
Atlanta Falcons,Chicago Bears,1,280,288,2,1
Baltimore Ravens,Carolina Panthers,1,308,205,1,3
Indianapolis Colts,Philadelphia Eagles,0,284,314,1,2
New Orleans Saints,Los Angeles Rams,1,323,336,0,0
Denver Broncos,Las Vegas Raiders,0,320,407,0,0
Pittsburgh Steelers,Cincinnati Bengals,0,351,408,0,2
Minnesota Vikings,Dallas Cowboys,0,183,458,1,0
Los Angeles Chargers,Kansas City Chiefs,0,365,485,2,1
Arizona Cardinals,San Francisco 49ers,0,314,387,2,0
Detroit Lions,Buffalo Bills,0,326,401,2,1
Dallas Cowboys,New York Giants,1,430,300,2,0
Minnesota Vikings,New England Patriots,1,358,409,1,0
Tennessee Titans,Cincinnati Bengals,0,344,374,0,0
Cleveland Browns,Tampa Bay Buccaneers,1,367,325,1,0
Miami Dolphins,Houston Texans,1,339,210,1,3
Jacksonville Jaguars,Baltimore Ravens,1,332,415,1,2
Washington Commanders,Atlanta Falcons,1,314,332,1,1
Carolina Panthers,Denver Broncos,1,349,246,1,2
New York Jets,Chicago Bears,1,466,292,0,1
Seattle Seahawks,Las Vegas Raiders,0,372,576,2,2
Arizona Cardinals,Los Angeles Chargers,0,366,311,2,0
Kansas City Chiefs,Los Angeles Rams,1,437,198,2,2
San Francisco 49ers,New Orleans Saints,1,317,260,0,2
Philadelphia Eagles,Green Bay Packers,1,500,342,1,2
Indianapolis Colts,Pittsburgh Steelers,0,290,323,2,0
New England Patriots,Buffalo Bills,0,242,355,0,1
Houston Texans,Cleveland Browns,0,283,304,4,2
Baltimore Ravens,Denver Broncos,1,285,272,2,0
Detroit Lions,Jacksonville Jaguars,1,437,266,0,1
Minnesota Vikings,New York Jets,1,287,486,0,2
New York Giants,Washington Commanders,0,316,411,1,1
Philadelphia Eagles,Tennessee Titans,1,453,209,0,0
Atlanta Falcons,Pittsburgh Steelers,0,306,351,1,0
Chicago Bears,Green Bay Packers,0,409,357,3,0
San Francisco 49ers,Miami Dolphins,1,351,308,1,4
Los Angeles Rams,Seattle Seahawks,0,319,438,2,2
Cincinnati Bengals,Kansas City Chiefs,1,431,349,0,1
Las Vegas Raiders,Los Angeles Chargers,1,404,386,2,1
Dallas Cowboys,Indianapolis Colts,1,385,309,1,5
Tampa Bay Buccaneers,New Orleans Saints,1,350,298,2,0
Los Angeles Rams,Las Vegas Raiders,1,282,302,1,2
Buffalo Bills,New York Jets,1,232,309,0,2
Cincinnati Bengals,Cleveland Browns,1,363,344,1,1
Dallas Cowboys,Houston Texans,1,404,327,3,2
Detroit Lions,Minnesota Vikings,1,464,416,0,2
Tennessee Titans,Jacksonville Jaguars,0,364,428,4,0
New York Giants,Philadelphia Eagles,0,304,437,1,0
Pittsburgh Steelers,Baltimore Ravens,0,329,309,3,0
Denver Broncos,Kansas City Chiefs,0,320,431,2,3
Seattle Seahawks,Carolina Panthers,0,287,328,2,0
San Francisco 49ers,Tampa Bay Buccaneers,1,404,322,1,3
Los Angeles Chargers,Miami Dolphins,1,432,219,0,0
Arizona Cardinals,New England Patriots,0,323,328,2,1
Seattle Seahawks,San Francisco 49ers,0,277,381,1,0
Minnesota Vikings,Indianapolis Colts,1,518,341,3,1
Cleveland Browns,Baltimore Ravens,1,283,324,0,2
Buffalo Bills,Miami Dolphins,1,446,405,1,0
New Orleans Saints,Atlanta Falcons,1,348,320,1,1
Carolina Panthers,Pittsburgh Steelers,0,209,325,0,0
Chicago Bears,Philadelphia Eagles,0,248,421,1,3
Jacksonville Jaguars,Dallas Cowboys,1,503,397,3,2
New York Jets,Detroit Lions,0,337,359,1,0
Houston Texans,Kansas City Chiefs,0,219,502,1,2
Denver Broncos,Arizona Cardinals,1,324,240,2,3
Las Vegas Raiders,New England Patriots,1,308,318,1,1
Tampa Bay Buccaneers,Cincinnati Bengals,0,396,237,4,1
Los Angeles Chargers,Tennessee Titans,1,365,284,2,1
Washington Commanders,New York Giants,0,387,288,2,0
Green Bay Packers,Los Angeles Rams,1,345,156,2,1
New York Jets,Jacksonville Jaguars,0,227,365,2,1
Baltimore Ravens,Atlanta Falcons,1,299,327,0,1
Chicago Bears,Buffalo Bills,0,209,426,2,3
Carolina Panthers,Detroit Lions,1,570,381,0,1
New England Patriots,Cincinnati Bengals,0,285,442,1,3
Cleveland Browns,New Orleans Saints,0,249,244,1,1
Tennessee Titans,Houston Texans,0,272,285,3,1
Kansas City Chiefs,Seattle Seahawks,1,297,333,0,1
Minnesota Vikings,New York Giants,1,353,445,0,2
San Francisco 49ers,Washington Commanders,1,371,349,1,2
Dallas Cowboys,Philadelphia Eagles,1,419,442,1,4
Pittsburgh Steelers,Las Vegas Raiders,1,350,201,1,3
Miami Dolphins,Green Bay Packers,0,376,301,4,1
Los Angeles Rams,Denver Broncos,1,388,323,0,4
Arizona Cardinals,Tampa Bay Buccaneers,0,325,396,3,2
Indianapolis Colts,Los Angeles Chargers,0,173,314,3,2
Tennessee Titans,Dallas Cowboys,0,317,361,2,3
Atlanta Falcons,Arizona Cardinals,1,298,339,1,0
Tampa Bay Buccaneers,Carolina Panthers,1,478,400,1,3
Detroit Lions,Chicago Bears,1,504,230,0,2
Washington Commanders,Cleveland Browns,0,260,301,3,0
New York Giants,Indianapolis Colts,1,394,252,1,1
Kansas City Chiefs,Denver Broncos,1,374,307,2,2
Houston Texans,Jacksonville Jaguars,0,277,337,1,2
New England Patriots,Miami Dolphins,1,249,333,0,2
Philadelphia Eagles,New Orleans Saints,0,313,313,1,1
Seattle Seahawks,New York Jets,1,346,279,0,3
Las Vegas Raiders,San Francisco 49ers,0,500,454,2,1
Green Bay Packers,Minnesota Vikings,1,315,346,0,4
Los Angeles Chargers,Los Angeles Rams,1,431,277,0,1
Baltimore Ravens,Pittsburgh Steelers,0,240,351,1,0
Las Vegas Raiders,Kansas City Chiefs,0,279,349,2,0
Jacksonville Jaguars,Tennessee Titans,1,222,312,1,2
Buffalo Bills,New England Patriots,1,327,341,3,3
Cincinnati Bengals,Baltimore Ravens,1,257,386,1,4
Atlanta Falcons,Tampa Bay Buccaneers,1,382,222,1,1
New Orleans Saints,Carolina Panthers,0,304,203,1,2
Chicago Bears,Minnesota Vikings,0,259,482,2,2
Pittsburgh Steelers,Cleveland Browns,1,333,307,1,2
Indianapolis Colts,Houston Texans,0,398,360,3,3
Miami Dolphins,New York Jets,1,302,187,0,0
San Francisco 49ers,Arizona Cardinals,1,311,255,0,4
Washington Commanders,Dallas Cowboys,1,309,182,1,2
Denver Broncos,Los Angeles Chargers,1,471,352,2,2
Philadelphia Eagles,New York Giants,1,342,284,1,0
Seattle Seahawks,Los Angeles Rams,1,402,269,2,1
Green Bay Packers,Detroit Lions,0,291,323,2,0
