Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Los Angeles Rams,Buffalo Bills,0,243,413,3,4
Atlanta Falcons,New Orleans Saints,0,416,385,2,1
Carolina Panthers,Cleveland Browns,0,261,355,1,0
Chicago Bears,San Francisco 49ers,1,204,331,1,2
Cincinnati Bengals,Pittsburgh Steelers,0,432,267,5,0
Houston Texans,Indianapolis Colts,1,299,517,1,2
Detroit Lions,Philadelphia Eagles,0,386,455,1,0
Washington Commanders,Jacksonville Jaguars,1,390,383,3,1
Miami Dolphins,New England Patriots,1,307,271,0,3
New York Jets,Baltimore Ravens,0,380,274,2,1
Arizona Cardinals,Kansas City Chiefs,0,282,488,0,1
Minnesota Vikings,Green Bay Packers,1,395,338,0,2
Tennessee Titans,New York Giants,0,359,394,1,2
Los Angeles Chargers,Las Vegas Raiders,1,355,320,0,3
Dallas Cowboys,Tampa Bay Buccaneers,0,244,347,1,1
Seattle Seahawks,Denver Broncos,1,253,433,1,2
Kansas City Chiefs,Los Angeles Chargers,1,319,401,0,1
New York Giants,Carolina Panthers,1,265,275,0,2
Cleveland Browns,New York Jets,0,405,402,1,1
Jacksonville Jaguars,Indianapolis Colts,1,331,218,0,3
Detroit Lions,Washington Commanders,1,425,396,0,1
Baltimore Ravens,Miami Dolphins,0,473,547,0,2
New Orleans Saints,Tampa Bay Buccaneers,0,308,260,5,1
Pittsburgh Steelers,New England Patriots,0,243,376,2,1
Los Angeles Rams,Atlanta Falcons,1,337,261,3,3
San Francisco 49ers,Seattle Seahawks,1,373,216,0,3
Dallas Cowboys,Cincinnati Bengals,1,337,254,1,0
Las Vegas Raiders,Arizona Cardinals,0,324,413,1,1
Denver Broncos,Houston Texans,1,350,234,1,0
Green Bay Packers,Chicago Bears,1,414,228,1,1
Buffalo Bills,Tennessee Titans,1,414,187,0,4
Philadelphia Eagles,Minnesota Vikings,1,486,264,1,3
Cleveland Browns,Pittsburgh Steelers,1,376,308,0,1
Miami Dolphins,Buffalo Bills,1,212,497,0,1
Carolina Panthers,New Orleans Saints,1,293,426,0,3
Chicago Bears,Houston Texans,1,363,329,2,2
New York Jets,Cincinnati Bengals,0,328,330,4,1
