Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
153,TAM,2023-11-05,251,2,81,2,1,443,53,31:20,Sun,8,9,@,HOU,L 37-39,21,30,9,70.0,251,2,0,6.7,0.0,119.4,2,14,6.25,8.4,7.84,9.70,9.09,12.0,17,53,3.1,0,30,42,71.4,443,5,3,27,0,145.1,31,81,2.6,2,332,63,5.27,62,8.00,1,31:20,3:24
154,TAM,2023-11-12,263,2,77,0,1,167,42,31:40,Sun,9,10,,TEN,W 20-6,18,29,11,62.1,263,2,1,6.9,3.4,102.4,3,15,9.38,9.1,8.22,8.90,8.06,14.6,16,42,2.6,0,19,39,48.7,167,0,4,32,1,49.8,29,77,2.7,0,340,61,5.57,59,3.54,1,31:40,2:55
155,TAM,2023-11-19,221,1,66,1,2,305,115,29:09,Sun,10,11,@,SFO,L 14-27,29,45,16,64.4,221,1,1,2.2,2.2,76.7,4,25,8.16,4.9,4.51,4.36,4.00,7.6,30,115,3.8,0,21,25,84.0,305,3,4,28,0,157.1,18,66,3.7,1,287,67,4.28,59,7.12,2,29:09,2:56
156,TAM,2023-11-26,173,2,125,0,2,239,155,28:39,Sun,11,12,@,IND,L 20-27,20,31,11,64.5,173,2,1,6.5,3.2,90.7,6,26,16.22,5.6,4.68,5.42,4.54,8.7,27,155,5.7,3,24,41,58.5,239,0,2,12,1,65.0,19,125,6.6,0,298,56,5.32,70,5.63,2,28:39,2:57
157,TAM,2023-12-03,194,1,128,2,1,149,133,26:18,Sun,12,13,,CAR,W 21-18,14,29,15,48.3,194,1,1,3.4,3.4,68.5,1,8,3.33,6.7,6.47,5.83,5.63,13.9,34,133,3.9,2,15,31,48.4,149,0,4,29,1,49.0,28,128,4.6,2,322,58,5.55,69,4.09,1,26:18,3:08
158,TAM,2023-12-10,142,2,148,1,0,338,96,31:40,Sun,13,14,@,ATL,W 29-25,14,29,15,48.3,142,2,0,6.9,0.0,86.0,1,2,3.33,4.9,4.73,6.28,6.07,10.1,26,96,3.7,2,26,40,65.0,338,1,3,9,1,89.4,37,148,4.0,1,290,67,4.33,69,6.29,0,31:40,3:02
159,TAM,2023-12-17,353,4,99,0,1,261,60,29:07,Sun,14,15,@,GNB,W 34-20,22,28,6,78.6,353,4,0,14.3,0.0,158.3,5,28,15.15,12.6,10.70,15.46,13.12,16.0,17,60,3.5,0,29,39,74.4,261,2,2,23,0,109.0,27,99,3.7,0,452,60,7.53,58,5.53,1,29:07,2:48
160,TAM,2023-12-24,265,2,70,1,0,268,37,37:07,Sun,15,16,,JAX,W 30-12,26,35,9,74.3,265,2,0,5.7,0.0,116.7,2,18,5.41,7.6,7.16,8.71,8.24,10.2,13,37,2.8,0,28,44,63.6,268,2,4,37,2,76.7,36,70,1.9,1,335,73,4.59,61,5.00,0,37:07,2:53
161,TAM,2023-12-31,292,2,57,0,4,202,108,23:22,Sun,16,17,,NOR,L 13-23,22,33,11,66.7,292,2,2,6.1,6.1,91.6,2,17,5.71,8.8,8.34,7.33,6.91,13.3,35,108,3.1,0,25,34,73.5,202,2,1,6,0,107.7,15,57,3.8,0,349,50,6.98,70,4.43,4,23:22,3:01
162,TAM,2024-01-07,115,0,113,0,0,68,131,31:24,Sun,17,18,@,CAR,W 9-0,20,32,12,62.5,115,0,0,0.0,0.0,72.0,3,22,8.57,3.6,3.29,3.59,3.29,5.8,29,131,4.5,0,11,18,61.1,68,0,3,26,0,68.7,29,113,3.9,0,228,64,3.56,50,3.98,0,31:24,2:35
