Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
79,DET,2018-12-23,137,0,86,0,0,240,100,31:28,Sun,15,16,,MIN,L 9-27,23,43,20,53.5,0,0,0.0,0.0,62.3,3,24,6.52,3.2,2.98,3.19,2.98,6.0,28,3.6,0,21,28,75.0,3,2,13,0,136.0,23,3.7,223,69,3.23,58,5.86,0,3:09
80,DET,2018-12-30,272,3,130,1,0,129,46,36:54,Sun,16,17,@,GNB,W 31-0,21,33,12,63.6,3,0,9.1,0.0,120.0,1,2,2.94,8.2,8.00,10.06,9.76,13.0,13,3.5,0,19,40,47.5,0,3,29,1,44.7,38,3.4,402,72,5.58,56,3.13,0,2:45
81,DET,2019-09-08,361,3,116,0,2,275,112,39:23,Sun,1,1,@,ARI,T 27-27 (OT),27,45,18,60.0,3,0,6.7,0.0,110.0,3,24,6.25,8.0,7.52,9.36,8.77,13.4,23,4.9,0,29,54,53.7,2,5,33,1,72.7,32,3.6,477,80,5.96,82,4.72,2,3:58
82,DET,2019-09-15,245,2,94,0,2,287,137,28:41,Sun,2,2,,LAC,W 13-10,22,30,8,73.3,2,2,6.7,6.7,91.7,0,0,0.00,8.2,8.17,6.50,6.50,11.1,25,5.5,1,21,36,58.3,0,1,6,1,72.3,28,3.4,339,58,5.84,62,6.84,2,2:55
83,DET,2019-09-22,201,1,86,1,0,246,127,27:42,Sun,3,3,@,PHI,W 27-24,18,32,14,56.3,1,0,3.1,0.0,85.5,0,0,0.00,6.3,6.28,6.91,6.91,11.2,30,4.2,1,19,36,52.8,2,3,13,0,93.1,28,3.1,287,60,4.78,69,5.41,0,3:09
84,DET,2019-09-29,261,3,186,0,2,315,123,33:55,Sun,4,4,,KAN,L 30-34,21,34,13,61.8,3,0,8.8,0.0,118.6,4,30,10.53,7.7,6.87,9.44,8.45,12.4,25,4.9,3,24,42,57.1,0,0,0,0,81.0,35,5.3,447,73,6.12,67,6.54,2,3:34
85,DET,2019-10-14,243,0,56,1,0,277,170,26:56,Mon,5,6,@,GNB,L 22-23,18,32,14,56.3,0,0,0.0,0.0,83.5,3,22,8.57,7.6,6.94,7.59,6.94,13.5,29,5.9,0,24,39,61.5,2,1,6,1,89.4,20,2.8,299,55,5.44,69,6.48,0,3:06
86,DET,2019-10-20,352,4,81,0,1,338,166,27:50,Sun,6,7,,MIN,L 30-42,30,45,15,66.7,4,1,8.9,2.2,111.7,2,12,4.26,7.8,7.49,8.60,8.23,11.7,37,4.5,2,24,34,70.6,4,0,0,0,141.5,20,4.1,433,67,6.46,71,7.10,1,3:11
87,DET,2019-10-27,316,3,59,0,2,290,80,29:13,Sun,7,8,,NYG,W 31-26,25,32,7,78.1,3,1,9.4,3.1,129.4,4,26,11.11,9.9,8.78,10.34,9.19,12.6,24,3.3,0,28,41,68.3,4,3,32,0,121.0,25,2.4,375,61,6.15,68,5.44,2,3:02
88,DET,2019-11-03,383,3,90,0,2,279,171,27:10,Sun,8,9,@,LVR,L 24-31,26,41,15,63.4,3,1,7.3,2.4,110.4,2,23,4.65,9.3,8.91,9.71,9.26,14.7,36,4.8,2,20,31,64.5,2,1,10,0,114.9,19,4.7,473,62,7.63,68,6.62,2,3:03
