Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
1,SDG,2014-09-08,238,1,52,1,1,294,109,28:11,Mon,1,1,@,ARI,L 17-18,21,36,15,58.3,238,1,1,2.8,2.8,75.9,0,0,0.00,6.6,6.61,5.92,5.92,11.3,26,109,4.2,0,24,37,64.9,294,2,2,10,0,107.3,24,52,2.2,1,290,60,4.83,65,6.20,1,28:11,3:08
2,SDG,2014-09-14,276,3,101,0,0,180,108,42:15,Sun,2,2,,SEA,W 30-21,28,37,9,75.7,276,3,0,8.1,0.0,124.2,1,8,2.63,7.5,7.26,9.08,8.84,9.9,13,108,8.3,1,17,25,68.0,180,2,2,22,0,115.4,37,101,2.7,0,377,75,5.03,40,7.20,0,42:15,3:05
3,SDG,2014-09-21,250,2,83,0,0,205,87,31:34,Sun,3,3,@,BUF,W 22-10,18,25,7,72.0,250,2,0,8.0,0.0,131.4,2,6,7.41,10.0,9.26,11.60,10.74,13.9,22,87,4.0,0,23,40,57.5,205,1,3,33,0,79.7,36,83,2.3,0,333,63,5.29,65,4.49,0,31:34,3:04
4,SDG,2014-09-28,365,3,42,0,0,235,85,29:26,Sun,4,4,,JAX,W 33-14,29,39,10,74.4,365,3,0,7.7,0.0,130.0,2,12,4.88,9.4,8.90,10.90,10.37,12.6,25,85,3.4,1,29,37,78.4,235,1,3,19,2,79.6,20,42,2.1,0,407,61,6.67,65,4.92,0,29:26,3:06
5,SDG,2014-10-05,277,3,162,1,1,60,91,38:54,Sun,5,5,,NYJ,W 31-0,20,28,8,71.4,277,3,1,10.7,3.6,125.3,3,11,9.68,9.9,8.94,10.43,9.42,13.9,21,91,4.3,0,12,31,38.7,60,0,2,14,1,33.4,40,162,4.1,1,439,71,6.18,54,2.80,1,38:54,3:11
6,SDG,2014-10-12,307,3,116,1,0,282,114,37:02,Sun,6,6,@,OAK,W 31-28,22,35,13,62.9,307,3,0,8.6,0.0,120.3,1,6,2.78,8.8,8.53,10.49,10.19,14.0,20,114,5.7,0,18,34,52.9,282,4,0,0,1,107.7,33,116,3.5,1,423,69,6.13,54,7.33,0,37:02,3:08
7,SDG,2014-10-19,182,2,69,0,1,211,154,21:00,Sun,7,7,,KAN,L 20-23,17,31,14,54.8,182,2,1,6.5,3.2,83.4,2,23,6.06,5.9,5.52,5.71,5.36,10.7,39,154,3.9,1,19,28,67.9,211,1,3,10,0,101.9,16,69,4.3,0,251,49,5.12,70,5.21,1,21:00,3:04
8,SDG,2014-10-23,245,3,61,0,2,286,139,29:14,Thu,8,8,@,DEN,L 21-35,30,41,11,73.2,245,3,2,7.3,4.9,92.7,2,7,4.65,6.0,5.70,5.24,5.00,8.2,30,139,4.6,2,25,35,71.4,286,3,0,0,0,124.2,15,61,4.1,0,306,58,5.28,65,6.54,2,29:14,3:05
9,SDG,2014-11-02,128,0,50,0,4,309,132,23:53,Sun,9,9,@,MIA,L 0-37,13,26,13,50.0,128,0,3,0.0,11.5,27.9,4,20,13.33,4.9,4.27,-0.27,-0.23,9.8,35,132,3.8,1,26,39,66.7,309,3,0,0,0,116.3,19,50,2.6,0,178,49,3.63,74,5.96,4,23:53,2:58
10,SDG,2014-11-16,180,1,120,0,0,162,71,34:46,Sun,10,11,,OAK,W 13-6,22,34,12,64.7,180,1,0,2.9,0.0,89.5,2,13,5.56,5.3,5.00,5.88,5.56,8.2,19,71,3.7,0,16,34,47.1,162,0,2,10,0,61.2,32,120,3.8,0,300,68,4.41,55,4.24,0,34:46,3:05
