Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
141,BAL,2022-12-04,182,0,103,1,2,184,88,32:29,Sun,12,13,,DEN,W 10-9,30,37,7,81.1,182,0,2,0.0,5.4,66.4,4,16,9.76,4.9,4.44,2.49,2.24,6.1,28,88,3.1,0,17,22,77.3,184,0,2,5,0,101.3,28,103,3.7,1,285,69,4.13,52,5.23,2,32:29,2:56
142,BAL,2022-12-11,94,0,215,1,0,264,65,32:59,Sun,13,14,@,PIT,W 16-14,11,17,6,64.7,94,0,0,0.0,0.0,81.5,2,10,10.53,5.5,4.95,5.53,4.95,8.5,20,65,3.3,1,22,31,71.0,264,1,2,12,3,67.9,42,215,5.1,1,309,61,5.07,53,6.21,0,32:59,2:46
143,BAL,2022-12-17,126,0,198,0,2,140,143,26:52,Sat,14,15,@,CLE,L 3-13,17,30,13,56.7,126,0,1,0.0,3.3,54.6,3,12,9.09,4.2,3.82,2.70,2.45,7.4,33,143,4.3,0,18,28,64.3,140,1,3,21,0,88.4,28,198,7.1,0,324,61,5.31,64,4.42,2,26:52,2:43
144,BAL,2022-12-24,115,1,184,0,0,212,115,27:16,Sat,15,16,,ATL,W 17-9,9,17,8,52.9,115,1,0,5.9,0.0,94.0,0,0,0.00,6.8,6.76,7.94,7.94,12.8,33,115,3.5,0,22,33,66.7,212,0,2,6,0,84.4,34,184,5.4,0,299,51,5.86,68,4.81,0,27:16,2:57
145,BAL,2023-01-01,120,1,120,0,1,153,198,25:46,Sun,16,17,,PIT,L 13-16,14,21,7,66.7,120,1,1,4.8,4.8,79.5,1,10,4.55,5.7,5.45,4.52,4.32,8.6,41,198,4.8,0,15,27,55.6,153,1,2,15,0,84.3,28,120,4.3,0,240,50,4.80,70,5.01,1,25:46,2:51
146,BAL,2023-01-08,276,0,110,1,4,202,55,28:41,Sun,17,18,@,CIN,L 16-27,19,44,25,43.2,276,0,2,0.0,4.5,46.2,4,10,8.33,6.3,5.75,4.23,3.88,14.5,20,55,2.8,1,25,42,59.5,202,1,2,13,0,79.7,27,110,4.1,1,386,75,5.15,64,4.02,4,28:41,3:22
147,BAL,2023-09-10,155,0,110,3,2,196,72,30:55,Sun,1,1,,HOU,W 25-9,17,22,5,77.3,155,0,1,0.0,4.5,79.5,4,14,15.38,7.0,5.96,5.00,4.23,9.1,23,72,3.1,0,28,44,63.6,196,0,5,46,0,73.7,32,110,3.4,3,265,58,4.57,72,3.72,2,30:55,3:16
148,BAL,2023-09-17,237,2,178,1,0,216,66,33:04,Sun,2,2,@,CIN,W 27-24,24,33,9,72.7,237,2,0,6.1,0.0,112.8,0,0,0.00,7.2,7.18,8.39,8.39,9.9,15,66,4.4,0,27,41,65.9,216,2,1,6,1,85.0,37,178,4.8,1,415,70,5.93,57,4.95,0,33:04,3:01
149,BAL,2023-09-24,178,0,186,2,2,188,139,32:18,Sun,3,3,,IND,L 19-22 (OT),22,31,9,71.0,178,0,0,0.0,0.0,88.4,4,24,11.43,5.7,5.09,5.74,5.09,8.1,35,139,4.0,0,27,44,61.4,188,1,5,39,0,78.6,37,186,5.0,2,364,72,5.06,84,3.89,2,32:18,3:27
150,BAL,2023-10-01,165,2,131,2,1,73,93,29:50,Sun,4,4,@,CLE,W 28-3,15,19,4,78.9,165,2,0,10.5,0.0,142.5,3,21,13.64,8.7,7.50,10.79,9.32,11.0,25,93,3.7,0,19,36,52.8,73,0,4,48,3,23.8,33,131,4.0,2,296,55,5.38,65,2.55,1,29:50,3:02
