Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,NYG,2014-11-23,328,3,89,1,1,266,119,35:07,Sun,11,12,,DAL,L 28-31,29,40,11,72.5,3,1,7.5,2.5,112.3,2,10,4.76,8.2,7.81,8.58,8.17,11.3,25,4.8,0,18,26,69.2,4,2,9,0,142.0,32,417,74,5.64,53,7.26,1,3:18,1,5,30,7,63,0,1,68.8,40.0,27,5,19,3,16,11,68.8,1,0,0.0,385,1,5,30,7,63,12,93,4,4,4,1,1,0,417,74,5.64,53,7.26,1,3:18,18,5,13,0,10,4,40.0,0,0,,4,4,4,0,0,0,0,0
12,NYG,2014-11-30,213,1,116,2,3,140,118,34:39,Sun,12,13,@,JAX,L 24-25,24,34,10,70.6,1,0,2.9,0.0,101.0,4,34,10.53,6.3,5.61,6.85,6.13,8.9,22,5.4,0,21,35,60.0,1,7,54,0,78.3,35,329,73,4.51,64,4.03,3,3:09,0,6,40,7,49,1,2,46.7,25.0,22,8,14,0,15,7,46.7,0,0,,258,0,6,40,7,49,13,89,3,1,1,2,2,0,329,73,4.51,64,4.03,3,3:09,18,6,10,2,12,3,25.0,0,0,,3,3,3,2,1,0,0,0
13,NYG,2014-12-07,260,1,142,1,1,146,61,34:43,Sun,13,14,@,TEN,W 36-7,26,43,17,60.5,1,1,2.3,2.3,75.7,0,0,0.0,6.0,6.05,5.47,5.47,10.0,14,4.4,0,23,35,65.7,0,8,60,2,50.4,30,402,73,5.51,57,3.63,1,3:04,3,7,70,5,39,5,0,44.4,15.4,19,6,13,0,18,8,44.4,0,0,,207,3,7,70,5,39,12,109,1,1,1,1,0,0,402,73,5.51,57,3.63,1,3:04,12,2,9,1,13,2,15.4,3,1,33.3,3,3,3,5,5,0,0,0
14,NYG,2014-12-14,238,3,49,0,1,228,144,27:29,Sun,14,15,,WAS,W 24-13,23,34,11,67.6,3,0,8.8,0.0,118.5,1,12,2.86,7.0,6.8,8.76,8.51,10.3,27,5.3,0,22,34,64.7,1,7,47,0,93.7,22,287,57,5.04,68,5.47,1,3:06,1,9,60,10,135,1,2,30.8,28.6,17,2,11,4,13,4,30.8,2,1,50.0,372,1,9,60,10,135,19,195,1,1,1,2,2,0,287,57,5.04,68,5.47,1,3:06,21,8,10,3,14,4,28.6,1,0,0.0,3,3,3,1,1,0,0,0
15,NYG,2014-12-21,386,3,128,1,0,281,106,34:47,Sun,15,16,@,LAR,W 37-27,25,32,7,78.1,3,0,9.4,0.0,148.8,1,5,3.03,12.1,11.7,13.94,13.52,15.4,20,5.3,1,24,32,75.0,2,2,9,1,109.0,34,514,67,7.67,54,7.17,0,3:19,3,12,149,9,76,3,2,47.1,16.7,19,3,13,3,17,8,47.1,0,0,,387,3,12,149,9,76,21,225,3,3,3,2,2,0,514,67,7.67,54,7.17,0,3:19,23,6,14,3,6,1,16.7,0,0,,4,4,4,4,3,0,0,0
16,NYG,2014-12-28,429,1,76,1,1,262,164,34:37,Sun,16,17,,PHI,L 26-34,28,53,25,52.8,1,1,1.9,1.9,78.3,0,0,0.0,8.1,8.09,7.62,7.62,15.3,32,5.1,1,23,36,63.9,2,4,30,1,92.6,25,505,78,6.47,72,5.92,1,3:14,1,8,106,5,35,4,2,38.9,43.8,22,4,17,1,18,7,38.9,0,0,,426,1,8,106,5,35,13,141,4,4,4,2,2,0,505,78,6.47,72,5.92,1,3:14,23,9,12,2,16,7,43.8,0,0,,2,2,2,4,4,0,0,0
17,NYG,2015-09-13,186,0,99,1,0,356,80,22:50,Sun,1,1,@,DAL,L 26-27,20,36,16,55.6,0,0,0.0,0.0,70.3,1,3,2.7,5.2,5.03,5.17,5.03,9.3,23,3.5,0,36,45,80.0,3,0,0,2,103.3,24,285,61,4.67,68,6.41,0,3:15,3,5,44,3,35,4,2,42.9,54.5,18,6,10,2,14,6,42.9,0,0,,436,3,5,44,3,35,8,79,3,3,3,2,2,0,285,61,4.67,68,6.41,0,3:15,27,4,21,2,11,6,54.5,0,0,,2,2,2,4,4,0,0,0
18,NYG,2015-09-20,291,2,97,0,1,346,56,28:25,Sun,2,2,,ATL,L 20-24,27,40,13,67.5,2,0,5.0,0.0,105.4,2,1,4.76,7.3,6.93,8.28,7.88,10.8,22,2.5,2,30,46,65.2,1,2,17,0,95.0,23,388,65,5.97,70,5.74,1,3:09,0,6,35,6,65,2,1,58.8,64.7,19,6,12,1,17,10,58.8,1,0,0.0,402,0,6,35,6,65,12,100,3,3,3,1,1,0,388,65,5.97,70,5.74,1,3:09,25,5,19,1,17,11,64.7,0,0,,2,2,2,2,2,0,0,0
19,NYG,2015-09-24,279,2,84,1,0,305,88,31:30,Thu,3,3,,WAS,W 32-21,23,32,9,71.9,2,0,6.3,0.0,119.1,0,0,0.0,8.7,8.72,9.97,9.97,12.1,20,4.4,0,30,49,61.2,1,1,11,2,68.8,31,363,63,5.76,70,5.61,0,3:19,3,8,67,7,58,3,2,33.3,40.0,19,5,13,1,12,4,33.3,1,1,100.0,393,3,8,67,7,58,15,125,2,1,1,2,2,0,363,63,5.76,70,5.61,0,3:19,22,3,16,3,15,6,40.0,3,2,66.7,3,3,3,3,3,0,0,1
20,NYG,2015-10-04,211,3,92,0,1,258,55,30:33,Sun,4,4,@,BUF,W 24-10,20,35,15,57.1,3,1,8.6,2.9,91.6,1,1,2.78,6.0,5.86,6.46,6.28,10.6,24,2.3,0,28,42,66.7,1,2,16,1,81.3,28,303,64,4.73,68,4.6,1,3:19,2,11,85,17,135,1,1,20.0,18.8,19,4,8,7,15,3,20.0,0,0,,313,2,11,85,17,135,28,220,1,1,1,2,1,0,303,64,4.73,68,4.6,1,3:19,14,2,11,1,16,3,18.8,3,1,33.3,3,2,1,1,1,1,1,0
