Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
150,CAR,2023-10-01,149,0,83,0,1,130,135,38:29,Sun,4,4,,MIN,L 13-21,25,32,7,78.1,149,0,0,0.0,0.0,93.2,5,55,13.51,4.7,4.03,4.66,4.03,6.0,23,135,5.9,0,12,19,63.2,130,2,2,9,2,78.7,31,83,2.7,0,232,68,3.41,44,6.02,1,38:29,2:43
151,CAR,2023-10-08,243,3,99,0,3,218,159,28:45,Sun,5,5,@,DET,L 24-42,25,41,16,61.0,243,3,2,7.3,4.9,82.1,1,4,2.38,5.9,5.79,5.20,5.07,9.7,30,159,5.3,3,20,28,71.4,218,3,2,18,0,129.8,23,99,4.3,0,342,65,5.26,60,6.28,3,28:45,3:08
152,CAR,2023-10-15,188,1,108,1,0,262,162,30:44,Sun,6,6,@,MIA,L 21-42,24,39,15,61.5,188,1,0,2.6,0.0,85.8,4,36,9.30,4.8,4.37,5.33,4.84,7.8,33,162,4.9,3,21,32,65.6,262,3,0,0,1,109.1,25,108,4.3,1,296,68,4.35,65,6.52,0,30:44,3:01
153,CAR,2023-10-29,180,1,44,0,0,119,110,30:29,Sun,7,8,,HOU,W 15-13,22,31,9,71.0,180,1,0,3.2,0.0,103.6,6,55,16.22,5.8,4.86,6.45,5.41,8.2,30,110,3.7,2,16,24,66.7,119,0,2,21,0,78.3,24,44,1.8,0,224,61,3.67,56,4.09,0,30:29,2:57
154,CAR,2023-11-05,137,1,138,0,3,120,78,31:09,Sun,8,9,,IND,L 13-27,24,39,15,61.5,137,1,3,2.6,7.7,48.3,4,36,9.30,3.5,3.19,0.56,0.51,5.7,30,78,2.6,0,17,26,65.4,120,1,1,7,0,88.6,28,138,4.9,0,275,71,3.87,57,3.47,3,31:09,3:01
155,CAR,2023-11-09,170,0,43,0,0,162,133,26:29,Thu,9,10,@,CHI,L 13-16,21,38,17,55.3,170,0,0,0.0,0.0,68.4,3,15,7.32,4.5,4.15,4.47,4.15,8.1,37,133,3.6,1,20,33,60.6,162,0,0,0,0,73.0,16,43,2.7,0,213,57,3.74,70,4.21,0,26:29,2:53
156,CAR,2023-11-19,77,1,110,0,2,204,107,28:39,Sun,10,11,,DAL,L 10-33,16,29,13,55.2,77,1,1,3.4,3.4,62.9,7,46,19.44,2.7,2.14,1.79,1.44,4.8,27,107,4.0,1,27,41,65.9,204,2,0,0,0,94.0,23,110,4.8,0,187,59,3.17,68,4.57,2,28:39,3:02
157,CAR,2023-11-26,162,0,96,1,1,184,80,33:49,Sun,11,12,@,TEN,L 10-17,18,31,13,58.1,162,0,0,0.0,0.0,76.5,4,32,11.43,5.2,4.63,5.23,4.63,9.0,24,80,3.3,2,18,28,64.3,184,0,1,1,0,83.0,32,96,3.0,1,258,67,3.85,53,4.98,1,33:49,3:01
158,CAR,2023-12-03,149,0,133,2,1,194,128,33:42,Sun,12,13,@,TAM,L 18-21,15,31,16,48.4,149,0,1,0.0,3.2,52.9,4,29,11.43,4.8,4.26,3.35,2.97,9.9,28,128,4.6,2,14,29,48.3,194,1,1,8,1,67.3,34,133,3.9,2,282,69,4.09,58,5.55,1,33:42,3:08
159,CAR,2023-12-10,99,0,204,0,2,110,97,34:50,Sun,13,14,@,NOR,L 6-28,13,36,23,36.1,99,0,0,0.0,0.0,48.0,4,38,10.00,2.8,2.48,2.75,2.48,7.6,25,97,3.9,1,18,26,69.2,110,2,1,9,1,87.0,39,204,5.2,0,303,79,3.84,52,3.98,2,34:50,2:57
160,CAR,2023-12-17,154,0,129,0,0,152,52,33:56,Sun,14,15,,ATL,W 9-7,18,24,6,75.0,154,0,0,0.0,0.0,93.6,3,13,11.11,6.4,5.70,6.42,5.70,8.6,31,52,1.7,0,12,20,60.0,152,1,0,0,1,79.6,36,129,3.6,0,283,63,4.49,51,4.00,0,33:56,2:45
161,CAR,2023-12-24,298,2,96,2,0,207,162,31:21,Sun,15,16,,GNB,L 30-33,23,36,13,63.9,298,2,0,5.6,0.0,110.0,2,14,5.26,8.3,7.84,9.39,8.89,13.0,34,162,4.8,2,17,28,60.7,207,2,1,12,0,107.3,25,96,3.8,2,394,63,6.25,63,5.86,0,31:21,3:07
162,CAR,2023-12-31,67,0,57,0,1,162,155,26:31,Sun,16,17,@,JAX,L 0-26,19,32,13,59.4,67,0,1,0.0,3.1,53.1,6,45,15.79,2.1,1.76,0.69,0.58,3.5,35,155,4.4,2,17,24,70.8,162,0,3,16,0,89.2,15,57,3.8,0,124,53,2.34,62,5.11,1,26:31,2:49
163,CAR,2024-01-07,68,0,131,0,2,115,113,28:36,Sun,17,18,,TAM,L 0-9,11,18,7,61.1,68,0,0,0.0,0.0,74.8,3,26,14.29,3.8,3.24,3.78,3.24,6.2,29,113,3.9,0,20,32,62.5,115,0,3,22,0,69.1,29,131,4.5,0,199,50,3.98,64,3.56,2,28:36,2:35
