Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
16,PIT,2014-12-28,317,2,29,0,3,221,116,25:02,Sun,16,17,,CIN,W 27-17,24,39,15,61.5,317,2,2,5.1,5.1,83.0,0,0,0.00,8.1,8.13,6.85,6.85,13.2,29,116,4.0,0,27,38,71.1,221,2,3,23,2,81.1,18,29,1.6,0,346,57,6.07,70,4.81,3,25:02,3:00
17,PIT,2015-09-10,330,1,134,1,1,281,80,32:05,Thu,1,1,@,NWE,L 21-28,26,38,12,68.4,330,1,1,2.6,2.6,95.4,3,21,7.32,8.7,8.05,8.03,7.44,12.7,24,80,3.3,0,25,32,78.1,281,4,2,7,0,142.8,25,134,5.4,1,464,66,7.03,58,6.22,1,32:05,3:00
18,PIT,2015-09-20,369,3,84,3,0,298,111,23:01,Sun,2,2,,SFO,W 43-18,21,27,6,77.8,369,3,0,11.1,0.0,155.8,0,0,0.00,13.7,13.67,15.89,15.89,17.6,31,111,3.6,0,33,46,71.7,298,2,5,37,0,103.4,25,84,3.4,3,453,52,8.71,82,4.99,0,23:01,3:04
19,PIT,2015-09-27,197,0,62,1,1,187,71,32:19,Sun,3,3,@,LAR,W 12-6,25,30,5,83.3,197,0,1,0.0,3.3,84.7,5,33,14.29,6.6,5.63,5.07,4.34,7.9,18,71,3.9,0,19,29,65.5,187,0,2,10,1,69.2,22,62,2.8,1,259,57,4.54,49,5.27,1,32:19,3:10
20,PIT,2015-10-01,96,1,167,1,0,165,191,32:09,Thu,4,4,,BAL,L 20-23 (OT),19,26,7,73.1,96,1,0,3.8,0.0,95.7,4,28,13.33,3.7,3.20,4.46,3.87,5.1,39,191,4.9,1,21,34,61.8,165,1,5,21,1,71.3,33,167,5.1,1,263,63,4.17,78,4.56,0,32:09,3:23
21,PIT,2015-10-12,194,1,155,1,1,354,52,26:17,Mon,5,5,@,LAC,W 24-20,13,26,13,50.0,194,1,1,3.8,3.8,73.1,3,9,10.34,7.5,6.69,6.50,5.83,14.9,19,52,2.7,0,35,48,72.9,354,2,2,11,1,98.8,27,155,5.7,1,349,56,6.23,69,5.88,1,26:17,3:08
22,PIT,2015-10-18,169,2,141,0,0,414,55,28:51,Sun,6,6,,ARI,W 25-13,11,20,9,55.0,169,2,0,10.0,0.0,117.5,1,5,4.76,8.5,8.05,10.45,9.95,15.4,20,55,2.8,0,29,45,64.4,414,1,1,7,2,83.0,32,141,4.4,0,310,53,5.85,66,7.11,0,28:51,3:09
23,PIT,2015-10-25,192,1,147,0,3,239,138,27:34,Sun,7,7,@,KAN,L 13-23,16,29,13,55.2,192,1,2,3.4,6.9,60.8,2,17,6.45,6.6,6.19,4.21,3.94,12.0,29,138,4.8,1,21,32,65.6,239,1,2,12,0,98.3,24,147,6.1,0,339,55,6.16,63,5.98,3,27:34,2:54
24,PIT,2015-11-01,240,1,116,0,3,218,78,30:09,Sun,8,8,,CIN,L 10-16,28,45,17,62.2,240,1,3,2.2,6.7,57.8,3,22,6.25,5.3,5.00,2.78,2.60,8.6,23,78,3.4,0,23,38,60.5,218,1,3,13,2,63.3,19,116,6.1,0,356,67,5.31,64,4.63,3,30:09,3:22
25,PIT,2015-11-08,402,2,195,2,2,301,139,32:04,Sun,9,9,,LVR,W 38-35,28,50,22,56.0,402,2,1,4.0,2.0,88.2,1,11,1.96,8.0,7.88,7.94,7.78,14.4,25,139,5.6,1,24,44,54.5,301,4,0,0,1,96.9,30,195,6.5,2,597,81,7.37,69,6.38,2,32:04,3:47
