Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
120,ARI,2021-10-28,260,0,74,3,3,184,151,22:25,Thu,8,8,,GNB,L 21-24,22,33,11,66.7,260,0,2,0.0,6.1,67.0,2,14,5.71,7.9,7.43,5.15,4.86,11.8,34,151,4.4,1,22,37,59.5,184,2,1,0,0,90.4,20,74,3.7,3,334,55,6.07,72,4.65,3,22:25,3:12
121,ARI,2021-11-07,274,1,163,3,0,298,39,36:47,Sun,9,9,@,SFO,W 31-17,23,27,4,85.2,274,1,0,3.7,0.0,122.5,2,8,6.90,10.1,9.45,10.89,10.14,11.9,11,39,3.5,0,28,40,70.0,298,2,5,28,1,97.7,39,163,4.2,3,437,68,6.43,56,6.02,0,36:47,3:00
122,ARI,2021-11-14,104,0,65,1,2,175,166,22:18,Sun,10,10,,CAR,L 10-34,17,29,12,58.6,104,0,1,0.0,3.4,57.1,4,39,12.12,3.6,3.15,2.03,1.79,6.1,37,166,4.5,2,25,33,75.8,175,1,0,0,1,84.8,20,65,3.3,1,169,53,3.19,70,4.87,2,22:18,3:02
123,ARI,2021-11-21,318,2,95,1,0,180,86,40:22,Sun,11,11,@,SEA,W 23-13,35,44,9,79.5,318,2,0,4.5,0.0,112.9,2,10,4.35,7.2,6.91,8.14,7.78,9.1,19,86,4.5,1,14,26,53.8,180,0,4,27,0,75.8,33,95,2.9,1,413,79,5.23,49,5.43,0,40:22,3:05
124,ARI,2021-12-05,120,2,137,2,0,217,112,25:15,Sun,12,13,@,CHI,W 33-22,11,15,4,73.3,120,2,0,13.3,0.0,136.9,1,3,6.25,8.0,7.50,10.67,10.00,10.9,27,112,4.1,1,26,41,63.4,217,2,3,12,4,53.7,35,137,3.9,2,257,51,5.04,71,4.63,0,25:15,3:04
125,ARI,2021-12-13,344,0,103,2,2,267,89,30:56,Mon,13,14,,LAR,L 23-30,32,49,17,65.3,344,0,2,0.0,4.1,72.1,4,39,7.55,7.0,6.49,5.18,4.79,10.8,21,89,4.2,0,23,30,76.7,267,3,3,20,0,136.4,22,103,4.7,2,447,75,5.96,54,6.59,2,30:56,3:01
126,ARI,2021-12-19,293,1,105,0,1,212,126,28:08,Sun,14,15,@,DET,L 12-30,29,50,21,58.0,293,1,1,2.0,2.0,74.8,2,20,3.85,5.9,5.63,5.36,5.15,10.1,34,126,3.7,0,21,26,80.8,212,3,2,4,0,139.1,21,105,5.0,0,398,73,5.45,62,5.45,1,28:08,3:04
127,ARI,2021-12-25,245,1,133,1,0,220,126,24:31,Sat,15,16,,IND,L 16-22,27,43,16,62.8,245,1,0,2.3,0.0,85.9,0,0,0.00,5.7,5.70,6.16,6.16,9.1,33,126,3.8,0,18,28,64.3,220,2,2,5,0,112.2,21,133,6.3,1,378,64,5.91,63,5.49,0,24:31,3:04
128,ARI,2022-01-02,272,2,127,0,0,256,45,34:42,Sun,16,17,@,DAL,W 25-22,27,39,12,69.2,272,2,0,5.1,0.0,107.4,1,14,2.50,7.0,6.80,8.00,7.80,10.1,17,45,2.6,0,25,39,64.1,256,3,1,1,0,108.5,32,127,4.0,0,399,72,5.54,57,5.28,0,34:42,3:06
129,ARI,2022-01-09,187,1,118,1,1,229,202,35:49,Sun,17,18,,SEA,L 30-38,28,39,11,71.8,187,1,0,2.6,0.0,96.1,5,53,11.36,4.8,4.25,5.31,4.70,6.7,30,202,6.7,2,15,26,57.7,229,3,1,9,1,109.3,28,118,4.2,1,305,72,4.24,57,7.56,1,35:49,3:09
