Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
68,LAR,2018-09-27,456,5,100,0,0,392,54,27:46,Thu,4,4,,MIN,W 38-31,26,34,8,76.5,5,0,14.7,0.0,157.5,1,9,2.86,13.4,13.03,16.35,15.89,17.5,17,3.2,0,36,50,72.0,3,4,30,0,114.7,20,5.0,556,55,10.11,71,6.28,0,3:07
69,LAR,2018-10-07,313,1,155,3,2,183,190,29:30,Sun,5,5,@,SEA,W 33-31,23,32,9,71.9,1,2,3.1,6.3,88.2,1,8,3.03,9.8,9.48,7.59,7.36,13.6,32,5.9,1,13,21,61.9,3,2,15,0,129.6,30,5.2,468,63,7.43,55,6.78,2,3:12
70,LAR,2018-10-14,174,0,270,2,1,297,60,35:10,Sun,6,6,@,DEN,W 23-20,14,28,14,50.0,0,1,0.0,3.6,58.8,5,27,15.15,6.2,5.27,4.61,3.91,12.4,17,3.5,0,25,41,61.0,2,2,25,1,89.2,39,6.9,444,72,6.17,60,5.95,1,3:16
71,LAR,2018-10-21,193,2,146,2,0,121,107,32:51,Sun,7,7,@,SFO,W 39-10,18,24,6,75.0,2,0,8.3,0.0,127.4,1,9,4.00,8.0,7.72,9.71,9.32,10.7,24,4.5,0,15,27,55.6,1,7,49,2,48.5,36,4.1,339,61,5.56,58,3.93,0,3:01
72,LAR,2018-10-28,281,3,135,0,0,253,106,34:10,Sun,8,8,,GNB,W 29-27,20,36,16,55.6,3,0,8.3,0.0,111.7,5,26,12.20,7.8,6.85,9.47,8.32,14.1,19,5.6,2,18,30,60.0,1,3,33,0,98.3,34,4.0,416,75,5.55,52,6.90,0,3:19
73,LAR,2018-11-04,391,3,92,1,1,346,141,26:19,Sun,9,9,@,NOR,L 35-45,28,40,12,70.0,3,1,7.5,2.5,115.7,0,0,0.00,9.8,9.78,10.15,10.15,14.0,34,4.1,2,25,36,69.4,4,0,0,0,137.0,19,4.8,483,59,8.19,70,6.96,1,3:11
74,LAR,2018-11-11,307,2,149,2,0,141,273,29:23,Sun,10,10,,SEA,W 36-31,28,39,11,71.8,2,0,5.1,0.0,113.0,2,11,4.88,7.9,7.49,8.90,8.46,11.0,34,8.0,1,17,26,65.4,3,4,35,0,117.6,23,6.5,456,64,7.13,64,6.47,0,3:09
75,LAR,2018-11-19,379,4,76,1,2,448,98,30:23,Mon,11,11,,KAN,W 54-51,31,49,18,63.3,4,0,8.2,0.0,117.1,5,34,9.26,7.7,7.02,9.37,8.50,12.2,20,4.9,0,33,46,71.7,6,3,30,3,114.9,21,3.6,455,75,6.07,69,7.91,2,3:42
76,LAR,2018-12-02,195,1,149,2,2,208,102,28:16,Sun,12,13,@,DET,W 30-16,17,33,16,51.5,1,1,3.0,3.0,68.6,2,12,5.71,5.9,5.57,5.15,4.86,11.5,26,3.9,0,20,34,58.8,1,4,37,1,74.1,29,5.1,344,64,5.38,64,4.84,2,3:14
77,LAR,2018-12-09,162,0,52,0,4,100,194,23:11,Sun,13,14,@,CHI,L 6-15,21,45,24,46.7,0,4,0.0,8.9,21.3,3,25,6.25,3.6,3.38,-0.40,-0.38,7.7,35,5.5,0,16,30,53.3,1,1,10,3,31.9,13,4.0,214,61,3.51,66,4.45,4,3:12
78,LAR,2018-12-16,325,0,82,2,3,270,111,28:24,Sun,14,15,,PHI,L 23-30,35,54,19,64.8,0,1,0.0,1.9,74.5,2,14,3.57,6.0,5.80,5.19,5.00,9.3,30,3.7,3,24,31,77.4,0,0,0,1,89.4,18,4.6,407,74,5.50,61,6.25,3,3:15
79,LAR,2018-12-23,192,1,269,3,1,159,104,37:04,Sun,15,16,@,ARI,W 31-9,19,24,5,79.2,1,0,4.2,0.0,118.1,2,24,7.69,8.0,7.38,8.83,8.15,10.1,18,5.8,0,18,31,58.1,1,4,23,0,82.6,41,6.6,461,67,6.88,53,4.96,1,2:57
80,LAR,2018-12-30,222,4,155,1,0,264,127,31:50,Sun,16,17,,SFO,W 48-32,17,29,12,58.6,4,0,13.8,0.0,122.4,0,0,0.00,7.7,7.66,10.41,10.41,13.1,22,5.8,1,23,33,69.7,3,3,18,3,85.9,42,3.7,377,71,5.31,58,6.74,0,3:15
81,LAR,2019-09-08,183,1,166,2,1,216,127,33:16,Sun,1,1,@,CAR,W 30-27,23,39,16,59.0,1,1,2.6,2.6,69.0,1,3,2.50,4.7,4.58,4.05,3.95,8.0,23,5.5,3,25,38,65.8,0,3,23,1,69.6,32,5.2,349,72,4.85,64,5.36,1,3:12
82,LAR,2019-09-15,265,1,115,2,1,187,57,30:21,Sun,2,2,,NOR,W 27-9,19,28,9,67.9,1,0,3.6,0.0,112.6,3,18,9.68,9.5,8.55,10.18,9.19,13.9,20,2.9,0,20,35,57.1,0,2,16,1,60.1,30,3.8,380,61,6.23,57,4.28,1,3:09
83,LAR,2019-09-22,254,2,90,0,3,175,95,28:23,Sun,3,3,@,CLE,W 20-13,24,38,14,63.2,2,2,5.3,5.3,79.7,2,14,5.00,6.7,6.35,5.37,5.10,10.6,24,4.0,0,18,36,50.0,1,3,20,1,61.7,24,3.8,344,64,5.38,63,4.29,3,3:04
84,LAR,2019-09-29,490,2,28,2,4,376,88,27:24,Sun,4,4,,TAM,L 40-55,45,68,23,66.2,2,3,2.9,4.4,80.3,2,27,2.86,7.2,7.00,5.81,5.64,10.9,30,2.9,2,28,41,68.3,4,2,9,1,119.6,11,2.5,518,81,6.40,73,6.36,4,3:39
85,LAR,2019-10-03,395,1,82,2,2,262,167,24:42,Thu,5,5,@,SEA,L 29-30,29,49,20,59.2,1,1,2.0,2.0,83.3,0,0,0.00,8.1,8.06,7.55,7.55,13.6,43,3.9,0,17,23,73.9,4,1,6,0,150.7,18,4.6,477,67,7.12,67,6.40,2,3:27
86,LAR,2019-10-13,48,0,109,1,1,232,99,21:08,Sun,6,6,,SFO,L 7-20,13,24,11,54.2,0,0,0.0,0.0,60.8,4,30,14.29,2.0,1.71,2.00,1.71,3.7,41,2.4,2,24,33,72.7,0,2,11,1,79.4,22,5.0,157,50,3.14,76,4.36,1,3:11
87,LAR,2019-10-20,291,2,90,1,0,186,38,37:09,Sun,7,7,@,ATL,W 37-10,23,38,15,60.5,2,0,5.3,0.0,102.0,0,0,0.00,7.7,7.66,8.71,8.71,12.7,15,2.5,0,22,33,66.7,1,5,38,1,78.6,36,2.5,381,74,5.15,53,4.23,0,3:03
88,LAR,2019-10-27,372,2,98,1,0,297,104,27:17,Sun,8,8,,CIN,W 24-10,17,31,14,54.8,2,0,6.5,0.0,119.3,0,0,0.00,12.0,12.00,13.29,13.29,21.9,22,4.7,0,32,52,61.5,1,5,32,0,83.6,26,3.8,470,57,8.25,79,5.08,0,3:05
89,LAR,2019-11-10,218,0,88,0,4,231,42,28:20,Sun,9,10,@,PIT,L 12-17,22,42,20,52.4,0,3,0.0,7.1,40.1,4,25,8.70,5.2,4.74,1.98,1.80,9.9,27,1.6,0,22,38,57.9,1,3,11,0,84.4,23,3.8,306,69,4.43,68,4.01,4,3:32
