Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
139,DAL,2022-11-20,307,2,151,2,0,110,73,37:24,Sun,10,11,@,MIN,W 40-3,26,30,4,86.7,2,0,6.7,0.0,131.5,0,0,0.00,10.2,10.23,11.57,11.57,11.8,17,4.3,0,17,30,56.7,0,7,49,0,64.6,40,3.8,458,70,6.54,54,3.39,0,3:03
140,DAL,2022-11-24,261,2,169,2,2,210,90,34:09,Thu,11,12,,NYG,W 28-20,21,30,9,70.0,2,2,6.7,6.7,91.1,0,0,0.00,8.7,8.70,7.03,7.03,12.4,21,4.3,1,21,35,60.0,1,3,18,0,86.6,39,4.3,430,69,6.23,59,5.08,2,3:18
141,DAL,2022-12-04,165,3,220,4,1,203,106,28:41,Sun,12,13,,IND,W 54-19,20,30,10,66.7,3,1,10.0,3.3,100.7,1,5,3.23,5.5,5.32,6.00,5.81,8.3,30,3.5,0,21,37,56.8,2,3,30,3,56.5,34,6.5,385,65,5.92,70,4.41,1,3:07
142,DAL,2022-12-11,277,1,127,2,3,213,114,26:46,Sun,13,14,,HOU,W 27-23,24,39,15,61.5,1,2,2.6,5.1,70.9,1,7,2.50,7.1,6.93,5.31,5.18,11.5,37,3.1,1,20,27,74.1,1,0,0,1,93.6,31,4.1,404,71,5.69,64,5.11,3,3:06
143,DAL,2022-12-18,243,3,154,1,2,311,192,35:26,Sun,14,15,@,JAX,L 34-40 (OT),23,30,7,76.7,3,2,10.0,6.7,107.1,3,13,9.09,8.1,7.36,7.10,6.45,10.6,27,7.1,0,27,42,64.3,4,1,7,1,108.3,41,3.8,397,74,5.36,70,7.19,2,3:15
144,DAL,2022-12-24,304,3,115,1,1,355,87,32:18,Sat,15,16,,PHI,W 40-34,27,35,8,77.1,3,1,8.6,2.9,124.3,6,43,14.63,8.7,7.41,9.11,7.78,11.3,29,3.0,1,24,40,60.0,2,0,0,2,84.9,31,3.7,419,72,5.82,69,6.41,1,3:03
145,DAL,2022-12-29,274,2,87,1,3,220,97,33:26,Thu,16,17,@,TEN,W 27-13,29,41,12,70.7,2,2,4.9,4.9,85.6,1,8,2.38,6.7,6.52,5.46,5.33,9.4,24,4.0,0,20,39,51.3,1,2,12,1,66.2,32,2.7,361,74,4.88,65,4.88,3,3:02
146,DAL,2023-01-08,118,1,64,0,2,158,151,23:48,Sun,17,18,@,WAS,L 6-26,14,38,24,36.8,1,1,2.6,2.6,44.6,1,10,2.56,3.1,3.03,2.45,2.38,8.4,41,3.7,1,11,19,57.9,1,3,11,1,80.6,27,2.4,182,66,2.76,63,4.90,2,3:03
147,DAL,2023-09-10,143,0,122,3,0,63,108,26:32,Sun,1,1,@,NYG,W 40-0,13,25,12,52.0,0,0,0.0,0.0,69.2,0,0,0.00,5.7,5.72,5.72,5.72,11.0,28,3.9,0,17,30,56.7,0,7,47,2,34.0,30,4.1,265,55,4.82,65,2.63,0,2:55
148,DAL,2023-09-17,248,2,134,0,0,151,64,42:15,Sun,2,2,,NYJ,W 30-10,31,38,7,81.6,2,0,5.3,0.0,112.2,1,7,2.56,6.5,6.36,7.58,7.38,8.0,16,4.0,0,12,27,44.4,1,3,19,3,35.2,44,3.0,382,83,4.60,46,4.67,0,2:54
