Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
144,LVR,2022-12-24,143,1,58,0,3,244,106,27:21,Sat,15,16,@,PIT,L 10-13,16,30,14,53.3,1,3,3.3,10.0,42.2,3,31,9.09,4.8,4.33,0.93,0.85,8.9,27,3.9,0,26,39,66.7,1,0,0,1,81.6,19,3.1,201,52,3.87,66,5.30,3,2:53
145,LVR,2023-01-01,365,3,135,1,2,284,170,32:00,Sun,16,17,,SFO,L 34-37 (OT),23,34,11,67.6,3,2,8.8,5.9,108.1,0,0,0.00,10.7,10.74,9.85,9.85,15.9,27,6.3,2,22,35,62.9,2,0,0,1,95.4,32,4.2,500,66,7.58,62,7.32,2,3:24
146,LVR,2023-01-07,180,1,99,0,2,181,168,34:13,Sat,17,18,,KAN,L 13-31,22,36,14,61.1,1,1,2.8,2.8,76.0,6,39,14.29,5.0,4.29,4.31,3.69,8.2,28,6.0,3,18,26,69.2,1,2,21,0,101.6,25,4.0,279,67,4.16,56,6.23,2,2:50
147,LVR,2023-09-10,200,2,61,0,1,166,94,27:52,Sun,1,1,@,DEN,W 17-16,20,26,6,76.9,2,1,7.7,3.8,107.9,0,0,0.00,7.7,7.69,7.50,7.50,10.0,22,4.3,0,27,34,79.4,2,2,11,0,106.6,29,2.1,261,55,4.75,58,4.48,1,2:55
148,LVR,2023-09-17,185,1,55,0,3,267,183,19:56,Sun,2,2,@,BUF,L 10-38,16,24,8,66.7,1,2,4.2,8.3,68.9,0,0,0.00,7.7,7.71,4.79,4.79,11.6,35,5.2,2,31,37,83.8,3,2,7,0,123.8,15,3.7,240,39,6.15,74,6.08,3,2:49
149,LVR,2023-09-24,293,2,69,0,3,228,105,29:57,Sun,3,3,,PIT,L 18-23,28,44,16,63.6,2,3,4.5,6.8,72.5,4,31,8.33,6.7,6.10,4.50,4.13,10.5,31,3.4,0,16,28,57.1,2,1,7,0,107.4,19,3.6,362,67,5.40,60,5.55,3,3:06
150,LVR,2023-10-01,188,0,76,2,3,150,155,32:51,Sun,4,4,@,LAC,L 17-24,24,39,15,61.5,0,1,0.0,2.6,68.1,7,50,15.22,4.8,4.09,3.67,3.11,7.8,37,4.2,2,13,24,54.2,1,2,17,1,69.8,23,3.3,264,69,3.83,63,4.84,3,3:04
151,LVR,2023-10-09,183,1,96,1,1,175,110,32:34,Mon,5,5,,GNB,W 17-13,22,31,9,71.0,1,1,3.2,3.2,86.5,4,25,11.43,5.9,5.23,5.10,4.51,8.3,25,4.4,1,16,30,53.3,0,2,7,3,31.2,29,3.3,279,64,4.36,57,5.00,1,2:55
152,LVR,2023-10-15,264,1,84,0,1,176,83,32:12,Sun,6,6,,NWE,W 21-17,20,32,12,62.5,1,1,3.1,3.1,85.9,0,0,0.00,8.3,8.25,7.47,7.47,13.2,19,4.4,2,24,33,72.7,0,4,24,1,72.3,33,2.5,348,65,5.35,56,4.63,1,3:02
153,LVR,2023-10-22,196,1,39,0,3,150,173,25:54,Sun,7,7,@,CHI,L 12-30,27,45,18,60.0,1,3,2.2,6.7,50.6,1,8,2.17,4.4,4.26,1.80,1.76,7.3,38,4.6,2,21,29,72.4,1,2,12,0,95.5,14,2.8,235,60,3.92,69,4.68,3,2:58
154,LVR,2023-10-30,77,0,80,1,1,264,222,20:27,Mon,8,8,@,DET,L 14-26,10,21,11,47.6,0,1,0.0,4.8,46.9,6,49,22.22,3.7,2.85,1.52,1.19,7.7,43,5.2,1,26,37,70.3,1,1,8,1,88.1,18,4.4,157,45,3.49,81,6.00,1,3:00
155,LVR,2023-11-05,209,0,125,3,0,154,123,28:56,Sun,9,9,,NYG,W 30-6,16,25,9,64.0,0,0,0.0,0.0,90.2,0,0,0.00,8.4,8.36,8.36,8.36,13.1,25,4.9,0,19,29,65.5,1,8,46,2,61.6,34,3.7,334,59,5.66,62,4.47,0,2:59
156,LVR,2023-11-12,126,1,148,0,2,257,108,30:18,Sun,10,10,,NYJ,W 16-12,16,27,11,59.3,1,1,3.7,3.7,72.0,3,27,10.00,4.7,4.20,3.74,3.37,7.9,21,5.1,0,23,40,57.5,0,2,6,1,66.4,32,4.6,274,62,4.42,63,5.79,2,3:03
157,LVR,2023-11-19,260,1,36,0,3,323,99,27:45,Sun,11,11,@,MIA,L 13-20,24,41,17,58.5,1,3,2.4,7.3,56.0,2,11,4.65,6.3,6.05,3.54,3.37,10.8,28,3.5,0,28,39,71.8,2,1,2,1,102.8,16,2.3,296,59,5.02,68,6.21,3,3:08
158,LVR,2023-11-26,235,1,123,1,0,291,69,29:15,Sun,12,12,,KAN,L 17-31,23,34,11,67.6,1,0,2.9,0.0,98.7,1,13,2.86,6.9,6.71,7.50,7.29,10.2,23,3.0,2,27,34,79.4,2,1,7,0,121.9,23,5.3,358,58,6.17,58,6.21,0,2:48
159,LVR,2023-12-10,146,0,56,0,3,99,132,27:49,Sun,13,14,,MIN,L 0-3,21,32,11,65.6,0,1,0.0,3.1,66.0,4,25,11.11,4.6,4.06,3.16,2.81,7.0,30,4.4,0,19,36,52.8,0,5,47,0,58.6,17,3.3,202,53,3.81,71,3.25,3,3:07
160,LVR,2023-12-14,254,5,124,2,0,234,92,29:51,Thu,14,15,,LAC,W 63-21,22,36,14,61.1,5,0,13.9,0.0,122.7,1,6,2.70,7.1,6.86,9.83,9.57,11.5,28,3.3,0,23,32,71.9,3,3,23,1,110.7,26,4.8,378,63,6.00,63,5.17,0,3:13
161,LVR,2023-12-25,48,0,157,0,0,223,85,25:42,Mon,15,16,@,KAN,W 20-14,9,21,12,42.9,0,0,0.0,0.0,50.3,2,14,8.70,2.3,2.09,2.29,2.09,5.3,25,3.4,1,28,45,62.2,1,4,23,1,72.7,29,5.4,205,52,3.94,74,4.16,0,3:02
162,LVR,2023-12-31,286,2,84,0,0,215,134,33:44,Sun,16,17,@,IND,L 20-23,30,47,17,63.8,2,0,4.3,0.0,96.0,2,13,4.08,6.1,5.84,6.94,6.65,9.5,29,4.6,1,15,23,65.2,1,1,9,0,109.9,25,3.4,370,74,5.00,53,6.58,0,2:58
163,LVR,2024-01-07,230,2,129,1,0,238,48,30:36,Sun,17,18,,DEN,W 27-14,20,32,12,62.5,2,0,6.3,0.0,106.8,3,14,8.57,7.2,6.57,8.44,7.71,11.5,20,2.4,1,20,34,58.8,1,5,34,1,77.8,31,4.2,359,66,5.44,59,4.85,0,2:56
