Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,NWE,2014-11-23,349,2,90,2,1,244,91,29:49,Sun,11,12,,DET,W 34-9,38,53,15,71.7,2,1,3.8,1.9,94.0,0,0,0.0,6.6,6.58,6.49,6.49,9.2,25,3.6,0,18,46,39.1,0,2,20,1,47.7,20,439,73,6.01,73,4.59,1,3:18,1,11,89,9,54,2,3,42.9,29.4,29,4,22,3,14,6,42.9,1,1,100.0,335,1,11,89,9,54,20,143,0,0,0,4,3,0,439,73,6.01,73,4.59,1,3:18,21,5,12,4,17,5,29.4,3,2,66.7,4,4,4,2,2,0,0,0
12,NWE,2014-11-30,236,2,84,1,0,348,130,23:25,Sun,12,13,@,GNB,L 21-26,22,35,13,62.9,2,0,5.7,0.0,102.7,1,9,2.78,6.7,6.56,7.89,7.67,10.7,29,4.5,0,24,38,63.2,2,3,20,0,110.4,18,320,54,5.93,70,6.83,0,3:00,0,4,25,4,22,0,4,40.0,58.8,20,5,14,1,10,4,40.0,1,1,100.0,478,0,4,25,4,22,8,47,2,2,2,5,4,0,320,54,5.93,70,6.83,0,3:00,24,6,16,2,17,10,58.8,0,0,,3,3,3,1,0,0,0,0
13,NWE,2014-12-07,310,2,87,0,2,163,53,34:33,Sun,13,14,@,LAC,W 23-14,28,44,16,63.6,2,1,4.5,2.3,90.8,1,7,2.22,7.0,6.89,6.93,6.78,11.1,17,3.1,0,20,33,60.6,1,4,26,1,70.6,28,397,73,5.44,54,4.0,2,3:06,1,6,70,8,61,3,0,43.8,30.8,24,6,13,5,16,7,43.8,0,0,,216,1,6,70,8,61,14,131,2,2,2,0,0,0,397,73,5.44,54,4.0,2,3:06,13,2,8,3,13,4,30.8,1,0,0.0,2,2,2,3,3,0,0,0
14,NWE,2014-12-14,287,2,108,2,1,308,76,26:14,Sun,14,15,,MIA,W 41-13,21,35,14,60.0,2,1,5.7,2.9,93.4,0,0,0.0,8.2,8.2,8.06,8.06,13.7,23,3.3,0,29,47,61.7,1,4,38,2,70.2,29,395,64,6.17,74,5.19,1,3:08,2,5,51,5,35,2,2,61.5,18.8,23,10,12,1,13,8,61.5,0,0,,384,2,5,51,5,35,10,86,1,1,1,3,2,0,395,64,6.17,74,5.19,1,3:08,23,4,16,3,16,3,18.8,5,3,60.0,5,5,5,2,2,0,0,0
15,NWE,2014-12-21,146,1,85,1,1,191,116,27:39,Sun,15,16,@,NYJ,W 17-16,23,35,12,65.7,1,1,2.9,2.9,76.1,4,36,10.26,4.2,3.74,3.46,3.1,6.3,32,3.6,0,17,27,63.0,1,2,19,1,80.9,24,231,63,3.67,61,5.03,1,2:51,1,5,38,2,14,1,3,46.2,38.5,19,5,13,1,13,6,46.2,0,0,,307,1,5,38,2,14,7,52,1,1,1,4,3,0,231,63,3.67,61,5.03,1,2:51,16,5,10,1,13,5,38.5,0,0,,2,2,2,1,1,0,0,0
16,NWE,2014-12-28,144,0,116,0,0,164,104,30:57,Sun,16,17,,BUF,L 9-17,18,33,15,54.5,0,0,0.0,0.0,69.0,4,26,10.81,4.4,3.89,4.36,3.89,8.0,33,3.2,1,16,23,69.6,1,2,12,0,104.3,25,260,62,4.19,58,4.62,0,2:43,1,5,55,5,44,3,1,33.3,45.5,14,4,7,3,15,5,33.3,3,1,33.3,268,1,5,55,5,44,10,99,2,2,2,1,1,0,260,62,4.19,58,4.62,0,2:43,16,5,10,1,11,5,45.5,0,0,,0,0,0,3,3,0,0,0
17,NWE,2015-09-10,281,4,80,0,0,330,134,27:55,Thu,1,1,,PIT,W 28-21,25,32,7,78.1,4,0,12.5,0.0,143.7,2,7,5.88,8.8,8.26,11.28,10.62,11.2,25,5.4,1,26,38,68.4,1,3,21,1,93.1,24,361,58,6.22,66,7.03,0,3:00,1,7,64,8,77,0,2,63.6,46.7,26,5,19,2,11,7,63.6,0,0,,464,1,7,64,8,77,15,141,2,1,1,4,2,0,361,58,6.22,66,7.03,0,3:00,23,7,15,1,15,7,46.7,2,2,100.0,4,4,4,0,0,0,0,0
18,NWE,2015-09-20,451,3,56,1,2,189,160,29:57,Sun,2,2,@,BUF,W 40-32,38,59,21,64.4,3,0,5.1,0.0,105.6,2,15,3.28,7.6,7.39,8.66,8.38,11.9,27,5.9,2,23,30,76.7,3,8,53,3,86.0,15,507,76,6.67,65,5.37,2,3:38,3,11,119,14,140,4,0,30.0,30.8,28,4,21,3,10,3,30.0,2,0,0.0,349,3,11,119,14,140,25,259,5,3,2,0,0,0,507,76,6.67,65,5.37,2,3:38,23,11,11,1,13,4,30.8,1,1,100.0,4,4,4,4,4,0,0,0
19,NWE,2015-09-27,346,2,125,4,0,236,57,34:40,Sun,3,3,,JAX,W 51-17,33,42,9,78.6,2,0,4.8,0.0,118.1,2,12,4.55,8.2,7.86,9.19,8.77,10.5,20,2.9,0,17,33,51.5,2,2,6,1,82.4,32,471,76,6.2,55,5.33,0,2:57,1,4,30,7,114,3,1,78.6,50.0,35,12,19,4,14,11,78.6,0,0,,293,1,4,30,7,114,11,144,2,2,2,1,1,0,471,76,6.2,55,5.33,0,2:57,15,2,12,1,12,6,50.0,1,0,0.0,6,6,6,3,3,0,0,0
20,NWE,2015-10-11,247,2,109,1,0,187,102,26:48,Sun,4,5,@,DAL,W 30-6,20,27,7,74.1,2,0,7.4,0.0,130.9,5,28,15.63,9.1,7.72,10.63,8.97,12.4,24,4.3,0,26,39,66.7,0,3,24,1,66.9,23,356,55,6.47,66,4.38,0,3:03,2,9,65,7,50,3,2,30.0,28.6,20,5,11,4,10,3,30.0,1,0,0.0,289,2,9,65,7,50,16,115,0,0,0,2,2,0,356,55,6.47,66,4.38,0,3:03,18,5,10,3,14,4,28.6,2,1,50.0,3,3,3,3,3,0,0,0
21,NWE,2015-10-18,301,3,116,1,1,289,120,27:28,Sun,5,6,@,IND,W 34-27,23,37,14,62.2,3,1,8.1,2.7,104.8,2,11,5.13,8.1,7.72,8.54,8.1,13.1,22,5.5,0,30,50,60.0,3,3,23,0,96.2,25,417,64,6.52,75,5.45,1,3:26,0,8,72,11,103,2,0,41.7,43.8,22,5,15,2,12,5,41.7,1,1,100.0,409,0,8,72,11,103,19,175,4,4,3,0,0,0,417,64,6.52,75,5.45,1,3:26,24,6,16,2,16,7,43.8,3,1,33.3,4,4,4,2,2,0,0,0
