Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,CLE,2014-11-23,313,0,162,2,3,252,63,30:37,Sun,11,12,@,ATL,W 26-24,23,41,18,56.1,0,3,0.0,7.3,51.1,1,9,2.38,7.6,7.45,4.34,4.24,13.6,23,2.7,1,27,43,62.8,2,3,21,1,84.6,29,475,71,6.69,69,4.57,3,3:05,2,5,30,7,40,4,1,40.0,56.3,29,10,16,3,10,4,40.0,0,0,,315,2,5,30,7,40,12,70,3,3,3,1,1,0,475,71,6.69,69,4.57,3,3:05,21,5,15,1,16,9,56.3,0,0,,2,2,2,5,4,0,0,0
12,CLE,2014-11-30,241,0,74,1,3,181,106,29:05,Sun,12,13,@,BUF,L 10-26,23,38,15,60.5,0,2,0.0,5.3,58.6,2,14,5.0,6.3,6.03,3.97,3.78,10.5,30,3.5,0,17,31,54.8,1,1,9,2,56.0,26,315,66,4.77,62,4.63,3,3:13,2,10,76,6,45,1,4,25.0,13.3,19,4,13,2,12,3,25.0,1,0,0.0,287,2,10,76,6,45,16,121,2,2,2,5,4,0,315,66,4.77,62,4.63,3,3:13,15,2,9,4,15,2,13.3,2,2,100.0,1,1,1,2,1,0,0,0
13,CLE,2014-12-07,133,0,115,1,2,269,93,31:56,Sun,13,14,,IND,L 24-25,13,30,17,43.3,0,2,0.0,6.7,29.3,1,3,3.23,4.4,4.29,1.43,1.39,10.2,20,4.7,1,24,53,45.3,2,3,25,2,57.8,32,248,63,3.94,76,4.76,2,3:28,4,7,85,6,40,1,2,26.7,31.3,14,6,7,1,15,4,26.7,0,0,,362,4,7,85,6,40,13,125,3,1,1,2,2,0,248,63,3.94,76,4.76,2,3:28,23,6,14,3,16,5,31.3,1,1,100.0,3,3,3,2,1,0,0,0
14,CLE,2014-12-14,54,0,53,0,2,103,244,21:08,Sun,14,15,,CIN,L 0-30,10,18,8,55.6,0,2,0.0,11.1,27.3,3,26,14.29,3.0,2.57,-2.0,-1.71,5.4,45,5.4,3,14,24,58.3,0,2,14,1,51.2,17,107,38,2.82,71,4.89,2,2:50,1,9,68,5,41,0,3,10.0,50.0,5,1,2,2,10,1,10.0,1,1,100.0,347,1,9,68,5,41,14,109,3,3,3,3,3,0,107,38,2.82,71,4.89,2,2:50,24,16,6,2,14,7,50.0,2,2,100.0,0,0,0,0,0,0,0,0
15,CLE,2014-12-21,144,1,84,0,1,195,209,21:57,Sun,15,16,@,CAR,L 13-17,10,21,11,47.6,1,1,4.8,4.8,70.7,3,22,12.5,6.9,6.0,5.67,4.96,14.4,45,4.6,1,18,31,58.1,1,1,6,1,74.0,22,228,46,4.96,77,5.25,1,3:02,2,6,49,5,49,2,1,25.0,56.3,8,3,4,1,12,3,25.0,0,0,,404,2,6,49,5,49,11,98,2,2,2,2,1,0,228,46,4.96,77,5.25,1,3:02,27,12,12,3,16,9,56.3,0,0,,1,1,1,2,2,0,0,0
16,CLE,2014-12-28,150,0,109,1,2,290,129,30:43,Sun,16,17,@,BAL,L 10-20,14,28,14,50.0,0,1,0.0,3.6,55.2,4,27,12.5,5.4,4.69,3.75,3.28,10.7,28,4.6,0,22,36,61.1,2,1,22,0,105.1,29,259,61,4.25,65,6.45,2,3:05,0,7,58,8,55,1,2,23.1,30.8,16,3,10,3,13,3,23.1,1,1,100.0,419,0,7,58,8,55,15,113,2,2,2,2,2,0,259,61,4.25,65,6.45,2,3:05,22,5,14,3,13,4,30.8,1,0,0.0,1,1,1,1,1,0,0,0
17,CLE,2015-09-13,217,1,104,0,5,179,154,31:40,Sun,1,1,@,NYJ,L 10-31,18,32,14,56.3,1,1,3.1,3.1,76.4,3,14,8.57,6.8,6.2,6.0,5.49,12.1,36,4.3,2,15,24,62.5,2,0,0,1,95.7,28,321,63,5.1,60,5.55,5,3:00,1,12,109,4,30,1,1,50.0,53.8,15,5,10,0,16,8,50.0,2,1,50.0,333,1,12,109,4,30,16,139,4,4,4,1,1,0,321,63,5.1,60,5.55,5,3:00,18,9,9,0,13,7,53.8,1,0,0.0,1,1,1,1,1,0,0,0
18,CLE,2015-09-20,158,2,116,1,0,219,166,24:49,Sun,2,2,,TEN,W 28-14,8,15,7,53.3,2,0,13.3,0.0,133.9,2,14,11.76,10.5,9.29,13.2,11.65,19.8,30,5.5,0,21,37,56.8,2,7,38,0,92.1,30,274,47,5.83,74,5.2,0,3:05,3,4,40,9,85,0,0,36.4,43.8,13,7,5,1,11,4,36.4,1,0,0.0,385,3,4,40,9,85,13,125,2,2,2,0,0,0,274,47,5.83,74,5.2,0,3:05,21,6,14,1,16,7,43.8,2,2,100.0,4,4,4,0,0,0,0,0
19,CLE,2015-09-27,316,2,39,0,2,314,155,27:31,Sun,3,3,,LVR,L 20-27,28,49,21,57.1,2,1,4.1,2.0,83.8,5,25,9.26,6.4,5.85,6.35,5.76,11.3,30,5.2,1,20,32,62.5,2,0,0,0,115.9,14,355,68,5.22,62,7.56,2,3:20,1,6,50,12,85,2,2,50.0,42.9,21,2,16,3,16,8,50.0,1,1,100.0,469,1,6,50,12,85,18,135,3,3,3,2,2,0,355,68,5.22,62,7.56,2,3:20,19,6,11,2,14,6,42.9,0,0,,2,2,2,2,2,0,0,0
20,CLE,2015-10-04,332,2,100,0,1,347,91,34:19,Sun,4,4,@,LAC,L 27-30,32,41,9,78.0,2,0,4.9,0.0,119.1,4,24,8.89,8.1,7.38,9.07,8.27,10.4,21,4.3,0,23,38,60.5,3,2,11,0,116.9,21,432,66,6.55,61,7.18,1,3:15,0,12,91,6,31,4,3,30.8,27.3,20,2,16,2,13,4,30.8,0,0,,438,0,12,91,6,31,18,122,3,3,3,3,3,0,432,66,6.55,61,7.18,1,3:15,23,3,15,5,11,3,27.3,0,0,,2,1,1,4,4,1,1,0
