Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
136,BUF,2022-10-30,216,2,153,1,2,190,208,26:12,Sun,7,8,,GNB,W 27-17,13,25,12,52.0,216,2,2,8.0,8.0,75.1,2,2,7.41,8.6,8.00,6.64,6.15,16.6,31,208,6.7,0,19,30,63.3,190,2,2,13,1,89.6,27,153,5.7,1,369,54,6.83,63,6.32,2,26:12,3:04
137,BUF,2022-11-06,183,0,134,2,2,136,174,27:16,Sun,8,9,@,NYJ,L 17-20,18,34,16,52.9,183,0,2,0.0,5.9,46.8,5,22,12.82,5.4,4.69,2.74,2.38,10.2,34,174,5.1,1,18,25,72.0,136,1,2,18,0,98.1,22,134,6.1,2,317,61,5.20,61,5.08,2,27:16,3:04
138,BUF,2022-11-13,311,1,175,2,4,334,147,33:46,Sun,9,10,,MIN,L 30-33 (OT),29,43,14,67.4,311,1,2,2.3,4.7,78.6,2,19,4.44,7.2,6.91,5.60,5.36,10.7,25,147,5.9,2,30,50,60.0,334,1,4,23,2,69.9,27,175,6.5,2,486,72,6.75,79,6.09,4,33:46,3:46
139,BUF,2022-11-20,186,1,171,1,0,316,80,28:38,Sun,10,11,,CLE,W 31-23,18,27,9,66.7,186,1,0,3.7,0.0,100.4,2,11,6.90,6.9,6.41,7.63,7.10,10.3,26,80,3.1,0,28,41,68.3,316,3,1,8,0,115.5,33,171,5.2,1,357,62,5.76,68,5.82,0,28:38,3:15
140,BUF,2022-11-24,237,2,164,1,1,230,96,31:26,Thu,11,12,@,DET,W 28-25,24,42,18,57.1,237,2,1,4.8,2.4,80.8,3,16,6.67,5.6,5.27,5.52,5.16,9.9,28,96,3.4,1,23,37,62.2,230,2,2,10,0,97.8,29,164,5.7,1,401,74,5.42,67,4.87,1,31:26,3:14
141,BUF,2022-12-01,223,2,132,1,1,182,60,38:08,Thu,12,13,@,NWE,W 24-10,22,33,11,66.7,223,2,0,6.1,0.0,106.0,2,0,5.71,6.8,6.37,7.97,7.51,10.1,14,60,4.3,0,22,36,61.1,182,1,1,13,0,83.3,37,132,3.6,1,355,72,4.93,51,4.75,1,38:08,2:55
142,BUF,2022-12-11,130,1,102,1,0,233,76,25:35,Sun,13,14,,NYJ,W 20-12,16,27,11,59.3,130,1,0,3.7,0.0,86.5,3,17,10.00,4.8,4.33,5.56,5.00,8.1,22,76,3.5,1,28,47,59.6,233,0,4,36,0,72.4,24,102,4.3,1,232,54,4.30,73,4.23,0,25:35,3:06
143,BUF,2022-12-17,296,4,150,0,1,217,188,29:53,Sat,14,15,,MIA,W 32-29,25,40,15,62.5,296,4,0,10.0,0.0,119.2,2,8,4.76,7.4,7.05,9.40,8.95,11.8,25,188,7.5,1,17,30,56.7,217,2,2,17,0,101.7,29,150,5.2,0,446,71,6.28,57,7.11,1,29:53,3:27
144,BUF,2022-12-24,172,2,254,3,3,129,80,28:48,Sat,15,16,@,CHI,W 35-13,15,26,11,57.7,172,2,2,7.7,7.7,71.3,1,0,3.70,6.6,6.37,4.69,4.52,11.5,29,80,2.8,0,18,28,64.3,129,1,2,15,1,71.9,31,254,8.2,3,426,58,7.34,59,3.54,3,28:48,3:02
145,BUF,2023-01-08,237,3,90,0,3,234,107,27:23,Sun,16,18,,NWE,W 35-23,19,31,12,61.3,237,3,1,9.7,3.2,106.1,2,17,6.06,7.6,7.18,8.13,7.64,12.5,23,107,4.7,0,26,40,65.0,234,3,1,9,3,74.4,25,90,3.6,0,327,58,5.64,64,5.33,3,27:23,3:08
