Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,NYJ,2014-11-24,126,0,92,0,1,220,116,29:06,Mon,11,12,@,BUF,L 3-38,17,31,14,54.8,0,1,0.0,3.2,56.5,7,39,18.42,4.1,3.32,2.61,2.13,7.4,29,4.0,2,24,32,75.0,2,1,10,0,114.1,19,218,57,3.82,62,5.42,1,2:50,0,9,60,4,24,1,1,20.0,53.8,11,4,6,1,15,3,20.0,1,1,100.0,336,0,9,60,4,24,13,84,5,5,5,1,1,0,218,57,3.82,62,5.42,1,2:50,21,5,14,2,13,7,53.8,1,0,0.0,0,0,0,1,1,0,0,0
12,NYJ,2014-12-01,49,0,277,1,1,217,74,32:35,Mon,12,13,,MIA,L 13-16,7,13,6,53.8,0,1,0.0,7.7,35.7,2,16,13.33,3.8,3.27,0.31,0.27,7.0,18,4.1,1,25,35,71.4,0,2,18,1,75.5,49,326,64,5.09,55,5.29,1,2:52,1,7,57,3,20,2,3,46.7,38.5,18,13,5,0,15,7,46.7,0,0,,291,1,7,57,3,20,10,77,1,1,1,4,3,0,326,64,5.09,55,5.29,1,2:52,16,5,9,2,13,5,38.5,0,0,,1,1,1,4,2,0,0,0
13,NYJ,2014-12-07,242,1,168,0,2,297,114,35:52,Sun,13,14,@,MIN,L 24-30 (OT),18,29,11,62.1,1,1,3.4,3.4,87.4,3,12,9.38,8.3,7.56,7.48,6.78,13.4,28,4.1,0,19,27,70.4,2,3,12,1,115.8,42,410,74,5.54,58,7.09,2,3:17,2,4,40,6,70,5,1,47.1,50.0,19,7,10,2,17,8,47.1,0,0,,411,2,4,40,6,70,10,110,3,3,3,3,1,0,410,74,5.54,58,7.09,2,3:17,19,5,12,2,12,6,50.0,0,0,,1,1,1,5,5,0,0,1
14,NYJ,2014-12-14,163,1,114,1,0,253,89,30:03,Sun,14,15,@,TEN,W 16-11,16,28,12,57.1,1,0,3.6,0.0,88.2,3,16,9.68,5.8,5.26,6.54,5.9,10.2,28,3.2,0,16,35,45.7,0,1,7,0,70.3,29,277,60,4.62,64,5.34,0,3:15,1,7,46,9,76,1,3,15.4,37.5,17,6,8,3,13,2,15.4,1,1,100.0,342,1,7,46,9,76,16,122,0,0,0,3,3,1,277,60,4.62,64,5.34,0,3:15,17,4,11,2,16,6,37.5,1,0,0.0,2,1,1,2,1,1,0,0
15,NYJ,2014-12-21,191,1,116,0,1,146,85,32:21,Sun,15,16,,NWE,L 16-17,17,27,10,63.0,1,1,3.7,3.7,83.9,2,19,6.9,7.1,6.59,6.15,5.72,11.2,24,3.5,1,23,35,65.7,1,4,36,1,71.8,32,307,61,5.03,63,3.67,1,2:51,1,2,14,5,38,3,1,38.5,46.2,16,5,10,1,13,5,38.5,0,0,,231,1,2,14,5,38,7,52,2,2,2,1,1,0,307,61,5.03,63,3.67,1,2:51,19,5,13,1,13,6,46.2,0,0,,1,1,1,4,3,0,0,0
16,NYJ,2014-12-28,390,3,104,1,1,208,179,31:16,Sun,16,17,@,MIA,W 37-24,21,27,6,77.8,3,0,11.1,0.0,155.8,1,6,3.57,14.4,13.93,16.67,16.07,18.6,20,9.0,2,23,39,59.0,1,7,51,0,82.0,34,494,62,7.97,66,5.86,1,3:09,1,5,40,5,40,3,1,42.9,30.8,18,2,15,1,14,6,42.9,2,1,50.0,387,1,5,40,5,40,10,80,3,3,3,2,1,0,494,62,7.97,66,5.86,1,3:09,23,7,14,2,13,4,30.8,1,0,0.0,4,4,4,4,3,0,0,0
17,NYJ,2015-09-13,179,2,154,2,1,217,104,28:20,Sun,1,1,,CLE,W 31-10,15,24,9,62.5,2,1,8.3,4.2,95.7,0,0,0.0,7.5,7.46,7.25,7.25,11.9,28,3.7,0,18,32,56.3,1,3,14,1,74.6,36,333,60,5.55,63,5.1,1,3:00,5,4,30,12,109,1,1,53.8,50.0,18,9,9,0,13,7,53.8,1,0,0.0,321,5,4,30,12,109,16,139,1,1,1,1,1,0,333,60,5.55,63,5.1,1,3:00,15,5,10,0,16,8,50.0,2,1,50.0,4,4,4,1,1,0,0,0
18,NYJ,2015-09-21,243,2,101,0,1,250,93,31:48,Mon,2,2,@,IND,W 20-7,22,34,12,64.7,2,1,5.9,2.9,93.3,1,1,2.86,7.1,6.94,7.0,6.8,11.0,24,3.9,0,21,37,56.8,1,0,0,3,52.8,27,344,62,5.55,61,5.62,1,3:04,5,8,90,11,84,2,0,33.3,42.9,20,3,13,4,12,4,33.3,0,0,,343,5,8,90,11,84,19,174,1,1,1,1,0,0,344,62,5.55,61,5.62,1,3:04,17,4,11,2,14,6,42.9,0,0,,2,2,2,3,2,0,0,0
19,NYJ,2015-09-27,276,2,47,0,4,108,123,31:49,Sun,3,3,,PHI,L 17-24,35,58,23,60.3,2,3,3.4,5.2,62.6,1,7,1.69,4.8,4.68,3.12,3.07,7.9,38,3.2,1,14,28,50.0,1,1,10,0,71.7,16,323,75,4.31,67,3.45,4,3:15,1,6,53,5,21,1,1,41.2,28.6,19,4,14,1,17,7,41.2,0,0,,231,1,6,53,5,21,11,74,3,3,3,1,1,0,323,75,4.31,67,3.45,4,3:15,18,8,6,4,14,4,28.6,0,0,,2,2,2,1,1,0,0,0
20,NYJ,2015-10-04,218,1,207,2,1,167,59,37:23,Sun,4,4,@,MIA,W 27-14,16,29,13,55.2,1,1,3.4,3.4,76.5,0,0,0.0,7.5,7.52,6.66,6.66,13.6,11,5.4,0,19,44,43.2,2,3,31,2,50.1,43,425,72,5.9,58,3.9,1,3:27,2,14,163,9,80,2,0,37.5,0.0,23,13,8,2,16,6,37.5,0,0,,226,2,14,163,9,80,23,243,2,2,2,0,0,0,425,72,5.9,58,3.9,1,3:27,17,4,8,5,12,0,0.0,4,0,0.0,3,3,3,3,2,0,0,0
