Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,GNB,2014-11-23,207,2,155,1,0,196,112,31:45,Sun,11,12,@,MIN,W 24-21,19,29,10,65.5,2,0,6.9,0.0,109.7,1,2,3.33,7.1,6.9,8.52,8.23,10.9,25,4.5,0,21,37,56.8,2,2,14,1,78.2,32,362,62,5.84,64,4.81,0,2:57,1,8,75,7,77,1,2,54.5,38.5,24,11,10,3,11,6,54.5,0,0,,308,1,8,75,7,77,15,152,2,1,1,2,2,0,362,62,5.84,64,4.81,0,2:57,20,7,11,2,13,5,38.5,1,1,100.0,3,3,3,1,1,0,0,0
12,GNB,2014-11-30,348,2,130,0,0,236,84,36:35,Sun,12,13,,NWE,W 26-21,24,38,14,63.2,2,0,5.3,0.0,112.6,3,20,7.32,9.2,8.49,10.21,9.46,14.5,18,4.7,1,22,35,62.9,2,1,9,0,101.6,29,478,70,6.83,54,5.93,0,3:00,0,4,22,4,25,4,0,58.8,40.0,24,6,16,2,17,10,58.8,0,0,,320,0,4,22,4,25,8,47,3,3,3,1,0,0,478,70,6.83,54,5.93,0,3:00,20,5,14,1,10,4,40.0,1,1,100.0,2,2,2,5,4,0,0,0
13,GNB,2014-12-08,323,3,179,2,0,374,91,33:01,Mon,13,14,,ATL,W 43-37,24,36,12,66.7,3,0,8.3,0.0,123.3,1,4,2.7,9.0,8.73,10.64,10.35,13.5,24,3.8,1,24,39,61.5,4,1,1,1,116.8,30,502,67,7.49,64,7.27,0,3:16,1,5,40,3,11,3,1,58.3,45.5,28,10,17,1,12,7,58.3,1,0,0.0,465,1,5,40,3,11,8,51,5,4,4,2,1,0,502,67,7.49,64,7.27,0,3:16,26,8,17,1,11,5,45.5,3,3,100.0,5,5,4,3,3,0,0,0
14,GNB,2014-12-14,175,0,158,1,2,140,113,27:02,Sun,14,15,@,BUF,L 13-21,17,42,25,40.5,0,2,0.0,4.8,34.3,1,10,2.33,4.2,4.07,2.02,1.98,10.3,33,3.4,0,14,27,51.9,0,3,18,1,51.5,24,333,67,4.97,63,4.02,2,3:14,1,9,70,10,75,2,4,28.6,25.0,21,8,12,1,14,4,28.6,0,0,,253,1,9,70,10,75,19,145,1,1,1,4,4,1,333,67,4.97,63,4.02,2,3:14,13,7,6,0,16,4,25.0,0,0,,1,1,1,3,2,0,0,0
15,GNB,2014-12-21,310,1,121,1,1,93,16,38:38,Sun,15,16,@,TAM,W 20-3,31,40,9,77.5,1,0,2.5,0.0,108.1,1,8,2.44,7.8,7.56,8.25,8.05,10.0,14,1.1,0,12,26,46.2,0,7,54,1,39.4,31,431,72,5.99,47,2.32,1,2:44,1,5,40,3,30,2,1,46.2,28.6,23,6,17,0,13,6,46.2,1,0,0.0,109,1,5,40,3,30,8,70,0,0,0,1,1,0,431,72,5.99,47,2.32,1,2:44,6,1,5,0,14,4,28.6,1,1,100.0,2,2,2,3,2,0,0,0
16,GNB,2014-12-28,225,2,152,1,2,202,111,34:18,Sun,16,17,,DET,W 30-20,18,23,5,78.3,2,0,8.7,0.0,137.7,1,7,4.17,9.8,9.38,11.52,11.04,12.5,23,4.8,0,20,41,48.8,3,2,15,0,87.7,38,377,62,6.08,66,4.74,2,3:16,1,5,40,10,53,0,0,61.5,36.4,24,7,14,3,13,8,61.5,1,0,0.0,313,1,5,40,10,53,15,93,3,2,2,0,0,0,377,62,6.08,66,4.74,2,3:16,23,8,14,1,11,4,36.4,3,1,33.3,4,4,4,1,0,0,0,1
17,GNB,2015-09-13,189,3,133,1,0,213,189,28:08,Sun,1,1,@,CHI,W 31-23,18,23,5,78.3,3,0,13.0,0.0,140.5,0,0,0.0,8.2,8.22,10.83,10.83,10.5,33,5.7,1,18,36,50.0,1,2,12,1,66.1,30,322,53,6.08,71,5.66,0,3:15,1,10,74,6,64,1,3,60.0,64.7,21,10,10,1,10,6,60.0,1,1,100.0,402,1,10,74,6,64,16,138,2,2,2,3,3,0,322,53,6.08,71,5.66,0,3:15,25,10,12,3,17,11,64.7,3,2,66.7,4,4,4,1,1,0,0,0
18,GNB,2015-09-20,234,2,127,0,1,205,119,33:18,Sun,2,2,,SEA,W 27-17,25,33,8,75.8,2,0,6.1,0.0,116.9,2,15,5.71,7.1,6.69,8.3,7.83,9.4,25,4.8,0,19,30,63.3,2,2,1,1,91.7,29,361,64,5.64,57,5.68,1,3:26,2,6,35,6,92,4,1,36.4,33.3,21,7,11,3,11,4,36.4,0,0,,324,2,6,35,6,92,12,127,2,2,2,1,1,0,361,64,5.64,57,5.68,1,3:26,21,8,12,1,9,3,33.3,0,0,,2,1,1,4,4,1,1,0
19,GNB,2015-09-28,325,5,123,0,0,251,75,33:30,Mon,3,3,,KAN,W 38-28,24,35,11,68.6,5,0,14.3,0.0,138.5,1,8,2.78,9.3,9.03,12.14,11.81,13.5,18,4.2,3,24,40,60.0,1,7,39,1,76.1,32,448,68,6.59,65,5.02,0,3:27,1,12,89,7,38,1,0,36.4,20.0,26,6,15,5,11,4,36.4,1,0,0.0,326,1,12,89,7,38,19,127,4,2,2,0,0,0,448,68,6.59,65,5.02,0,3:27,23,6,13,4,10,2,20.0,2,2,100.0,5,5,5,1,1,0,0,0
20,GNB,2015-10-04,200,1,162,1,0,119,77,36:34,Sun,4,4,@,SFO,W 17-3,22,32,10,68.8,1,0,3.1,0.0,99.0,3,24,8.57,6.3,5.71,6.88,6.29,9.1,19,4.1,0,13,25,52.0,0,6,41,1,48.6,33,362,68,5.32,50,3.92,0,2:50,1,8,65,4,30,1,1,33.3,30.8,18,9,8,1,15,5,33.3,2,2,100.0,196,1,8,65,4,30,12,95,0,0,0,1,1,0,362,68,5.32,50,3.92,0,2:50,8,1,7,0,13,4,30.8,1,0,0.0,2,2,2,2,1,0,0,0
