Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,HOU,2014-11-23,184,0,64,0,1,233,139,20:50,Sun,11,12,,CIN,L 13-22,21,45,24,46.7,0,1,0.0,2.2,49.2,1,5,2.17,4.1,4.0,3.09,3.02,8.8,43,3.2,1,24,35,68.6,1,0,0,1,84.6,19,248,65,3.82,78,4.77,1,3:02,1,3,15,6,60,2,2,28.6,55.0,18,4,11,3,14,4,28.6,3,2,66.7,372,1,3,15,6,60,9,75,2,2,2,2,2,1,248,65,3.82,78,4.77,1,3:02,24,6,17,1,20,11,55.0,1,0,0.0,1,1,1,2,2,0,0,0
12,HOU,2014-11-30,358,6,99,0,1,237,83,33:16,Sun,12,13,,TEN,W 45-21,24,33,9,72.7,6,0,18.2,0.0,147.5,0,0,0.0,10.8,10.85,14.48,14.48,14.9,22,3.8,0,19,31,61.3,2,3,38,3,66.9,36,457,69,6.62,56,5.71,1,3:00,4,5,40,6,66,1,0,64.7,33.3,24,5,18,1,17,11,64.7,1,1,100.0,320,4,5,40,6,66,11,106,3,3,3,0,0,0,457,69,6.62,56,5.71,1,3:00,19,6,10,3,9,3,33.3,0,0,,6,6,6,2,1,0,0,0
13,HOU,2014-12-07,135,0,169,3,0,188,74,32:29,Sun,13,14,@,JAX,W 27-13,13,19,6,68.4,0,0,0.0,0.0,88.7,1,0,5.0,7.1,6.75,7.11,6.75,10.4,22,3.4,0,20,40,50.0,1,4,17,1,61.2,43,304,63,4.83,66,3.97,0,3:00,1,7,64,6,40,2,2,21.4,33.3,19,9,7,3,14,3,21.4,2,2,100.0,262,1,7,64,6,40,13,104,1,1,1,2,2,0,304,63,4.83,66,3.97,0,3:00,17,4,10,3,15,5,33.3,2,0,0.0,3,3,3,2,2,0,0,0
14,HOU,2014-12-14,152,0,137,0,2,168,110,31:05,Sun,14,15,@,IND,L 10-17,13,25,12,52.0,0,1,0.0,4.0,54.9,1,5,3.85,6.1,5.85,4.28,4.12,11.7,28,3.9,0,18,34,52.9,2,2,19,1,74.1,41,289,67,4.31,64,4.34,2,3:06,2,8,66,7,45,1,1,31.3,16.7,14,5,7,2,16,5,31.3,3,0,0.0,278,2,8,66,7,45,15,111,2,2,2,1,1,0,289,67,4.31,64,4.34,2,3:06,20,5,12,3,12,2,16.7,0,0,,1,1,1,1,1,0,0,0
15,HOU,2014-12-21,190,1,123,0,1,178,33,34:58,Sun,15,16,,BAL,W 25-13,21,43,22,48.8,1,1,2.3,2.3,59.3,0,0,0.0,4.4,4.42,3.84,3.84,9.0,16,2.1,0,21,50,42.0,2,2,17,3,40.2,38,313,81,3.86,68,3.1,1,3:30,3,7,69,7,56,6,0,33.3,26.7,18,8,9,1,21,7,33.3,0,0,,211,3,7,69,7,56,14,125,2,1,1,0,0,0,313,81,3.86,68,3.1,1,3:30,15,1,11,3,15,4,26.7,2,0,0.0,1,1,1,6,6,0,0,0
16,HOU,2014-12-28,235,2,123,1,2,112,121,39:48,Sun,16,17,,JAX,W 23-17,25,35,10,71.4,2,1,5.7,2.9,98.5,3,15,7.89,6.7,6.18,6.57,6.05,9.4,14,8.6,0,15,34,44.1,1,5,28,0,62.4,39,358,77,4.65,53,4.4,2,3:07,0,6,55,4,25,0,1,55.6,0.0,24,9,13,2,18,10,55.6,0,0,,233,0,6,55,4,25,10,80,2,2,2,2,1,0,358,77,4.65,53,4.4,2,3:07,13,5,4,4,11,0,0.0,2,1,50.0,3,3,3,0,0,0,0,1
17,HOU,2015-09-13,298,2,98,0,2,233,97,24:41,Sun,1,1,,KAN,L 20-27,26,47,21,55.3,2,1,4.3,2.1,83.1,5,36,9.62,6.3,5.73,6.23,5.63,11.5,32,3.0,0,22,33,66.7,3,2,10,0,117.4,21,396,73,5.42,67,4.93,2,3:16,0,6,39,2,25,2,2,21.4,23.1,24,6,17,1,14,3,21.4,1,0,0.0,330,0,6,39,2,25,8,64,3,3,3,3,2,0,396,73,5.42,67,4.93,2,3:16,19,7,12,0,13,3,23.1,0,0,,2,1,0,2,2,1,1,0
18,HOU,2015-09-20,239,1,61,1,1,178,172,27:31,Sun,2,2,@,CAR,L 17-24,27,58,31,46.6,1,1,1.7,1.7,57.0,1,5,1.69,4.1,4.05,3.69,3.63,8.9,33,5.2,1,18,37,48.6,2,2,17,1,69.4,23,300,82,3.66,72,4.86,1,3:39,1,10,70,10,92,1,1,26.3,30.8,21,5,11,5,19,5,26.3,4,2,50.0,350,1,10,70,10,92,20,162,3,3,3,2,1,0,300,82,3.66,72,4.86,1,3:39,25,9,13,3,13,4,30.8,0,0,,2,2,2,1,1,0,0,0
19,HOU,2015-09-27,227,1,186,1,1,261,57,36:16,Sun,3,3,,TAM,W 19-9,24,39,15,61.5,1,1,2.6,2.6,75.6,1,1,2.5,5.8,5.68,5.18,5.05,9.5,20,2.9,0,17,36,47.2,1,0,0,1,69.3,46,413,86,4.8,56,5.68,1,3:19,1,6,58,10,84,2,1,44.4,8.3,30,10,16,4,18,8,44.4,0,0,,318,1,6,58,10,84,16,142,1,1,0,4,1,0,413,86,4.8,56,5.68,1,3:19,14,2,11,1,12,1,8.3,0,0,,2,2,1,3,2,0,0,0
20,HOU,2015-10-04,374,2,54,1,4,243,135,24:08,Sun,4,4,@,ATL,L 21-48,29,57,28,50.9,2,1,3.5,1.8,76.8,1,8,1.72,6.6,6.45,6.47,6.36,12.9,35,3.9,4,19,27,70.4,1,2,13,0,110.6,17,428,75,5.71,64,5.91,4,3:18,0,5,35,10,80,0,0,46.7,56.3,24,3,19,2,15,7,46.7,2,0,0.0,378,0,5,35,10,80,15,115,7,6,6,0,0,0,428,75,5.71,64,5.91,4,3:18,22,8,10,4,16,9,56.3,1,1,100.0,3,3,3,1,0,0,0,0
