Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,MIA,2014-11-23,216,3,97,2,1,249,201,25:43,Sun,11,12,@,DEN,L 36-39,26,36,10,72.2,3,1,8.3,2.8,104.9,1,12,2.7,6.0,5.84,6.42,6.24,8.3,35,5.7,1,28,35,80.0,4,1,8,0,134.4,21,313,58,5.4,71,6.34,1,3:10,1,6,50,9,98,0,1,50.0,69.2,25,5,17,3,8,4,50.0,1,1,100.0,450,1,6,50,9,98,15,148,5,4,4,2,1,0,313,58,5.4,71,6.34,1,3:10,29,10,15,4,13,9,69.2,1,1,100.0,5,4,4,0,0,1,1,0
12,MIA,2014-12-01,217,0,74,1,1,49,277,27:25,Mon,12,13,@,NYJ,W 16-13,25,35,10,71.4,0,1,0.0,2.9,77.7,2,18,5.41,6.2,5.86,4.91,4.65,8.7,49,5.7,1,7,13,53.8,0,2,16,1,30.6,18,291,55,5.29,64,5.09,1,2:52,1,3,20,7,57,3,2,38.5,46.7,16,5,9,2,13,5,38.5,0,0,,326,1,3,20,7,57,10,77,1,1,1,4,2,0,291,55,5.29,64,5.09,1,2:52,18,13,5,0,15,7,46.7,0,0,,1,1,1,4,3,0,0,0
13,MIA,2014-12-07,186,1,63,0,0,264,183,29:42,Sun,13,14,,BAL,L 13-28,23,33,10,69.7,1,0,3.0,0.0,98.9,6,41,15.38,5.6,4.77,6.24,5.28,8.1,31,5.9,2,25,33,75.8,2,1,5,1,106.1,16,249,55,4.53,65,6.88,0,3:05,1,6,30,7,36,2,0,33.3,41.7,16,5,10,1,12,4,33.3,1,0,0.0,447,1,6,30,7,36,13,66,4,4,4,0,0,0,249,55,4.53,65,6.88,0,3:05,26,11,15,0,12,5,41.7,1,1,100.0,1,1,1,2,2,0,0,0
14,MIA,2014-12-14,308,1,76,0,2,287,108,33:46,Sun,14,15,@,NWE,L 13-41,29,47,18,61.7,1,2,2.1,4.3,73.5,4,38,7.84,6.6,6.04,5.06,4.67,10.6,29,3.7,2,21,35,60.0,2,0,0,1,93.4,23,384,74,5.19,64,6.17,2,3:08,1,5,35,5,51,2,2,18.8,61.5,23,4,16,3,16,3,18.8,5,3,60.0,395,1,5,35,5,51,10,86,5,5,5,2,2,0,384,74,5.19,64,6.17,2,3:08,23,10,12,1,13,8,61.5,0,0,,1,1,1,3,2,0,0,0
15,MIA,2014-12-21,383,4,110,1,2,238,119,33:06,Sun,15,16,,MIN,W 37-35,35,47,12,74.5,4,1,8.5,2.1,118.7,1,13,2.08,8.1,7.98,8.89,8.71,10.9,28,4.3,2,19,26,73.1,2,4,21,1,110.7,29,493,77,6.4,58,6.16,2,3:28,1,7,54,8,74,0,2,69.2,58.3,36,7,23,6,13,9,69.2,0,0,,357,1,7,54,8,74,15,128,4,3,3,2,2,0,493,77,6.4,58,6.16,2,3:28,20,8,11,1,12,7,58.3,0,0,,5,5,5,1,0,0,0,1
16,MIA,2014-12-28,208,1,179,2,1,390,104,28:44,Sun,16,17,,NYJ,L 24-37,23,39,16,59.0,1,0,2.6,0.0,87.4,7,51,15.22,5.3,4.52,5.85,4.96,9.0,34,3.1,1,21,27,77.8,3,1,6,0,155.8,20,387,66,5.86,62,7.97,1,3:09,1,5,40,5,40,1,3,30.8,42.9,23,7,14,2,13,4,30.8,1,0,0.0,494,1,5,40,5,40,10,80,4,4,4,4,3,0,387,66,5.86,62,7.97,1,3:09,18,2,15,1,14,6,42.9,2,1,50.0,3,3,3,2,1,0,0,0
17,MIA,2015-09-13,182,1,74,0,1,188,161,22:06,Sun,1,1,@,WAS,W 17-10,22,34,12,64.7,1,0,2.9,0.0,93.5,3,44,8.11,5.4,4.92,5.94,5.46,8.3,37,4.4,0,21,31,67.7,1,1,8,2,67.7,18,256,55,4.65,69,5.06,1,3:00,2,6,39,11,88,1,1,41.7,42.9,19,5,12,2,12,5,41.7,1,0,0.0,349,2,6,39,11,88,17,127,1,1,1,2,1,0,256,55,4.65,69,5.06,1,3:00,20,6,12,2,14,6,42.9,1,0,0.0,2,2,2,1,1,0,0,0
18,MIA,2015-09-20,344,2,42,0,0,273,123,29:52,Sun,2,2,@,JAX,L 20-23,30,44,14,68.2,2,0,4.5,0.0,108.0,2,15,4.35,7.8,7.48,8.73,8.35,11.5,33,3.7,0,18,33,54.5,2,0,0,0,102.2,16,386,62,6.23,66,6.0,0,3:17,0,13,112,9,93,2,3,33.3,35.7,17,0,15,2,15,5,33.3,1,0,0.0,396,0,13,112,9,93,22,205,2,2,2,3,3,0,386,62,6.23,66,6.0,0,3:17,19,4,11,4,14,5,35.7,0,0,,2,2,2,3,2,0,0,0
19,MIA,2015-09-27,289,2,102,0,3,277,151,28:07,Sun,3,3,,BUF,L 14-41,26,49,23,53.1,2,3,4.1,6.1,59.7,2,8,3.92,5.9,5.67,3.96,3.8,11.1,34,4.4,1,21,29,72.4,3,0,0,0,136.7,20,391,71,5.51,63,6.79,3,3:07,0,6,36,5,40,0,2,30.8,53.8,21,7,13,1,13,4,30.8,4,1,25.0,428,0,6,36,5,40,11,76,5,5,5,3,2,0,391,71,5.51,63,6.79,3,3:07,21,4,14,3,13,7,53.8,0,0,,2,1,0,0,0,1,1,0
20,MIA,2015-10-04,167,2,59,0,2,218,207,22:37,Sun,4,4,,NYJ,L 14-27,19,44,25,43.2,2,2,4.5,4.5,53.0,3,31,6.38,3.8,3.55,2.66,2.49,8.8,43,4.8,2,16,29,55.2,1,0,0,1,76.5,11,226,58,3.9,72,5.9,2,3:27,1,9,80,14,163,0,2,0.0,37.5,17,4,8,5,12,0,0.0,4,0,0.0,425,1,9,80,14,163,23,243,3,3,3,3,2,0,226,58,3.9,72,5.9,2,3:27,23,13,8,2,16,6,37.5,0,0,,2,2,2,0,0,0,0,0
21,MIA,2015-10-18,254,2,180,2,2,236,63,31:53,Sun,5,6,@,TEN,W 38-10,22,29,7,75.9,2,2,6.9,6.9,97.8,2,12,6.45,8.8,8.19,7.03,6.58,11.5,18,3.5,0,26,41,63.4,1,6,46,2,66.7,32,434,63,6.89,65,4.6,2,3:06,4,9,97,7,50,1,1,55.6,20.0,26,11,14,1,9,5,55.6,0,0,,299,4,9,97,7,50,16,147,1,1,1,1,1,0,434,63,6.89,65,4.6,2,3:06,22,4,15,3,10,2,20.0,2,1,50.0,5,5,5,1,1,0,0,0
22,MIA,2015-10-25,255,4,248,1,1,251,71,32:05,Sun,6,7,,HOU,W 44-26,19,20,1,95.0,4,0,20.0,0.0,158.3,4,41,16.67,12.8,10.63,16.75,13.96,13.4,25,2.8,1,23,49,46.9,3,4,22,1,74.4,35,503,59,8.53,78,4.13,1,3:19,1,8,52,3,25,1,0,11.1,40.0,21,8,11,2,9,1,11.1,0,0,,322,1,8,52,3,25,11,77,4,3,2,0,0,0,503,59,8.53,78,4.13,1,3:19,24,6,18,0,15,6,40.0,1,0,0.0,6,6,5,1,1,0,0,0
23,MIA,2015-10-29,255,0,15,1,2,342,95,27:23,Thu,7,8,@,NWE,L 7-36,28,44,16,63.6,0,2,0.0,4.5,64.6,5,45,10.2,5.8,5.2,3.75,3.37,9.1,26,3.7,0,26,38,68.4,4,2,14,0,131.7,13,270,62,4.35,66,6.62,2,3:02,0,7,40,8,69,0,2,18.2,25.0,18,2,16,0,11,2,18.2,2,1,50.0,437,0,7,40,8,69,15,109,4,4,4,2,2,1,270,62,4.35,66,6.62,2,3:02,24,8,16,0,12,3,25.0,1,1,100.0,1,1,1,1,0,0,0,0
24,MIA,2015-11-08,289,0,108,2,1,154,266,28:47,Sun,8,9,@,BUF,L 17-33,27,36,9,75.0,0,0,0.0,0.0,101.2,2,27,5.26,8.0,7.61,8.03,7.61,10.7,36,7.4,3,11,12,91.7,1,3,27,0,146.5,24,397,62,6.4,51,8.24,1,2:59,0,8,62,13,94,1,1,44.4,61.5,29,6,16,7,9,4,44.4,0,0,,420,0,8,62,13,94,21,156,4,4,4,1,1,1,397,62,6.4,51,8.24,1,2:59,18,10,7,1,13,8,61.5,0,0,,2,2,2,1,1,0,0,0
25,MIA,2015-11-15,190,2,99,0,0,353,83,28:53,Sun,9,10,@,PHI,W 20-19,21,36,15,58.3,2,0,5.6,0.0,94.3,4,27,10.0,5.3,4.75,6.39,5.75,9.0,35,2.4,1,33,48,68.8,1,4,39,1,88.3,26,289,66,4.38,87,5.01,0,3:12,1,8,84,7,54,2,1,33.3,38.9,15,4,11,0,15,5,33.3,0,0,,436,1,8,84,7,54,15,138,2,2,2,2,1,1,289,66,4.38,87,5.01,0,3:12,29,10,15,4,18,7,38.9,2,1,50.0,2,2,2,2,2,0,0,0
26,MIA,2015-11-22,140,2,70,0,1,220,166,21:10,Sun,10,11,,DAL,L 14-24,13,24,11,54.2,2,1,8.3,4.2,90.3,3,48,11.11,5.8,5.19,5.63,5.0,10.8,38,4.4,0,18,28,64.3,2,2,7,2,82.4,14,210,41,5.12,68,5.68,1,3:04,2,9,74,10,79,0,1,10.0,50.0,9,2,6,1,10,1,10.0,1,0,0.0,386,2,9,74,10,79,19,153,3,3,3,1,1,0,210,41,5.12,68,5.68,1,3:04,22,10,11,1,14,7,50.0,2,1,50.0,2,2,2,0,0,0,0,0
