Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
151,ATL,2023-10-08,351,1,96,1,2,249,64,35:32,Sun,5,5,,HOU,W 21-19,29,38,9,76.3,351,1,0,2.6,0.0,112.9,0,0,0.00,9.2,9.24,9.76,9.76,12.1,23,64,2.8,0,20,35,57.1,249,1,0,0,0,88.9,36,96,2.7,1,447,74,6.04,58,5.40,2,35:32,3:00
152,ATL,2023-10-15,296,2,106,0,3,121,72,36:23,Sun,6,6,,WAS,L 16-24,28,47,19,59.6,296,2,3,4.3,6.4,66.5,3,11,6.00,6.3,5.92,4.28,4.02,10.6,22,72,3.3,0,14,23,60.9,121,3,5,30,0,114.3,29,106,3.7,0,402,79,5.09,50,3.86,3,36:23,2:52
153,ATL,2023-10-22,245,0,156,1,3,256,73,29:59,Sun,7,7,@,TAM,W 16-13,19,25,6,76.0,245,0,0,0.0,0.0,107.1,1,5,3.85,9.8,9.42,9.80,9.42,12.9,20,73,3.7,0,27,42,64.3,256,1,3,19,1,79.1,38,156,4.1,1,401,64,6.27,65,5.06,3,29:59,3:03
154,ATL,2023-10-29,202,1,140,1,1,226,149,27:01,Sun,8,8,@,TEN,L 23-28,20,34,14,58.8,202,1,0,2.9,0.0,91.1,6,44,15.00,5.9,5.05,6.53,5.55,10.1,36,149,4.1,0,19,29,65.5,226,4,2,12,0,128.7,26,140,5.4,1,342,66,5.18,67,5.60,1,27:01,3:12
155,ATL,2023-11-05,260,1,110,1,2,217,146,28:28,Sun,9,9,,MIN,L 28-31,21,38,17,55.3,260,1,1,2.6,2.6,75.3,1,8,2.56,6.8,6.67,6.18,6.03,12.4,33,146,4.4,1,25,36,69.4,217,2,4,19,0,103.6,28,110,3.9,1,370,67,5.52,73,4.97,2,28:28,3:15
156,ATL,2023-11-12,70,1,184,2,0,230,122,31:42,Sun,10,10,@,ARI,L 23-25,12,21,9,57.1,70,1,0,4.8,0.0,84.2,3,24,12.50,3.3,2.92,4.29,3.75,5.8,26,122,4.7,2,19,32,59.4,230,0,2,19,1,68.5,41,184,4.5,2,254,65,3.91,60,5.87,0,31:42,3:02
157,ATL,2023-11-26,168,1,228,1,2,296,148,28:26,Sun,11,12,,NOR,W 24-15,13,21,8,61.9,168,1,2,4.8,9.5,63.3,0,0,0.00,8.0,8.00,4.67,4.67,12.9,28,148,5.3,0,24,38,63.2,296,0,1,8,1,76.2,41,228,5.6,1,396,62,6.39,67,6.63,2,28:26,2:53
158,ATL,2023-12-03,104,1,90,0,0,197,62,29:34,Sun,12,13,@,NYJ,W 13-8,12,27,15,44.4,104,1,0,3.7,0.0,70.1,3,17,10.00,3.9,3.47,4.59,4.13,8.7,25,62,2.5,0,19,38,50.0,197,0,4,17,1,54.4,34,90,2.6,0,194,64,3.03,67,3.87,0,29:34,3:20
159,ATL,2023-12-10,338,1,96,2,1,142,148,28:20,Sun,13,14,,TAM,L 25-29,26,40,14,65.0,338,1,1,2.5,2.5,90.3,3,9,6.98,8.5,7.86,7.83,7.28,13.0,37,148,4.0,1,14,29,48.3,142,2,1,2,0,85.7,26,96,3.7,2,434,69,6.29,67,4.33,1,28:20,3:02
160,ATL,2023-12-17,152,1,52,0,2,154,129,26:04,Sun,14,15,@,CAR,L 7-9,12,20,8,60.0,152,1,1,5.0,5.0,79.6,0,0,0.00,7.6,7.60,6.35,6.35,12.7,36,129,3.6,0,18,24,75.0,154,0,3,13,0,91.3,31,52,1.7,0,204,51,4.00,63,4.49,2,26:04,2:45
161,ATL,2023-12-24,229,1,177,1,0,170,92,29:24,Sun,15,16,,IND,W 29-10,23,33,10,69.7,229,1,0,3.0,0.0,99.2,1,0,2.94,6.9,6.74,7.55,7.32,10.0,25,92,3.7,1,20,37,54.1,170,0,6,31,1,55.0,30,177,5.9,1,406,64,6.34,68,3.85,0,29:24,2:57
162,ATL,2023-12-31,173,1,134,1,4,240,192,22:46,Sun,16,17,@,CHI,L 17-37,13,33,20,39.4,173,1,4,3.0,12.1,28.2,2,7,5.71,5.2,4.94,0.39,0.37,13.3,37,192,5.2,3,20,32,62.5,240,1,3,28,0,95.8,24,134,5.6,1,307,59,5.20,72,6.00,4,22:46,3:15
163,ATL,2024-01-07,311,2,78,0,3,246,154,26:10,Sun,17,18,@,NOR,L 17-48,25,34,9,73.5,311,2,2,5.9,5.9,97.4,1,7,2.86,9.1,8.89,7.68,7.46,12.4,35,154,4.4,2,22,28,78.6,246,4,3,18,0,142.9,25,78,3.1,0,389,60,6.48,66,6.06,3,26:10,3:02
