Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,NOR,2014-11-24,399,3,126,0,1,234,215,29:45,Mon,11,12,,BAL,L 27-34,35,45,10,77.8,3,1,6.7,2.2,118.5,4,21,8.16,8.9,8.14,9.2,8.45,11.4,32,6.7,2,18,24,75.0,1,1,9,0,119.1,21,525,70,7.5,57,7.88,1,3:08,1,5,50,6,42,2,2,41.7,69.2,26,3,20,3,12,5,41.7,1,0,0.0,449,1,5,50,6,42,11,92,4,4,4,2,2,0,525,70,7.5,57,7.88,1,3:08,23,12,9,2,13,9,69.2,0,0,,3,3,3,2,2,0,0,0
12,NOR,2014-11-30,250,5,143,0,0,435,103,26:01,Sun,12,13,@,PIT,W 35-32,19,27,8,70.4,5,0,18.5,0.0,140.0,1,7,3.57,9.3,8.93,12.96,12.5,13.2,23,4.5,1,32,58,55.2,2,1,0,2,76.4,26,393,54,7.28,82,6.56,0,3:18,2,11,77,5,28,0,3,40.0,42.9,20,5,13,2,10,4,40.0,0,0,,538,2,11,77,5,28,16,105,3,1,1,4,3,0,393,54,7.28,82,6.56,0,3:18,36,6,25,5,14,6,42.9,1,0,0.0,5,5,5,0,0,0,0,0
13,NOR,2014-12-07,218,1,92,0,2,226,271,24:00,Sun,13,14,,CAR,L 10-41,29,49,20,59.2,1,1,2.0,2.0,69.7,2,17,3.92,4.4,4.27,3.94,3.78,7.5,40,6.8,2,21,33,63.6,3,0,0,0,114.0,17,310,68,4.56,73,6.81,2,3:16,0,4,30,6,55,1,2,35.7,46.7,18,7,11,0,14,5,35.7,2,1,50.0,497,0,4,30,6,55,10,85,5,5,5,2,2,0,310,68,4.56,73,6.81,2,3:16,24,11,11,2,15,7,46.7,0,0,,1,1,1,2,1,0,0,0
14,NOR,2014-12-15,360,3,83,1,1,153,125,33:31,Mon,14,15,@,CHI,W 31-15,29,36,7,80.6,3,0,8.3,0.0,137.8,2,15,5.26,10.0,9.47,11.67,11.05,12.4,20,6.3,0,17,31,54.8,2,7,41,3,50.3,26,443,64,6.92,58,4.79,1,3:03,3,3,25,9,74,1,0,36.4,16.7,25,3,19,3,11,4,36.4,0,0,,278,3,3,25,9,74,12,99,2,1,1,0,0,0,443,64,6.92,58,4.79,1,3:03,16,8,8,0,12,2,16.7,2,0,0.0,4,4,4,2,1,0,0,0
15,NOR,2014-12-21,271,1,57,1,4,322,81,27:51,Sun,15,16,,ATL,L 14-30,30,47,17,63.8,1,2,2.1,4.3,72.4,5,42,9.62,5.8,5.21,4.28,3.87,9.0,22,3.7,1,30,40,75.0,1,0,0,0,106.5,18,328,70,4.69,62,6.5,4,3:00,0,3,25,6,64,0,3,50.0,46.7,22,2,20,0,14,7,50.0,2,1,50.0,403,0,3,25,6,64,9,89,3,3,3,3,3,0,328,70,4.69,62,6.5,4,3:00,18,3,15,0,15,7,46.7,0,0,,2,2,2,0,0,0,0,0
16,NOR,2014-12-28,268,1,70,2,3,97,183,27:13,Sun,16,17,@,TAM,W 23-20,24,38,14,63.2,1,3,2.6,7.9,61.4,2,13,5.0,7.1,6.7,4.03,3.83,11.2,39,4.7,1,14,23,60.9,1,3,18,1,66.8,23,338,63,5.37,65,4.31,3,2:55,1,2,15,4,23,0,2,50.0,52.9,20,5,14,1,14,7,50.0,1,1,100.0,280,1,2,15,4,23,6,38,2,2,2,2,2,0,338,63,5.37,65,4.31,3,2:55,18,8,9,1,17,9,52.9,0,0,,3,3,3,0,0,0,0,1
17,NOR,2015-09-13,354,1,54,0,1,307,120,33:24,Sun,1,1,@,ARI,L 19-31,30,48,18,62.5,1,1,2.1,2.1,83.2,2,1,4.0,7.4,7.08,6.85,6.58,11.8,25,4.8,1,19,32,59.4,3,0,0,0,122.8,20,408,70,5.83,57,7.49,1,3:07,1,7,73,5,30,4,1,38.9,50.0,18,4,12,2,18,7,38.9,1,0,0.0,427,1,7,73,5,30,12,103,4,4,4,1,1,0,408,70,5.83,57,7.49,1,3:07,25,7,13,5,10,5,50.0,0,0,,1,1,1,4,4,0,0,0
18,NOR,2015-09-20,219,1,104,2,3,194,139,31:28,Sun,2,2,,TAM,L 19-26,24,38,14,63.2,1,1,2.6,2.6,80.5,4,36,9.52,5.8,5.21,5.11,4.62,9.1,35,4.0,1,14,21,66.7,1,3,13,0,112.0,27,323,69,4.68,59,5.64,3,3:16,2,10,115,11,90,0,4,50.0,35.7,21,8,11,2,14,7,50.0,1,1,100.0,333,2,10,115,11,90,21,205,2,2,2,5,4,0,323,69,4.68,59,5.64,3,3:16,18,6,7,5,14,5,35.7,0,0,,3,2,1,1,0,1,0,0
19,NOR,2015-09-27,310,0,70,2,2,312,119,32:44,Sun,3,3,@,CAR,L 22-27,31,38,7,81.6,0,1,0.0,2.6,89.7,1,0,2.56,8.2,7.95,6.97,6.79,10.0,30,4.0,1,20,31,64.5,2,1,3,0,119.3,24,380,63,6.03,62,6.95,2,3:10,0,8,55,10,88,1,2,58.3,45.5,27,5,18,4,12,7,58.3,1,1,100.0,431,0,8,55,10,88,18,143,3,3,3,2,2,0,380,63,6.03,62,6.95,2,3:10,24,7,15,2,11,5,45.5,1,1,100.0,3,1,1,1,1,2,0,0
20,NOR,2015-10-04,335,2,103,1,0,220,115,30:53,Sun,4,4,,DAL,W 26-20 (OT),33,41,8,80.5,2,0,4.9,0.0,119.4,3,24,6.82,8.2,7.61,9.15,8.52,10.2,28,4.1,1,16,26,61.5,1,3,26,0,101.4,25,438,69,6.35,57,5.88,0,3:09,0,8,64,6,30,2,2,46.2,25.0,27,7,17,3,13,6,46.2,1,1,100.0,335,0,8,64,6,30,14,94,2,2,2,2,2,0,438,69,6.35,57,5.88,0,3:09,21,4,11,6,12,3,25.0,1,1,100.0,3,2,2,3,2,0,0,0
