Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
11,MIN,2014-11-23,196,2,112,0,1,207,155,28:15,Sun,11,12,,GNB,L 21-24,21,37,16,56.8,2,1,5.4,2.7,79.8,2,14,5.13,5.3,5.03,5.16,4.9,9.3,32,4.8,1,19,29,65.5,2,1,2,0,109.4,25,308,64,4.81,62,5.84,1,2:57,0,7,77,8,75,2,1,38.5,54.5,20,7,11,2,13,5,38.5,1,1,100.0,362,0,7,77,8,75,15,152,3,3,3,1,1,0,308,64,4.81,62,5.84,1,2:57,24,11,10,3,11,6,54.5,0,0,,2,1,1,2,2,1,1,0
12,MIN,2014-11-30,118,2,92,0,0,170,178,24:12,Sun,12,13,,CAR,W 31-13,15,21,6,71.4,2,0,9.5,0.0,120.7,3,20,12.5,5.6,4.92,7.52,6.58,7.9,33,5.4,0,18,35,51.4,1,4,24,1,62.8,24,210,48,4.38,72,4.83,0,2:50,1,5,25,4,35,1,2,36.4,43.8,12,3,8,1,11,4,36.4,0,0,,348,1,5,25,4,35,9,60,1,1,1,2,2,0,210,48,4.38,72,4.83,0,2:50,23,12,10,1,16,7,43.8,1,1,100.0,4,4,4,1,1,0,0,0
13,MIN,2014-12-07,297,2,114,0,2,242,168,28:47,Sun,13,14,,NYJ,W 30-24 (OT),19,27,8,70.4,2,1,7.4,3.7,117.7,3,12,10.0,11.0,9.9,10.81,9.73,15.6,42,4.0,0,18,29,62.1,1,3,12,1,85.7,28,411,58,7.09,74,5.54,2,3:17,2,6,70,4,40,1,5,50.0,47.1,19,5,12,2,12,6,50.0,0,0,,410,2,6,70,4,40,10,110,1,1,1,5,5,1,411,58,7.09,74,5.54,2,3:17,19,7,10,2,17,8,47.1,0,0,,3,3,3,3,1,0,0,0
14,MIN,2014-12-14,284,1,76,1,2,153,80,34:43,Sun,14,15,@,DET,L 14-16,31,41,10,75.6,1,2,2.4,4.9,84.9,4,31,8.89,6.9,6.31,5.22,4.76,9.2,22,3.6,0,17,28,60.7,1,0,0,0,87.4,21,360,66,5.45,50,4.66,2,2:49,0,3,25,5,35,0,3,36.4,18.2,21,7,14,0,11,4,36.4,2,1,50.0,233,0,3,25,5,35,8,60,1,1,1,3,3,0,360,66,5.45,50,4.66,2,2:49,11,3,8,0,11,2,18.2,0,0,,2,2,2,3,0,0,0,0
15,MIN,2014-12-21,238,2,119,2,1,383,110,26:54,Sun,15,16,@,MIA,L 35-37,19,26,7,73.1,2,1,7.7,3.8,114.1,4,21,13.33,9.2,7.93,8.96,7.77,12.5,29,3.8,1,35,47,74.5,4,1,13,1,117.6,28,357,58,6.16,77,6.4,1,3:28,2,8,74,7,54,2,0,58.3,69.2,20,8,11,1,12,7,58.3,0,0,,493,2,8,74,7,54,15,128,5,5,5,1,0,1,357,58,6.16,77,6.4,1,3:28,36,7,23,6,13,9,69.2,0,0,,4,3,3,2,2,1,1,0
16,MIN,2014-12-28,190,1,121,0,1,165,99,28:27,Sun,16,17,,CHI,W 13-9,17,25,8,68.0,1,1,4.0,4.0,90.2,3,19,10.71,7.6,6.79,6.6,5.89,11.2,21,4.7,0,23,36,63.9,0,2,7,0,74.4,33,311,61,5.1,59,4.47,1,2:53,0,4,25,8,50,2,3,53.3,26.7,15,6,9,0,15,8,53.3,1,0,0.0,264,0,4,25,8,50,12,75,0,0,0,4,3,0,311,61,5.1,59,4.47,1,2:53,12,5,7,0,15,4,26.7,3,2,66.7,1,1,1,2,2,0,0,0
17,MIN,2015-09-14,177,0,71,0,1,165,230,26:58,Mon,1,1,@,SFO,L 3-20,23,32,9,71.9,0,1,0.0,3.1,79.0,5,54,13.51,5.5,4.78,4.13,3.57,7.7,39,5.9,2,17,26,65.4,0,1,0,0,83.0,17,248,54,4.59,66,5.98,1,2:49,1,5,25,8,57,1,2,11.1,41.7,17,5,11,1,9,1,11.1,2,0,0.0,395,1,5,25,8,57,13,82,2,2,2,3,2,0,248,54,4.59,66,5.98,1,2:49,25,14,8,3,12,5,41.7,0,0,,0,0,0,2,1,0,0,0
18,MIN,2015-09-20,151,1,199,2,1,285,38,31:06,Sun,2,2,,DET,W 26-16,14,18,4,77.8,1,0,5.6,0.0,120.6,1,2,5.26,8.4,7.95,9.5,9.0,10.8,16,2.4,0,32,53,60.4,2,1,1,1,79.5,42,350,61,5.74,70,4.61,1,3:17,3,10,97,6,39,2,1,50.0,46.2,20,12,7,1,14,7,50.0,1,1,100.0,323,3,10,97,6,39,16,136,2,1,1,1,1,0,350,61,5.74,70,4.61,1,3:17,25,2,17,6,13,6,46.2,2,2,100.0,3,3,2,2,2,0,0,0
19,MIN,2015-09-27,121,0,163,3,1,279,90,26:31,Sun,3,3,,LAC,W 31-14,13,24,11,54.2,0,1,0.0,4.2,50.9,0,0,0.0,5.0,5.04,3.17,3.17,9.3,28,3.2,0,26,40,65.0,2,4,30,1,91.6,31,284,55,5.16,72,5.13,1,3:00,2,3,39,7,74,1,0,33.3,47.1,18,8,8,2,9,3,33.3,0,0,,369,2,3,39,7,74,10,113,2,2,2,0,0,0,284,55,5.16,72,5.13,1,3:00,21,8,12,1,17,8,47.1,1,0,0.0,4,4,4,1,1,0,0,0
20,MIN,2015-10-04,212,1,113,1,1,200,144,33:54,Sun,4,4,@,DEN,L 20-23,27,41,14,65.9,1,0,2.4,0.0,92.4,7,57,14.58,5.2,4.42,5.66,4.83,7.9,24,6.0,1,17,27,63.0,1,2,13,2,66.9,21,325,69,4.71,53,6.49,1,3:00,2,9,63,8,40,2,3,37.5,22.2,19,5,13,1,16,6,37.5,2,2,100.0,344,2,9,63,8,40,17,103,2,2,2,3,3,0,325,69,4.71,53,6.49,1,3:00,18,4,11,3,9,2,22.2,1,1,100.0,2,2,2,3,2,0,0,0
