Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Chicago Bears,Los Angeles Chargers,0,388,231,2,1
Indianapolis Colts,Denver Broncos,1,318,279,1,0
Detroit Lions,New York Giants,1,375,370,2,1
Atlanta Falcons,Seattle Seahawks,0,510,322,3,0
Los Angeles Rams,Cincinnati Bengals,1,470,401,0,0
New Orleans Saints,Arizona Cardinals,1,510,237,1,0
Jacksonville Jaguars,New York Jets,1,389,213,1,3
Tennessee Titans,Tampa Bay Buccaneers,1,246,389,1,4
San Francisco 49ers,Carolina Panthers,1,388,230,1,3
New England Patriots,Cleveland Browns,1,318,310,0,3
Houston Texans,Oakland Raiders,1,388,378,0,0
Kansas City Chiefs,Green Bay Packers,0,337,374,1,0
Pittsburgh Steelers,Miami Dolphins,1,394,230,1,4
Arizona Cardinals,San Francisco 49ers,0,357,411,0,0
Jacksonville Jaguars,Houston Texans,0,356,410,4,1
Buffalo Bills,Washington Redskins,1,268,243,0,0
Carolina Panthers,Tennessee Titans,1,370,431,1,3
Philadelphia Eagles,Chicago Bears,1,373,164,0,1
Pittsburgh Steelers,Indianapolis Colts,1,273,328,2,3
Miami Dolphins,New York Jets,1,316,321,0,1
Kansas City Chiefs,Minnesota Vikings,1,377,308,1,0
Oakland Raiders,Detroit Lions,1,450,473,0,2
Seattle Seahawks,Tampa Bay Buccaneers,1,492,418,1,1
Denver Broncos,Cleveland Browns,1,302,351,1,0
Los Angeles Chargers,Green Bay Packers,1,442,184,0,0
Baltimore Ravens,New England Patriots,1,372,342,2,2
New York Giants,Dallas Cowboys,0,271,429,3,2
Oakland Raiders,Los Angeles Chargers,1,278,315,0,3
New Orleans Saints,Atlanta Falcons,0,310,317,0,1
Cleveland Browns,Buffalo Bills,1,368,344,0,0
Chicago Bears,Detroit Lions,1,226,357,0,1
Cincinnati Bengals,Baltimore Ravens,0,307,379,3,1
Tampa Bay Buccaneers,Arizona Cardinals,1,457,417,3,2
