Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
16,NOR,2014-12-28,3,1,2,15,4,23,0,2,50.0,52.9,Sun,16,17,@,TAM,W 23-20,20,5,14,1,14,7,50.0,1,1,100.0,280,1,2,15,4,23,6,38,2,2,2,2,2,0,338,63,5.37,65,4.31,3,27:13,2:55,18,8,9,1,17,9,52.9,0,0,,3,3,3,0,0,0,0,1
17,NOR,2015-09-13,1,1,7,73,5,30,4,1,38.9,50.0,Sun,1,1,@,ARI,L 19-31,18,4,12,2,18,7,38.9,1,0,0.0,427,1,7,73,5,30,12,103,4,4,4,1,1,0,408,70,5.83,57,7.49,1,33:24,3:07,25,7,13,5,10,5,50.0,0,0,,1,1,1,4,4,0,0,0
18,NOR,2015-09-20,3,2,10,115,11,90,0,4,50.0,35.7,Sun,2,2,,TAM,L 19-26,21,8,11,2,14,7,50.0,1,1,100.0,333,2,10,115,11,90,21,205,2,2,2,5,4,0,323,69,4.68,59,5.64,3,31:28,3:16,18,6,7,5,14,5,35.7,0,0,,3,2,1,1,0,1,0,0
19,NOR,2015-09-27,2,0,8,55,10,88,1,2,58.3,45.5,Sun,3,3,@,CAR,L 22-27,27,5,18,4,12,7,58.3,1,1,100.0,431,0,8,55,10,88,18,143,3,3,3,2,2,0,380,63,6.03,62,6.95,2,32:44,3:10,24,7,15,2,11,5,45.5,1,1,100.0,3,1,1,1,1,2,0,0
20,NOR,2015-10-04,0,0,8,64,6,30,2,2,46.2,25.0,Sun,4,4,,DAL,W 26-20 (OT),27,7,17,3,13,6,46.2,1,1,100.0,335,0,8,64,6,30,14,94,2,2,2,2,2,0,438,69,6.35,57,5.88,0,30:53,3:09,21,4,11,6,12,3,25.0,1,1,100.0,3,2,2,3,2,0,0,0
21,NOR,2015-10-11,4,2,7,78,4,35,1,4,50.0,36.4,Sun,5,5,@,PHI,L 17-39,19,5,14,0,16,8,50.0,1,1,100.0,519,2,7,78,4,35,11,113,4,4,3,4,4,0,388,69,5.62,79,6.57,4,25:58,3:08,34,11,18,5,11,4,36.4,2,0,0.0,2,2,2,1,1,0,0,0
22,NOR,2015-10-15,0,3,3,15,7,41,1,0,50.0,25.0,Thu,6,6,,ATL,W 31-21,25,7,16,2,16,8,50.0,1,1,100.0,413,3,3,15,7,41,10,56,3,3,3,0,0,0,385,72,5.35,70,5.90,0,32:30,3:07,23,8,15,0,12,3,25.0,4,3,75.0,4,4,4,3,1,0,0,0
23,NOR,2015-10-25,1,3,12,100,7,42,0,0,35.0,23.1,Sun,7,7,@,IND,W 27-21,22,9,12,1,20,7,35.0,1,1,100.0,376,3,12,100,7,42,19,142,3,3,3,0,0,0,449,83,5.41,61,6.16,1,38:23,3:35,15,3,10,2,13,3,23.1,0,0,,4,4,3,0,0,0,0,0
24,NOR,2015-11-01,2,1,12,93,6,53,1,0,63.6,12.5,Sun,8,8,,NYG,W 52-49,35,10,24,1,11,7,63.6,1,1,100.0,416,1,12,93,6,53,18,146,7,7,7,0,0,0,608,76,8.00,65,6.40,2,34:59,3:33,28,5,16,7,8,1,12.5,2,2,100.0,7,7,7,1,1,0,0,0
25,NOR,2015-11-08,2,1,8,75,9,66,0,2,54.5,38.5,Sun,9,9,,TEN,L 28-34 (OT),30,5,18,7,11,6,54.5,0,0,,483,1,8,75,9,66,17,141,4,2,2,3,2,0,416,70,5.94,67,7.21,2,32:49,3:19,25,3,19,3,13,5,38.5,0,0,,4,4,4,1,0,0,0,0
26,NOR,2015-11-15,2,0,7,50,5,26,0,4,36.4,54.5,Sun,10,10,@,WAS,L 14-47,16,6,10,0,11,4,36.4,2,0,0.0,510,0,7,50,5,26,12,76,5,5,5,4,4,0,350,55,6.36,59,8.64,2,26:26,2:52,23,9,12,2,11,6,54.5,0,0,,2,2,2,0,0,0,0,0
27,NOR,2015-11-29,1,1,10,82,6,40,2,1,25.0,46.2,Sun,11,12,@,HOU,L 6-24,14,2,11,1,12,3,25.0,1,0,0.0,362,1,10,82,6,40,16,122,3,3,3,1,1,0,268,56,4.79,66,5.48,1,23:37,2:50,23,9,11,3,13,6,46.2,0,0,,0,0,0,2,2,0,0,0
28,NOR,2015-12-06,1,3,11,104,8,87,0,0,30.0,37.5,Sun,12,13,,CAR,L 38-41,21,5,13,3,10,3,30.0,1,0,0.0,497,3,11,104,8,87,19,191,6,6,5,0,0,0,334,58,5.76,76,6.54,1,23:26,3:21,33,9,18,6,8,3,37.5,2,2,100.0,5,4,4,1,0,1,1,0
29,NOR,2015-12-13,0,0,12,95,8,80,1,1,70.6,36.4,Sun,13,14,@,TAM,W 24-17,26,7,16,3,17,12,70.6,0,0,,291,0,12,95,8,80,20,175,2,2,2,2,1,0,388,78,4.97,52,5.60,0,37:14,3:05,18,5,8,5,11,4,36.4,1,1,100.0,3,3,3,1,1,0,0,0
30,NOR,2015-12-21,0,1,6,28,10,92,2,0,35.7,50.0,Mon,14,15,,DET,L 27-35,27,3,21,3,14,5,35.7,2,2,100.0,396,1,6,28,10,92,16,120,5,5,5,1,0,0,399,71,5.62,51,7.76,0,30:24,3:16,24,8,15,1,8,4,50.0,0,0,,3,3,3,2,2,0,0,0
31,NOR,2015-12-27,0,2,5,40,8,55,1,0,61.5,66.7,Sun,15,16,,JAX,W 38-27,29,9,18,2,13,8,61.5,1,1,100.0,412,2,5,40,8,55,13,95,4,1,1,0,0,0,537,72,7.46,52,7.92,0,37:53,3:01,21,4,17,0,9,6,66.7,0,0,,5,5,5,3,1,0,0,0
32,NOR,2016-01-03,1,2,4,45,4,32,2,1,60.0,66.7,Sun,16,17,@,ATL,W 20-17,24,6,16,2,10,6,60.0,1,0,0.0,414,2,4,45,4,32,8,77,2,2,2,2,1,0,390,65,6.00,63,6.57,1,29:34,2:53,25,5,18,2,12,8,66.7,0,0,,2,2,2,2,2,0,0,0
33,NOR,2016-09-11,1,0,7,53,14,141,2,2,36.4,36.4,Sun,1,1,,OAK,L 34-35,27,7,16,4,11,4,36.4,1,1,100.0,486,0,7,53,14,141,21,194,4,1,1,2,2,0,507,65,7.80,64,7.59,1,29:35,4:23,25,8,14,3,11,4,36.4,0,0,,4,4,4,4,2,0,0,0
34,NOR,2016-09-18,0,3,7,76,3,25,2,3,23.1,46.7,Sun,2,2,@,NYG,L 13-16,16,1,15,0,13,3,23.1,0,0,,417,3,7,76,3,25,10,101,1,1,1,4,3,0,288,59,4.88,75,5.56,0,25:53,3:07,22,5,15,2,15,7,46.7,1,0,0.0,1,1,1,3,2,0,0,0
35,NOR,2016-09-26,2,0,5,75,4,35,1,1,53.8,45.5,Mon,3,3,,ATL,L 32-45,32,9,21,2,13,7,53.8,2,1,50.0,442,0,5,75,4,35,9,110,6,6,6,1,1,0,474,79,6.00,63,7.02,2,32:34,3:02,26,11,13,2,11,5,45.5,2,2,100.0,4,3,3,1,1,1,1,0
36,NOR,2016-10-02,2,3,6,34,5,46,0,2,61.1,46.2,Sun,4,4,@,SDG,W 35-34,21,6,15,0,18,11,61.1,1,1,100.0,346,3,6,34,5,46,11,80,4,4,4,2,2,0,275,72,3.82,67,5.16,2,32:39,3:22,21,5,15,1,13,6,46.2,1,0,0.0,5,5,5,0,0,0,0,0
37,NOR,2016-10-16,1,2,10,126,5,51,2,1,50.0,27.3,Sun,5,6,,CAR,W 41-38,23,3,19,1,16,8,50.0,1,1,100.0,406,2,10,126,5,51,15,177,5,4,3,1,1,0,523,71,7.37,76,5.34,1,28:55,3:42,32,9,20,3,11,3,27.3,1,1,100.0,5,5,5,3,2,0,0,0
38,NOR,2016-10-23,2,0,10,75,4,30,0,2,64.3,33.3,Sun,6,7,@,KAN,L 21-27,27,6,20,1,14,9,64.3,0,0,,326,0,10,75,4,30,14,105,3,3,3,2,2,0,463,71,6.52,52,6.27,2,32:38,3:05,20,7,11,2,9,3,33.3,0,0,,3,3,3,0,0,0,0,0
39,NOR,2016-10-30,1,1,2,10,11,76,4,2,60.0,45.5,Sun,7,8,,SEA,W 25-20,28,7,17,4,15,9,60.0,0,0,,359,1,2,10,11,76,13,86,2,2,2,2,2,0,375,72,5.21,54,6.65,1,36:12,3:00,15,4,11,0,11,5,45.5,1,0,0.0,2,1,1,4,4,1,0,0
40,NOR,2016-11-06,0,4,4,40,9,78,2,3,64.7,22.2,Sun,8,9,@,SFO,W 41-23,29,14,14,1,17,11,64.7,0,0,,486,4,4,40,9,78,13,118,2,2,2,3,3,0,571,82,6.96,57,8.53,0,38:53,3:13,19,4,15,0,9,2,22.2,2,0,0.0,5,5,5,3,2,0,0,0
41,NOR,2016-11-13,4,2,3,25,1,10,1,3,44.4,57.9,Sun,9,10,,DEN,L 23-25,19,4,15,0,9,4,44.4,0,0,,337,2,3,25,1,10,4,35,2,2,2,4,3,0,373,51,7.31,83,4.06,4,20:38,3:05,24,3,20,1,19,11,57.9,0,0,,3,3,2,1,1,0,0,0
42,NOR,2016-11-17,2,0,6,48,6,45,2,3,30.8,41.2,Thu,10,11,@,CAR,L 20-23,28,7,19,2,13,4,30.8,2,2,100.0,223,0,6,48,6,45,12,93,2,2,2,3,3,0,371,72,5.15,62,3.60,2,32:15,3:14,17,5,10,2,17,7,41.2,0,0,,2,2,2,3,2,0,0,0
43,NOR,2016-11-27,1,2,6,45,6,62,0,0,46.2,20.0,Sun,11,12,,LAR,W 49-21,27,9,17,1,13,6,46.2,2,2,100.0,247,2,6,45,6,62,12,107,3,3,3,0,0,0,555,71,7.82,52,4.75,1,35:56,3:08,13,4,8,1,10,2,20.0,1,0,0.0,7,7,7,0,0,0,0,0
44,NOR,2016-12-04,3,0,10,83,6,39,2,5,46.2,41.7,Sun,12,13,,DET,L 13-28,20,3,16,1,13,6,46.2,0,0,,422,0,10,83,6,39,16,122,2,1,1,5,5,0,369,57,6.47,67,6.30,3,23:08,3:09,24,5,16,3,12,5,41.7,0,0,,1,1,1,2,2,0,0,0
