Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
100,JAX,2020-10-04,340,2,89,0,1,300,205,26:49,Sun,4,4,@,CIN,L 25-33,27,40,13,67.5,2,1,5.0,2.5,101.1,3,11,6.98,8.5,7.91,8.38,7.79,12.6,34,6.0,2,25,36,69.4,1,1,0,1,92.4,20,429,63,6.81,71,7.11,1,3:10
101,JAX,2020-10-11,289,2,75,0,2,357,129,31:59,Sun,5,5,@,HOU,L 14-30,31,49,18,63.3,2,0,4.1,0.0,94.0,4,12,7.55,5.9,5.45,6.71,6.21,9.3,22,5.9,0,25,35,71.4,3,1,2,2,108.9,20,364,73,4.99,58,8.38,2,2:55
102,JAX,2020-10-18,231,1,44,1,2,223,180,24:03,Sun,6,6,,DET,L 16-34,25,44,19,56.8,1,1,2.3,2.3,70.5,1,12,2.22,5.3,5.13,4.68,4.58,9.2,39,4.6,3,19,31,61.3,1,0,0,1,80.4,16,275,61,4.51,70,5.76,2,3:00
103,JAX,2020-10-25,154,2,140,1,1,349,135,25:29,Sun,7,7,@,LAC,L 29-39,14,27,13,51.9,2,0,7.4,0.0,96.7,5,19,15.63,5.7,4.81,7.19,6.06,11.0,32,4.2,2,28,44,63.6,3,1,2,0,110.9,27,294,59,4.98,77,6.29,1,3:09
104,JAX,2020-11-08,288,1,115,2,1,267,107,32:07,Sun,8,9,,HOU,L 25-27,26,38,12,68.4,1,1,2.6,2.6,90.2,2,16,5.0,7.6,7.2,6.92,6.58,11.1,28,3.8,1,19,32,59.4,2,2,14,0,107.2,27,403,67,6.01,62,6.03,1,3:11
105,JAX,2020-11-15,151,1,109,0,1,315,80,28:19,Sun,9,10,@,GNB,L 20-24,18,35,17,51.4,1,1,2.9,2.9,62.7,3,18,7.89,4.3,3.97,3.6,3.32,8.4,25,3.2,1,24,34,70.6,2,1,10,1,106.9,23,260,61,4.26,60,6.58,1,3:15
106,JAX,2020-11-22,133,0,73,0,4,267,106,23:31,Sun,10,11,,PIT,L 3-27,16,37,21,43.2,0,4,0.0,10.8,15.5,2,18,5.13,3.6,3.41,-1.27,-1.21,8.3,27,3.9,1,32,46,69.6,2,0,0,1,89.7,17,206,56,3.68,73,5.11,4,3:04
107,JAX,2020-11-29,235,2,140,1,0,252,207,27:19,Sun,11,12,,CLE,L 25-27,20,35,15,57.1,2,0,5.7,0.0,96.7,0,0,0.0,6.7,6.71,7.86,7.86,11.8,33,6.3,1,19,29,65.5,2,2,6,0,115.9,25,375,60,6.25,64,7.17,0,3:12
108,JAX,2020-12-06,266,1,124,1,4,275,145,30:38,Sun,12,13,@,MIN,L 24-27 (OT),28,42,14,66.7,1,2,2.4,4.8,73.5,2,14,4.55,6.3,6.05,4.67,4.45,9.5,38,3.8,0,28,43,65.1,3,4,30,1,96.6,25,390,69,5.65,85,4.94,4,3:39
109,JAX,2020-12-13,263,1,91,0,1,205,249,28:17,Sun,13,14,,TEN,L 10-31,31,54,23,57.4,1,1,1.9,1.9,68.7,0,0,0.0,4.9,4.87,4.41,4.41,8.5,40,6.2,2,19,24,79.2,2,1,7,0,130.0,15,354,69,5.13,65,6.98,1,3:02
