Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
18,PIT,2015-09-20,369,3,84,3,0,298,111,23:01,Sun,2,2,,SFO,W 43-18,21,27,6,77.8,3,0,11.1,0.0,155.8,0,0,0.0,13.7,13.67,15.89,15.89,17.6,31,3.6,0,33,46,71.7,2,5,37,0,103.4,25,453,52,8.71,82,4.99,0,3:04
19,PIT,2015-09-27,197,0,62,1,1,187,71,32:19,Sun,3,3,@,LAR,W 12-6,25,30,5,83.3,0,1,0.0,3.3,84.7,5,33,14.29,6.6,5.63,5.07,4.34,7.9,18,3.9,0,19,29,65.5,0,2,10,1,69.2,22,259,57,4.54,49,5.27,1,3:10
20,PIT,2015-10-01,96,1,167,1,0,165,191,32:09,Thu,4,4,,BAL,L 20-23 (OT),19,26,7,73.1,1,0,3.8,0.0,95.7,4,28,13.33,3.7,3.2,4.46,3.87,5.1,39,4.9,1,21,34,61.8,1,5,21,1,71.3,33,263,63,4.17,78,4.56,0,3:23
21,PIT,2015-10-12,194,1,155,1,1,354,52,26:17,Mon,5,5,@,LAC,W 24-20,13,26,13,50.0,1,1,3.8,3.8,73.1,3,9,10.34,7.5,6.69,6.5,5.83,14.9,19,2.7,0,35,48,72.9,2,2,11,1,98.8,27,349,56,6.23,69,5.88,1,3:08
22,PIT,2015-10-18,169,2,141,0,0,414,55,28:51,Sun,6,6,,ARI,W 25-13,11,20,9,55.0,2,0,10.0,0.0,117.5,1,5,4.76,8.5,8.05,10.45,9.95,15.4,20,2.8,0,29,45,64.4,1,1,7,2,83.0,32,310,53,5.85,66,7.11,0,3:09
23,PIT,2015-10-25,192,1,147,0,3,239,138,27:34,Sun,7,7,@,KAN,L 13-23,16,29,13,55.2,1,2,3.4,6.9,60.8,2,17,6.45,6.6,6.19,4.21,3.94,12.0,29,4.8,1,21,32,65.6,1,2,12,0,98.3,24,339,55,6.16,63,5.98,3,2:54
24,PIT,2015-11-01,240,1,116,0,3,218,78,30:09,Sun,8,8,,CIN,L 10-16,28,45,17,62.2,1,3,2.2,6.7,57.8,3,22,6.25,5.3,5.0,2.78,2.6,8.6,23,3.4,0,23,38,60.5,1,3,13,2,63.3,19,356,67,5.31,64,4.63,3,3:22
25,PIT,2015-11-08,402,2,195,2,2,301,139,32:04,Sun,9,9,,LVR,W 38-35,28,50,22,56.0,2,1,4.0,2.0,88.2,1,11,1.96,8.0,7.88,7.94,7.78,14.4,25,5.6,1,24,44,54.5,4,0,0,1,96.9,30,597,81,7.37,69,6.38,2,3:47
26,PIT,2015-11-15,399,3,60,0,2,327,15,27:17,Sun,10,10,,CLE,W 30-9,25,37,12,67.6,3,1,8.1,2.7,119.4,1,3,2.63,10.8,10.5,11.19,10.89,16.0,14,1.1,0,33,45,73.3,1,6,45,1,91.6,21,459,59,7.78,65,5.26,2,3:08
27,PIT,2015-11-29,480,1,58,2,4,336,100,32:00,Sun,11,12,@,SEA,L 30-39,37,59,22,62.7,1,4,1.7,6.8,66.3,2,10,3.28,8.1,7.87,5.42,5.25,13.0,27,3.7,1,21,30,70.0,5,2,9,0,146.7,14,538,75,7.17,59,7.39,4,3:30
