Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
52,LAC,2017-10-01,342,2,58,1,1,240,214,20:42,Sun,4,4,,PHI,L 24-26,22,38,16,57.9,2,0,5.3,0.0,105.9,2,5,5.0,9.0,8.55,10.05,9.55,15.5,42,5.1,1,17,31,54.8,1,1,2,0,90.8,13,400,53,7.55,74,6.14,1,2:46
53,LAC,2017-10-08,258,3,124,0,1,183,152,31:45,Sun,5,5,@,NYG,W 27-22,21,44,23,47.7,3,1,6.8,2.3,79.5,0,0,0.0,5.9,5.86,6.2,6.2,12.3,25,6.1,1,21,36,58.3,2,5,42,1,78.8,29,382,73,5.23,66,5.08,1,3:26
54,LAC,2017-10-15,263,1,80,1,1,165,109,32:03,Sun,6,6,@,LVR,W 17-16,25,36,11,69.4,1,0,2.8,0.0,100.2,1,5,2.7,7.3,7.11,7.86,7.65,10.5,22,5.0,1,21,30,70.0,1,1,6,2,66.7,28,343,65,5.28,53,5.17,1,2:50
55,LAC,2017-10-22,162,2,80,0,0,182,69,28:56,Sun,7,7,,DEN,W 21-0,15,26,11,57.7,2,0,7.7,0.0,105.1,3,21,10.34,6.2,5.59,7.77,6.97,10.8,19,3.6,0,25,35,71.4,0,5,25,1,71.4,26,242,55,4.4,59,4.25,0,2:53
56,LAC,2017-10-29,192,1,157,1,1,317,97,23:01,Sun,8,8,@,NWE,L 13-21,17,30,13,56.7,1,1,3.3,3.3,76.0,1,20,3.23,6.4,6.19,5.57,5.39,11.3,32,3.0,0,32,47,68.1,1,3,16,0,94.0,21,349,52,6.71,82,5.05,1,2:59
57,LAC,2017-11-12,235,2,87,0,2,263,135,31:47,Sun,9,10,@,JAX,L 17-20 (OT),21,37,16,56.8,2,1,5.4,2.7,82.6,0,0,0.0,6.4,6.35,6.22,6.22,11.2,27,5.0,1,28,51,54.9,1,3,10,2,59.5,30,322,67,4.81,81,4.91,2,3:43
58,LAC,2017-11-19,283,2,146,2,0,220,173,36:05,Sun,10,11,,BUF,W 54-24,25,37,12,67.6,2,0,5.4,0.0,108.4,1,1,2.63,7.6,7.45,8.73,8.5,11.3,22,7.9,2,21,39,53.8,1,1,4,5,39.4,35,429,73,5.88,62,6.34,0,3:09
59,LAC,2017-11-23,434,3,81,0,0,168,79,36:05,Thu,11,12,@,DAL,W 28-6,27,33,6,81.8,3,0,9.1,0.0,149.1,0,0,0.0,13.2,13.15,14.97,14.97,16.1,20,4.0,1,20,27,74.1,0,2,11,2,58.9,33,515,66,7.8,49,5.04,0,2:49
60,LAC,2017-12-03,335,1,94,0,0,202,89,34:57,Sun,12,13,,CLE,W 19-10,31,43,12,72.1,1,0,2.3,0.0,103.2,1,9,2.27,7.8,7.61,8.26,8.07,10.8,22,4.0,0,15,32,46.9,1,3,13,1,64.8,25,429,69,6.22,57,5.11,0,3:02
61,LAC,2017-12-10,314,2,174,1,1,136,65,35:20,Sun,13,14,,WAS,W 30-13,19,34,15,55.9,2,1,5.9,2.9,95.5,2,8,5.56,9.2,8.72,9.09,8.58,16.5,21,3.1,0,15,27,55.6,1,2,15,1,66.3,35,488,71,6.87,50,4.02,1,2:59
62,LAC,2017-12-16,209,1,98,1,4,223,174,26:39,Sat,14,15,@,KAN,L 13-30,20,36,16,55.6,1,3,2.8,8.3,49.2,2,18,5.26,5.8,5.5,2.61,2.47,10.5,32,5.4,1,23,30,76.7,2,1,8,0,119.2,22,307,60,5.12,63,6.3,4,3:09
63,LAC,2017-12-24,290,1,89,1,0,98,197,32:58,Sun,15,16,@,NYJ,W 14-7,22,40,18,55.0,1,0,2.5,0.0,86.5,0,0,0.0,7.3,7.25,7.75,7.75,13.2,30,6.6,1,15,28,53.6,0,3,21,1,46.4,30,379,70,5.41,61,4.84,0,3:03
64,LAC,2017-12-31,380,3,115,0,0,231,105,33:20,Sun,16,17,,LVR,W 30-10,28,37,9,75.7,3,0,8.1,0.0,135.8,1,7,2.63,10.3,10.0,11.89,11.58,13.6,23,4.6,0,19,28,67.9,1,2,12,1,90.0,30,495,68,7.28,53,6.34,0,2:57
65,LAC,2018-09-09,418,3,123,0,2,256,106,34:26,Sun,1,1,,KAN,L 28-38,34,51,17,66.7,3,1,5.9,2.0,103.7,1,6,1.92,8.2,8.04,8.49,8.33,12.3,27,3.9,0,15,27,55.6,4,1,0,0,127.5,22,541,74,7.31,55,6.58,2,3:08
66,LAC,2018-09-16,240,3,109,1,0,209,84,33:02,Sun,2,2,@,BUF,W 31-20,23,27,4,85.2,3,0,11.1,0.0,143.2,2,16,6.9,8.9,8.28,11.11,10.34,10.4,22,3.8,1,18,33,54.5,1,5,36,2,58.8,26,349,55,6.35,60,4.88,0,3:07
67,LAC,2018-09-23,215,2,141,1,2,350,171,25:44,Sun,3,3,@,LAR,L 23-35,18,30,12,60.0,2,0,6.7,0.0,105.7,2,11,6.25,7.2,6.72,8.5,7.97,11.9,35,4.9,1,29,36,80.6,3,1,4,1,123.4,20,356,52,6.85,72,7.24,2,2:57
68,LAC,2018-09-30,242,3,126,0,1,288,76,32:26,Sun,4,4,,SFO,W 29-27,25,39,14,64.1,3,1,7.7,2.6,97.2,1,8,2.5,6.2,6.05,6.59,6.43,9.7,21,3.6,0,23,37,62.2,2,1,10,2,81.8,27,368,67,5.49,59,6.17,1,3:13
69,LAC,2018-10-07,333,2,79,1,0,248,41,34:40,Sun,5,5,,LVR,W 26-10,22,27,5,81.5,2,0,7.4,0.0,143.4,1,6,3.57,12.3,11.89,13.81,13.32,15.1,13,3.2,0,24,33,72.7,1,3,20,1,91.5,31,412,59,6.98,49,5.9,0,2:49
70,LAC,2018-10-14,203,2,246,3,1,214,103,31:37,Sun,6,6,@,CLE,W 38-14,12,21,9,57.1,2,1,9.5,4.8,104.3,1,12,4.55,9.7,9.23,9.43,9.0,16.9,21,4.9,0,22,46,47.8,1,5,24,2,50.5,36,449,58,7.74,72,4.4,1,3:07
71,LAC,2018-10-21,297,2,47,0,0,226,164,24:37,Sun,7,7,,TEN,W 20-19,19,26,7,73.1,2,0,7.7,0.0,137.7,2,9,7.14,11.4,10.61,12.96,12.04,15.6,33,5.0,1,24,32,75.0,1,2,11,1,91.4,16,344,44,7.82,67,5.82,0,2:54
72,LAC,2018-11-04,215,2,160,1,0,202,154,24:19,Sun,8,9,@,SEA,W 25-17,13,26,13,50.0,2,0,7.7,0.0,105.9,2,13,7.14,8.3,7.68,9.81,9.11,16.5,32,4.8,0,26,39,66.7,2,4,33,1,85.6,22,375,50,7.5,75,4.75,0,3:06
73,LAC,2018-11-11,222,2,113,0,1,203,114,28:50,Sun,9,10,@,LVR,W 20-6,18,26,8,69.2,2,1,7.7,3.8,105.1,1,1,3.7,8.5,8.22,8.35,8.04,12.3,22,5.2,0,24,37,64.9,0,4,40,0,79.0,26,335,53,6.32,63,5.03,1,2:51
74,LAC,2018-11-18,384,2,95,0,2,217,108,37:49,Sun,10,11,,DEN,L 22-23,28,43,15,65.1,2,2,4.7,4.7,91.3,3,17,6.52,8.9,8.35,7.77,7.26,13.7,19,5.7,3,20,33,60.6,0,0,0,0,80.0,26,479,72,6.65,52,6.25,2,3:10
75,LAC,2018-11-25,236,3,178,3,1,87,62,35:18,Sun,11,12,,ARI,W 45-10,28,32,4,87.5,3,0,9.4,0.0,131.6,4,23,11.11,7.4,6.56,9.25,8.22,8.4,24,2.6,0,12,19,63.2,1,2,18,1,69.4,30,414,66,6.27,45,3.31,1,2:45
76,LAC,2018-12-02,286,2,85,1,0,271,65,31:12,Sun,12,13,@,PIT,W 33-30,26,36,10,72.2,2,0,5.6,0.0,115.4,2,13,5.26,7.9,7.53,9.06,8.58,11.0,17,3.8,2,29,45,64.4,2,1,10,1,86.4,22,371,60,6.18,63,5.33,0,3:10
77,LAC,2018-12-09,203,1,85,1,0,151,144,27:22,Sun,13,14,,CIN,W 26-21,19,29,10,65.5,1,0,3.4,0.0,99.8,2,17,6.45,7.0,6.55,7.69,7.19,10.7,32,4.5,1,18,27,66.7,1,3,19,0,93.3,25,288,56,5.14,62,4.76,0,2:58
78,LAC,2018-12-13,288,2,119,2,2,234,60,33:16,Thu,14,15,@,KAN,W 29-28,26,38,12,68.4,2,2,5.3,5.3,89.0,5,25,11.63,7.6,6.7,6.26,5.53,11.1,17,3.5,2,24,34,70.6,2,2,9,0,109.2,24,407,67,6.07,53,5.55,2,3:09
79,LAC,2018-12-22,147,0,51,1,3,202,159,28:35,Sat,15,16,,BAL,L 10-22,23,37,14,62.2,0,2,0.0,5.4,51.7,4,34,9.76,4.0,3.59,1.54,1.39,6.4,35,4.5,0,12,22,54.5,1,3,2,0,100.9,16,198,57,3.47,60,6.02,3,2:56
80,LAC,2018-12-30,160,1,116,1,4,288,82,28:12,Sun,16,17,@,DEN,W 23-9,14,24,10,58.3,1,2,4.2,8.3,60.4,1,16,4.0,6.7,6.4,3.75,3.6,11.4,25,3.3,0,31,48,64.6,1,1,4,1,79.2,30,276,55,5.02,74,5.0,4,3:03
81,LAC,2019-09-08,310,3,125,1,2,173,203,32:50,Sun,1,1,,IND,W 30-24 (OT),25,34,9,73.5,3,1,8.8,2.9,121.3,4,23,10.53,9.1,8.16,9.56,8.55,12.4,33,6.2,1,21,27,77.8,2,2,17,0,118.1,21,435,59,7.37,62,6.06,2,3:04
82,LAC,2019-09-15,287,0,137,1,2,245,94,31:19,Sun,2,2,@,DET,L 10-13,21,36,15,58.3,0,1,0.0,2.8,73.0,1,6,2.7,8.0,7.76,6.72,6.54,13.7,28,3.4,0,22,30,73.3,2,0,0,2,91.7,25,424,62,6.84,58,5.84,2,2:55
83,LAC,2019-09-22,293,2,73,0,1,337,39,31:48,Sun,3,3,,HOU,L 20-27,31,46,15,67.4,2,0,4.3,0.0,101.5,5,25,9.8,6.4,5.75,7.24,6.53,9.5,19,2.1,1,25,34,73.5,3,2,14,0,134.1,18,366,69,5.3,55,6.84,1,3:17
84,LAC,2019-09-29,311,2,79,1,0,161,72,37:36,Sun,4,4,@,MIA,W 30-10,25,31,6,80.6,2,0,6.5,0.0,130.8,1,6,3.13,10.0,9.72,11.32,10.97,12.4,18,4.0,0,17,24,70.8,1,5,19,1,85.6,33,390,65,6.0,47,4.96,0,2:52
