Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
16,SFO,2014-12-28,0,3,10,78,3,21,2,1,41.7,40.0,Sun,16,17,,ARI,W 20-17,18,8,9,1,12,5,41.7,0,0,,397,3,10,78,3,21,13,99,2,2,2,1,1,0,395,60,6.58,67,5.93,0,29:24,3:03,26,7,17,2,10,4,40.0,0,0,,2,2,2,2,2,0,0,0
17,SFO,2015-09-14,1,1,8,57,5,25,2,1,41.7,11.1,Mon,1,1,,MIN,W 20-3,25,14,8,3,12,5,41.7,0,0,,248,1,8,57,5,25,13,82,0,0,0,2,1,0,395,66,5.98,54,4.59,1,33:02,2:49,17,5,11,1,9,1,11.1,2,0,0.0,2,2,2,3,2,0,0,0
18,SFO,2015-09-20,1,0,7,46,7,58,1,0,41.2,60.0,Sun,2,2,@,PIT,L 18-43,27,7,18,2,17,7,41.2,5,3,60.0,453,0,7,46,7,58,14,104,6,4,3,0,0,0,409,82,4.99,52,8.71,1,36:59,3:04,21,6,14,1,10,6,60.0,0,0,,2,1,1,1,1,1,1,0
19,SFO,2015-09-27,4,1,6,45,4,24,0,1,33.3,46.2,Sun,3,3,@,ARI,L 7-47,10,7,3,0,12,4,33.3,0,0,,446,1,6,45,4,24,10,69,6,6,6,1,1,1,156,50,3.12,70,6.37,4,23:28,2:53,28,9,15,4,13,6,46.2,1,1,100.0,1,1,1,0,0,0,0,0
20,SFO,2015-10-04,1,0,4,30,8,65,1,1,30.8,33.3,Sun,4,4,,GNB,L 3-17,8,1,7,0,13,4,30.8,1,0,0.0,362,0,4,30,8,65,12,95,2,2,2,2,1,0,196,50,3.92,68,5.32,1,23:26,2:50,18,9,8,1,15,5,33.3,2,2,100.0,0,0,0,1,1,0,0,0
21,SFO,2015-10-11,0,1,4,28,6,65,2,3,57.1,64.3,Sun,5,5,@,NYG,L 27-30,22,8,11,3,14,8,57.1,0,0,,525,1,4,28,6,65,10,93,3,3,3,3,3,0,380,64,5.94,75,7.00,0,28:02,3:05,30,6,23,1,14,9,64.3,0,0,,3,3,3,2,2,0,0,0
22,SFO,2015-10-18,0,2,4,25,3,15,4,2,38.5,30.8,Sun,6,6,,BAL,W 25-20,15,2,11,2,13,5,38.5,0,0,,420,2,4,25,3,15,7,40,2,2,2,3,2,0,391,55,7.11,75,5.60,0,26:53,3:01,25,9,16,0,13,4,30.8,1,1,100.0,2,1,1,4,4,1,0,0
23,SFO,2015-10-22,0,2,4,33,6,50,1,2,9.1,38.5,Thu,7,7,,SEA,L 3-20,8,3,5,0,11,1,9.1,0,0,,388,2,4,33,6,50,10,83,2,2,2,2,2,0,142,45,3.16,70,5.54,0,21:55,2:53,21,11,9,1,13,5,38.5,1,1,100.0,0,0,0,1,1,0,0,0
24,SFO,2015-11-01,0,1,13,93,12,93,2,1,17.6,8.3,Sun,8,8,@,STL,L 6-27,11,1,8,2,17,3,17.6,1,0,0.0,388,1,13,93,12,93,25,186,3,2,2,2,1,1,189,65,2.91,64,6.06,0,28:02,3:24,16,7,5,4,12,1,8.3,0,0,,0,0,0,2,2,0,0,0
25,SFO,2015-11-08,2,0,5,30,6,63,1,3,40.0,33.3,Sun,9,9,,ATL,W 17-16,18,8,8,2,15,6,40.0,2,2,100.0,302,0,5,30,6,63,11,93,1,1,1,3,3,0,318,64,4.97,61,4.95,2,27:52,3:05,17,2,15,0,15,5,33.3,0,0,,2,2,2,1,1,0,0,0
26,SFO,2015-11-22,0,0,5,42,8,51,2,1,18.2,57.1,Sun,10,11,@,SEA,L 13-29,14,3,11,0,11,2,18.2,0,0,,508,0,5,42,8,51,13,93,4,4,2,1,1,0,306,52,5.88,75,6.77,0,22:21,3:06,28,14,14,0,14,8,57.1,0,0,,1,1,1,2,2,0,0,0
27,SFO,2015-11-29,2,0,13,81,7,47,2,2,0.0,50.0,Sun,11,12,,ARI,L 13-19,17,3,14,0,9,0,0.0,2,1,50.0,337,0,13,81,7,47,20,128,2,2,1,2,2,0,368,55,6.69,70,4.81,2,22:33,3:03,26,5,14,7,14,7,50.0,1,0,0.0,1,1,1,2,2,0,0,0
28,SFO,2015-12-06,0,1,6,50,8,72,0,2,43.8,47.1,Sun,12,13,@,CHI,W 26-20 (OT),13,7,6,0,16,7,43.8,0,0,,364,1,6,50,8,72,14,122,2,2,2,4,2,0,291,59,4.93,74,4.92,0,24:46,3:19,20,12,8,0,17,8,47.1,0,0,,4,3,2,0,0,0,0,0
29,SFO,2015-12-13,0,2,5,40,8,71,1,1,15.4,50.0,Sun,13,14,@,CLE,L 10-24,15,4,8,3,13,2,15.4,3,1,33.3,481,2,5,40,8,71,13,111,3,3,3,2,1,0,221,54,4.09,74,6.50,0,22:21,2:59,28,11,14,3,12,6,50.0,0,0,,1,1,1,1,1,0,0,0
