,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
16,CHI,2014-12-28,0,1,8,50,4,25,3,2,26.7,53.3,Sun,16,17,@,MIN,L 9-13,12,5,7,0,15,4,26.7,3,2,66.7,311,1,8,50,4,25,12,75,1,1,1,2,2,0,264,59,4.47,61,5.10,0,31:33,2:53,15,6,9,0,15,8,53.3,1,0,0.0,0,0,0,4,3,0,0,0
17,CHI,2015-09-13,1,0,6,64,10,74,3,1,64.7,60.0,Sun,1,1,,GNB,L 23-31,25,10,12,3,17,11,64.7,3,2,66.7,322,0,6,64,10,74,16,138,4,4,4,1,1,0,402,71,5.66,53,6.08,1,31:52,3:15,21,10,10,1,10,6,60.0,1,1,100.0,2,2,2,3,3,0,0,0
18,CHI,2015-09-20,2,2,14,170,8,58,3,0,16.7,55.6,Sun,2,2,,ARI,L 23-48,18,8,7,3,12,2,16.7,1,0,0.0,300,2,14,170,8,58,22,228,7,7,6,0,0,0,335,62,5.40,52,5.77,2,29:56,3:18,21,6,12,3,9,5,55.6,1,1,100.0,2,2,2,3,3,0,0,0
19,CHI,2015-09-27,0,0,6,40,5,41,0,4,23.1,31.3,Sun,3,3,@,SEA,L 0-26,7,5,2,0,13,3,23.1,0,0,,371,0,6,40,5,41,11,81,2,2,2,4,4,0,146,46,3.17,63,5.89,0,27:24,2:54,17,5,12,0,16,5,31.3,2,2,100.0,0,0,0,0,0,0,0,0
20,CHI,2015-10-04,3,2,7,48,5,47,3,2,58.8,46.2,Sun,4,4,,OAK,W 22-20,23,4,17,2,17,10,58.8,1,1,100.0,266,2,7,48,5,47,12,95,2,2,2,2,2,0,371,75,4.95,57,4.67,3,33:22,3:18,16,3,12,1,13,6,46.2,0,0,,2,2,1,3,3,0,0,0
21,CHI,2015-10-11,1,0,6,49,3,49,2,1,42.9,35.7,Sun,5,5,@,KAN,W 18-17,21,5,14,2,14,6,42.9,1,0,0.0,287,0,6,49,3,49,9,98,2,2,2,3,1,0,328,73,4.49,58,4.95,1,33:37,3:14,16,6,9,1,14,5,35.7,0,0,,2,0,0,2,2,2,0,0
22,CHI,2015-10-18,1,3,9,76,10,98,4,3,42.9,52.9,Sun,6,6,@,DET,L 34-37 (OT),24,7,13,4,14,6,42.9,0,0,,546,3,9,76,10,98,19,174,4,4,4,3,3,0,444,73,6.08,76,7.18,1,33:34,3:55,26,6,17,3,17,9,52.9,1,1,100.0,3,2,2,4,4,1,1,0
23,CHI,2015-11-01,0,1,4,38,4,35,2,3,25.0,41.7,Sun,7,8,,MIN,L 20-23,18,6,11,1,12,3,25.0,1,1,100.0,327,1,4,38,4,35,8,73,2,2,2,3,3,0,305,59,5.17,56,5.84,0,32:42,2:58,17,8,7,2,12,5,41.7,0,0,,2,2,2,3,2,0,0,0
24,CHI,2015-11-09,2,1,6,55,8,54,0,2,60.0,53.8,Mon,8,9,@,SDG,W 22-19,25,5,20,0,15,9,60.0,0,0,,339,1,6,55,8,54,14,109,2,2,1,2,2,0,446,70,6.37,63,5.38,2,33:35,3:06,19,5,12,2,13,7,53.8,1,0,0.0,3,2,2,2,0,1,1,0
25,CHI,2015-11-15,2,2,4,44,8,57,3,2,25.0,28.6,Sun,9,10,@,STL,W 37-13,17,8,8,1,12,3,25.0,1,1,100.0,285,2,4,44,8,57,12,101,1,1,1,2,2,0,397,63,6.30,59,4.83,2,34:22,3:14,12,4,7,1,14,4,28.6,2,0,0.0,4,4,4,3,3,0,0,0
26,CHI,2015-11-22,2,0,0,0,8,118,3,1,33.3,42.9,Sun,10,11,,DEN,L 15-17,19,5,9,5,12,4,33.3,1,0,0.0,389,0,0,0,8,118,8,118,2,2,2,1,1,0,347,59,5.88,68,5.72,2,26:47,3:01,21,7,14,0,14,6,42.9,1,0,0.0,1,0,0,3,3,1,0,0
27,CHI,2015-11-26,0,2,12,95,3,38,1,2,35.7,27.3,Thu,11,12,@,GNB,W 17-13,17,4,12,1,14,5,35.7,0,0,,365,2,12,95,3,38,15,133,1,1,1,2,2,0,290,63,4.60,73,5.00,0,31:12,3:18,23,9,9,5,11,3,27.3,2,0,0.0,2,2,2,1,1,0,0,0
28,CHI,2015-12-06,1,0,8,72,6,50,2,0,47.1,43.8,Sun,12,13,,SFO,L 20-26 (OT),20,12,8,0,17,8,47.1,0,0,,291,0,8,72,6,50,14,122,4,3,2,0,0,0,364,74,4.92,59,4.93,1,37:24,3:19,13,7,6,0,16,7,43.8,0,0,,2,2,2,4,2,0,0,0
29,CHI,2015-12-13,1,1,7,79,8,63,0,1,45.5,58.3,Sun,13,14,,WAS,L 21-24,20,4,14,2,11,5,45.5,0,0,,374,1,7,79,8,63,15,142,3,3,3,1,1,0,377,56,6.73,67,5.58,1,25:38,3:01,24,10,13,1,12,7,58.3,0,0,,3,3,3,1,0,0,0,0
30,CHI,2015-12-20,2,0,6,39,4,45,1,1,41.7,66.7,Sun,14,15,@,MIN,L 17-38,21,7,13,1,12,5,41.7,1,1,100.0,350,0,6,39,4,45,10,84,5,5,5,1,1,0,293,62,4.73,57,6.14,2,27:50,2:50,20,8,10,2,12,8,66.7,0,0,,2,2,2,1,1,0,0,0
31,CHI,2015-12-27,0,3,3,25,4,47,4,0,40.0,25.0,Sun,15,16,@,TAM,W 26-21,21,12,7,2,15,6,40.0,0,0,,389,3,3,25,4,47,7,72,3,3,3,1,0,0,327,67,4.88,55,7.07,0,37:03,3:01,19,5,14,0,8,2,25.0,0,0,,2,2,2,4,4,0,0,0
32,CHI,2016-01-03,3,0,1,15,4,21,2,1,58.3,40.0,Sun,16,17,,DET,L 20-24,16,6,10,0,12,7,58.3,0,0,,349,0,1,15,4,21,5,36,3,3,3,2,1,0,342,52,6.58,64,5.45,3,27:30,2:46,22,4,18,0,10,4,40.0,1,0,0.0,2,2,2,2,2,0,0,0
33,CHI,2016-09-11,1,1,4,30,6,69,0,3,30.8,60.0,Sun,1,1,@,HOU,L 14-23,14,3,10,1,13,4,30.8,2,0,0.0,344,1,4,30,6,69,10,99,2,2,2,3,3,0,258,54,4.78,72,4.78,1,23:41,2:58,17,5,12,0,20,12,60.0,0,0,,2,2,2,0,0,0,0,0
34,CHI,2016-09-19,3,0,7,60,5,34,0,3,40.0,20.0,Mon,2,2,,PHI,L 14-29,16,6,9,1,10,4,40.0,1,0,0.0,280,0,7,60,5,34,12,94,3,3,2,3,3,0,284,50,5.68,68,4.12,3,23:55,3:02,21,7,12,2,15,3,20.0,3,3,100.0,2,2,2,1,0,0,0,0
35,CHI,2016-09-25,2,1,6,45,4,45,1,1,20.0,45.5,Sun,3,3,@,DAL,L 17-31,21,3,18,0,10,2,20.0,1,1,100.0,447,1,6,45,4,45,10,90,4,4,4,2,1,0,390,64,6.09,65,6.88,2,24:41,3:08,25,14,10,1,11,5,45.5,1,1,100.0,2,2,2,1,1,0,0,0
36,CHI,2016-10-02,0,2,8,55,10,76,1,2,38.5,33.3,Sun,4,4,,DET,W 17-14,23,6,16,1,13,5,38.5,1,0,0.0,263,2,8,55,10,76,18,131,1,0,0,2,2,0,408,67,6.09,56,4.70,0,33:14,3:00,16,5,9,2,12,4,33.3,0,0,,2,2,2,2,1,0,0,0
37,CHI,2016-10-09,1,0,10,80,9,68,3,5,22.2,25.0,Sun,5,5,@,IND,L 23-29,25,7,17,1,9,2,22.2,1,0,0.0,396,0,10,80,9,68,19,148,2,2,2,5,5,0,522,62,8.42,65,6.09,1,30:05,3:08,20,5,14,1,12,3,25.0,1,1,100.0,2,2,2,4,3,0,0,0
38,CHI,2016-10-16,0,2,10,87,5,50,3,1,41.2,20.0,Sun,6,6,,JAX,L 16-17,22,5,16,1,17,7,41.2,1,0,0.0,317,2,10,87,5,50,15,137,2,2,2,1,1,0,389,77,5.05,55,5.76,0,35:47,3:02,20,3,12,5,10,2,20.0,0,0,,1,1,1,3,3,0,0,0
39,CHI,2016-10-20,2,1,10,108,9,56,1,2,25.0,56.3,Thu,7,7,@,GNB,L 10-26,13,3,9,1,8,2,25.0,0,0,,406,1,10,108,9,56,19,164,3,3,2,3,2,0,189,45,4.20,81,5.01,2,20:24,3:12,32,5,21,6,16,9,56.3,2,1,50.0,1,1,1,1,1,0,0,0
40,CHI,2016-10-31,0,0,2,20,1,10,2,1,50.0,15.4,Mon,8,8,,MIN,W 20-10,19,7,12,0,14,7,50.0,0,0,,258,0,2,20,1,10,3,30,1,1,1,1,1,0,403,61,6.61,60,4.30,0,32:41,2:56,15,1,13,1,13,2,15.4,2,2,100.0,2,2,2,2,2,0,0,0
41,CHI,2016-11-13,4,1,9,74,9,85,1,2,18.2,53.3,Sun,9,10,@,TAM,L 10-36,15,6,8,1,11,2,18.2,0,0,,360,1,9,74,9,85,18,159,4,4,4,2,2,1,283,54,5.24,68,5.29,4,22:51,3:23,22,2,17,3,15,8,53.3,0,0,,1,1,1,1,1,0,0,0
42,CHI,2016-11-20,1,0,5,40,4,35,1,1,33.3,35.7,Sun,10,11,@,NYG,L 16-22,17,6,10,1,12,4,33.3,0,0,,329,0,5,40,4,35,9,75,3,3,1,1,1,0,315,59,5.34,65,5.06,1,30:29,3:07,19,7,11,1,14,5,35.7,2,2,100.0,2,2,1,2,1,0,0,0
43,CHI,2016-11-27,2,0,7,48,6,118,0,2,52.9,45.5,Sun,11,12,,TEN,L 21-27,25,3,20,2,17,9,52.9,3,1,33.3,375,0,7,48,6,118,13,166,3,3,3,2,2,0,411,76,5.41,52,7.21,2,30:35,3:08,18,7,9,2,11,5,45.5,0,0,,3,3,3,0,0,0,0,0
44,CHI,2016-12-04,1,0,5,40,11,106,1,2,42.9,28.6,Sun,12,13,,SFO,W 26-6,19,8,9,2,14,6,42.9,0,0,,147,0,5,40,11,106,16,146,0,0,0,2,2,0,326,59,5.53,55,2.67,1,31:18,2:57,10,7,2,1,14,4,28.6,0,0,,3,3,3,1,1,0,0,1
45,CHI,2016-12-11,0,2,11,139,7,55,1,2,40.0,50.0,Sun,13,14,@,DET,L 17-20,16,5,10,1,10,4,40.0,1,0,0.0,323,2,11,139,7,55,18,194,2,2,2,2,2,0,296,50,5.92,66,4.89,0,25:43,2:56,25,7,13,5,12,6,50.0,0,0,,2,2,2,1,1,0,0,0
46,CHI,2016-12-18,4,0,6,40,8,64,2,3,37.5,30.0,Sun,14,15,,GNB,L 27-30,29,5,21,3,8,3,37.5,0,0,,451,0,6,40,8,64,14,104,3,3,3,3,3,0,449,63,7.13,58,7.78,4,27:13,3:15,20,9,9,2,10,3,30.0,1,0,0.0,3,3,3,2,2,0,0,0
47,CHI,2016-12-24,5,0,4,52,7,73,0,2,70.0,61.5,Sat,15,16,,WAS,L 21-41,31,10,18,3,10,7,70.0,1,1,100.0,478,0,4,52,7,73,11,125,5,5,5,2,2,0,458,67,6.84,64,7.47,5,27:25,3:10,21,10,9,2,13,8,61.5,1,0,0.0,3,3,3,1,0,0,0,0
48,CHI,2017-01-01,5,1,6,49,2,15,1,1,22.2,50.0,Sun,16,17,@,MIN,L 10-38,19,10,9,0,9,2,22.2,2,1,50.0,374,1,6,49,2,15,8,64,5,5,5,1,1,0,323,59,5.47,62,6.03,5,29:48,2:47,21,5,15,1,12,6,50.0,1,0,0.0,1,1,1,1,1,0,0,0
49,CHI,2017-09-10,0,0,4,40,8,73,1,3,38.5,45.5,Sun,1,1,,ATL,L 17-23,20,6,11,3,13,5,38.5,2,1,50.0,372,0,4,40,8,73,12,113,2,2,2,3,3,0,301,63,4.78,55,6.76,0,29:26,2:54,18,4,12,2,11,5,45.5,0,0,,2,2,2,1,1,0,0,0
50,CHI,2017-09-17,4,1,8,59,4,34,0,3,50.0,53.3,Sun,2,2,@,TAM,L 7-29,19,1,16,2,14,7,50.0,2,0,0.0,311,1,8,59,4,34,12,93,3,3,2,3,3,0,310,62,5.00,67,4.64,4,26:49,2:55,22,6,13,3,15,8,53.3,0,0,,1,1,1,0,0,0,0,0
51,CHI,2017-09-24,2,2,10,73,6,40,1,1,33.3,36.4,Sun,3,3,,PIT,W 23-17 (OT),18,13,4,1,12,4,33.3,0,0,,282,2,10,73,6,40,16,113,2,2,2,2,1,0,306,62,4.94,59,4.78,2,33:59,3:21,19,6,11,2,11,4,36.4,0,0,,3,2,2,2,1,0,0,0
52,CHI,2017-09-28,4,0,8,62,7,55,0,0,41.7,50.0,Thu,4,4,@,GNB,L 14-35,20,7,11,2,12,5,41.7,2,2,100.0,260,0,8,62,7,55,15,117,5,5,5,0,0,0,308,64,4.81,53,4.91,4,31:51,3:52,17,5,9,3,14,7,50.0,1,1,100.0,2,2,2,1,0,0,0,0
53,CHI,2017-10-09,2,0,8,55,9,69,0,2,25.0,40.0,Mon,5,5,,MIN,L 17-20,16,5,7,4,12,3,25.0,1,1,100.0,300,0,8,55,9,69,17,124,2,2,2,2,2,0,274,56,4.89,67,4.48,2,28:36,3:10,17,5,10,2,15,6,40.0,0,0,,2,1,1,0,0,1,1,1
54,CHI,2017-10-15,2,3,5,44,8,69,2,3,29.4,16.7,Sun,6,6,@,BAL,W 27-24 (OT),18,10,5,3,17,5,29.4,0,0,,291,3,5,44,8,69,13,113,2,1,1,3,3,0,342,75,4.56,70,4.16,2,36:45,3:26,16,5,9,2,18,3,16.7,1,1,100.0,3,3,3,2,2,0,0,0
55,CHI,2017-10-22,0,3,5,40,4,35,1,1,18.2,40.0,Sun,7,7,,CAR,W 17-3,5,3,2,0,11,2,18.2,0,0,,293,3,5,40,4,35,9,75,0,0,0,1,1,0,153,37,4.14,69,4.25,0,21:25,2:45,20,7,12,1,15,6,40.0,1,0,0.0,2,2,2,2,1,0,0,0
56,CHI,2017-10-29,1,2,4,31,7,51,2,2,47.1,22.2,Sun,8,8,@,NOR,L 12-20,17,6,9,2,17,8,47.1,1,0,0.0,387,2,4,31,7,51,11,82,2,2,2,2,2,0,307,65,4.72,60,6.45,1,28:37,3:08,19,7,11,1,9,2,22.2,0,0,,1,0,0,3,2,1,0,0
57,CHI,2017-11-12,1,0,8,78,5,35,3,3,28.6,43.8,Sun,9,10,,GNB,L 16-23,14,1,12,1,14,4,28.6,1,0,0.0,342,0,8,78,5,35,13,113,2,2,2,4,3,0,323,57,5.67,65,5.26,1,26:07,3:03,18,6,10,2,16,7,43.8,1,1,100.0,1,1,1,3,3,0,0,0
58,CHI,2017-11-19,1,1,5,64,6,49,1,2,33.3,30.0,Sun,10,11,,DET,L 24-27,24,11,11,2,9,3,33.3,1,1,100.0,352,1,5,64,6,49,11,113,3,3,3,2,2,0,398,61,6.52,58,6.07,1,29:24,3:07,20,4,14,2,10,3,30.0,0,0,,3,3,3,2,1,0,0,0
59,CHI,2017-11-26,2,3,9,56,11,70,1,1,23.1,43.8,Sun,11,12,@,PHI,L 3-31,8,1,6,1,13,3,23.1,2,0,0.0,420,3,9,56,11,70,20,126,3,4,4,1,1,0,140,49,2.86,73,5.75,2,22:52,3:07,24,8,14,2,16,7,43.8,4,3,75.0,0,0,0,2,1,0,0,0
60,CHI,2017-12-03,0,1,4,29,8,53,0,5,50.0,55.6,Sun,12,13,,SFO,L 14-15,8,2,6,0,10,5,50.0,0,0,,388,1,4,29,8,53,12,82,0,0,0,5,5,0,147,36,4.08,73,5.32,0,21:13,2:52,23,6,16,1,18,10,55.6,0,0,,2,2,2,0,0,0,0,0
61,CHI,2017-12-10,0,2,10,74,7,56,2,0,36.4,25.0,Sun,13,14,@,CIN,W 33-7,29,13,14,2,11,4,36.4,2,1,50.0,234,2,10,74,7,56,17,130,1,1,1,0,0,0,482,72,6.69,53,4.42,0,38:09,3:10,14,3,9,2,12,3,25.0,2,0,0.0,4,4,3,2,2,0,0,0
62,CHI,2017-12-16,3,1,13,97,8,58,1,2,41.7,46.2,Sat,14,15,@,DET,L 10-20,22,4,16,2,12,5,41.7,1,0,0.0,293,1,13,97,8,58,21,155,2,2,2,2,2,0,349,63,5.54,57,5.14,3,30:55,3:04,18,1,13,4,13,6,46.2,0,0,,1,1,1,1,1,0,0,0
63,CHI,2017-12-24,0,3,4,25,8,60,0,1,43.8,30.8,Sun,15,16,,CLE,W 20-3,16,7,7,2,16,7,43.8,1,1,100.0,254,3,4,25,8,60,12,85,0,0,0,1,1,0,258,59,4.37,57,4.46,0,33:14,2:59,12,4,8,0,13,4,30.8,1,0,0.0,3,3,2,0,0,0,0,0
64,CHI,2017-12-31,0,0,10,116,12,103,1,0,8.3,38.5,Sun,16,17,@,MIN,L 10-23,12,2,7,3,12,1,8.3,2,0,0.0,327,0,10,116,12,103,22,219,3,3,3,1,0,1,201,53,3.79,67,4.88,0,24:05,3:05,21,8,9,4,13,5,38.5,0,0,,1,1,1,1,1,0,0,0
65,CHI,2018-09-09,1,2,5,35,8,72,3,1,41.2,38.5,Sun,1,1,@,GNB,L 23-24,18,7,8,3,17,7,41.2,2,0,0.0,370,2,5,35,8,72,13,107,3,3,3,1,1,0,294,66,4.45,59,6.27,1,33:22,3:07,16,2,14,0,13,5,38.5,1,0,0.0,2,2,2,3,3,0,0,0
66,CHI,2018-09-17,2,2,7,55,5,37,1,1,41.7,38.5,Mon,2,2,,SEA,W 24-17,20,7,11,2,12,5,41.7,1,1,100.0,276,2,7,55,5,37,12,92,2,2,2,1,1,0,271,63,4.30,64,4.31,2,34:24,2:59,17,6,10,1,13,5,38.5,0,0,,3,3,3,1,1,0,0,0
67,CHI,2018-09-23,2,4,7,45,6,43,3,0,35.7,30.0,Sun,3,3,@,ARI,W 16-14,21,7,11,3,14,5,35.7,1,1,100.0,221,4,7,45,6,43,13,88,2,2,2,0,0,0,316,69,4.58,48,4.60,2,36:21,3:07,13,3,8,2,10,3,30.0,1,0,0.0,1,1,1,4,3,0,0,0
68,CHI,2018-09-30,0,3,4,38,11,99,2,1,50.0,25.0,Sun,4,4,,TAM,W 48-10,28,10,15,3,8,4,50.0,0,0,,311,3,4,38,11,99,15,137,1,1,1,1,1,0,483,58,8.33,60,5.18,0,28:06,2:57,16,3,12,1,12,3,25.0,2,2,100.0,6,6,6,2,2,0,0,0
69,CHI,2018-10-14,3,3,6,58,7,67,0,3,66.7,47.1,Sun,5,6,@,MIA,L 28-31 (OT),23,8,11,4,12,8,66.7,1,0,0.0,541,3,6,58,7,67,13,125,3,2,2,3,3,0,467,64,7.30,75,7.21,3,33:25,3:33,23,6,15,2,17,8,47.1,0,0,,4,4,4,1,0,0,0,0
70,CHI,2018-10-21,2,3,5,40,7,64,1,1,50.0,46.2,Sun,6,7,,NWE,L 31-38,29,7,18,4,16,8,50.0,1,1,100.0,381,3,5,40,7,64,12,104,5,5,5,1,1,0,453,77,5.88,64,5.95,2,30:09,3:21,21,5,15,1,13,6,46.2,1,1,100.0,4,4,4,1,1,0,0,0
71,CHI,2018-10-28,0,0,2,25,8,45,1,1,33.3,21.4,Sun,7,8,,NYJ,W 24-10,22,10,11,1,12,4,33.3,1,1,100.0,207,0,2,25,8,45,10,70,1,1,1,1,1,0,395,65,6.08,54,3.83,0,32:44,3:00,12,3,8,1,14,3,21.4,1,1,100.0,3,3,3,2,1,0,0,0
72,CHI,2018-11-04,1,4,14,129,10,163,2,1,27.3,33.3,Sun,8,9,@,BUF,W 41-9,11,4,5,2,11,3,27.3,0,0,,264,4,14,129,10,163,24,292,1,0,0,1,1,0,190,46,4.13,81,3.26,1,25:57,3:10,22,6,9,7,18,6,33.3,3,1,33.3,5,5,5,2,2,0,0,0
