,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
16,CIN,2014-12-28,3,3,5,45,1,10,1,2,42.9,27.3,Sun,16,17,@,PIT,L 17-27,19,7,12,0,14,6,42.9,3,2,66.7,346,3,5,45,1,10,6,55,3,3,3,2,2,0,337,70,4.81,57,6.07,3,34:58,3:00,18,1,14,3,11,3,27.3,1,0,0.0,2,2,2,2,1,0,0,0
17,CIN,2015-09-13,0,2,6,50,5,32,2,0,30.8,25.0,Sun,1,1,@,OAK,W 33-13,22,7,13,2,13,4,30.8,1,1,100.0,246,2,6,50,5,32,11,82,2,1,1,0,0,0,396,65,6.09,61,4.03,0,32:32,3:02,16,1,13,2,12,3,25.0,3,2,66.7,4,4,3,2,2,0,0,0
18,CIN,2015-09-20,2,3,9,75,8,64,1,2,40.0,36.4,Sun,2,2,,SDG,W 24-19,20,9,8,3,10,4,40.0,0,0,,354,3,9,75,8,64,17,139,2,1,1,3,2,0,389,62,6.27,56,6.32,2,29:51,3:06,19,6,12,1,11,4,36.4,0,0,,3,3,3,2,1,0,0,0
19,CIN,2015-09-27,2,1,9,67,13,116,0,1,53.3,43.8,Sun,3,3,@,BAL,W 28-24,23,6,13,4,15,8,53.3,2,1,50.0,398,1,9,67,13,116,22,183,3,3,3,2,1,0,458,65,7.05,67,5.94,2,30:08,3:27,19,4,13,2,16,7,43.8,3,2,66.7,4,4,4,0,0,0,0,0
20,CIN,2015-10-04,0,1,11,84,7,46,0,7,60.0,43.8,Sun,4,4,,KAN,W 36-21,18,8,10,0,10,6,60.0,0,0,,461,1,11,84,7,46,18,130,0,0,0,7,7,0,445,50,8.90,73,6.32,0,23:07,3:17,24,8,13,3,16,7,43.8,0,0,,5,4,4,1,0,1,1,0
21,CIN,2015-10-11,2,1,7,50,10,112,2,1,40.0,38.5,Sun,5,5,,SEA,W 27-24 (OT),27,6,18,3,15,6,40.0,0,0,,397,1,7,50,10,112,17,162,3,3,3,1,1,0,419,79,5.30,57,6.96,2,40:49,3:19,16,7,9,0,13,5,38.5,0,0,,3,3,3,2,2,0,0,0
22,CIN,2015-10-18,0,1,3,20,8,93,2,0,58.3,38.5,Sun,6,6,@,BUF,W 34-21,21,5,15,1,12,7,58.3,0,0,,368,1,3,20,8,93,11,113,3,3,3,0,0,0,355,61,5.82,67,5.49,0,30:00,3:09,22,9,13,0,13,5,38.5,2,1,50.0,4,4,4,2,2,0,0,0
23,CIN,2015-11-01,2,3,10,94,10,91,3,1,26.7,27.3,Sun,7,8,@,PIT,W 16-10,16,3,11,2,15,4,26.7,0,0,,356,3,10,94,10,91,20,185,1,1,1,1,1,0,296,64,4.63,67,5.31,2,29:51,3:22,21,3,15,3,11,3,27.3,0,0,,1,1,1,4,3,0,0,0
24,CIN,2015-11-05,0,0,2,20,4,28,1,1,57.1,30.8,Thu,8,9,,CLE,W 31-10,23,8,13,2,14,8,57.1,1,1,100.0,213,0,2,20,4,28,6,48,1,1,1,1,1,0,371,66,5.62,53,4.02,0,36:03,2:51,13,4,9,0,13,4,30.8,2,1,50.0,4,4,4,1,1,0,0,0
25,CIN,2015-11-16,2,1,9,70,5,54,2,1,28.6,33.3,Mon,9,10,,HOU,L 6-10,16,5,9,2,14,4,28.6,1,0,0.0,256,1,9,70,5,54,14,124,1,1,1,1,1,0,256,62,4.13,61,4.20,2,31:26,2:57,16,4,10,2,15,5,33.3,1,0,0.0,0,0,0,2,2,0,0,0
26,CIN,2015-11-22,1,2,10,108,7,40,1,2,38.5,45.5,Sun,10,11,@,ARI,L 31-34,24,6,14,4,13,5,38.5,1,1,100.0,383,2,10,108,7,40,17,148,4,4,4,2,2,0,377,71,5.31,58,6.60,1,31:15,3:18,21,2,15,4,11,5,45.5,0,0,,4,4,4,1,1,0,0,0
27,CIN,2015-11-29,1,3,3,35,7,45,1,0,30.0,40.0,Sun,11,12,,STL,W 31-7,19,6,12,1,10,3,30.0,1,0,0.0,345,3,3,35,7,45,10,80,1,1,1,0,0,0,376,59,6.37,71,4.86,1,30:07,2:51,19,3,14,2,15,6,40.0,3,1,33.3,4,4,4,1,1,0,0,0
28,CIN,2015-12-06,0,2,5,55,7,84,3,1,41.7,46.2,Sun,12,13,@,CLE,W 37-3,20,9,9,2,12,5,41.7,3,2,66.7,273,2,5,55,7,84,12,139,0,0,0,2,1,0,377,56,6.73,60,4.55,0,30:58,2:58,18,5,10,3,13,6,46.2,2,0,0.0,4,4,4,3,3,0,0,0
29,CIN,2015-12-13,3,1,4,27,5,82,2,4,37.5,57.1,Sun,13,14,,PIT,L 20-33,22,5,14,3,8,3,37.5,0,0,,354,1,4,27,5,82,9,109,3,3,3,4,4,0,385,56,6.88,69,5.13,3,24:13,3:10,22,7,13,2,14,8,57.1,0,0,,2,2,2,3,2,0,0,0
30,CIN,2015-12-20,1,4,6,45,11,98,1,0,28.6,14.3,Sun,14,15,@,SFO,W 24-14,14,5,7,2,14,4,28.6,1,0,0.0,318,4,6,45,11,98,17,143,2,2,2,1,0,0,242,61,3.97,71,4.48,1,30:59,3:17,17,4,12,1,14,2,14.3,2,2,100.0,3,3,3,1,1,0,0,0
31,CIN,2015-12-28,1,1,6,45,5,40,1,2,58.8,36.4,Mon,15,16,@,DEN,L 17-20 (OT),22,6,14,2,17,10,58.8,0,0,,390,1,6,45,5,40,11,85,2,2,2,3,2,0,294,70,4.20,63,6.19,1,37:28,3:22,22,5,13,4,11,4,36.4,0,0,,2,2,2,2,1,0,0,0
32,CIN,2016-01-03,0,2,11,72,4,38,1,3,0.0,60.0,Sun,16,17,,BAL,W 24-16,17,5,11,1,9,0,0.0,1,1,100.0,341,2,11,72,4,38,15,110,1,1,1,3,3,0,292,57,5.12,78,4.37,0,30:44,3:17,22,2,18,2,20,12,60.0,2,0,0.0,3,3,3,1,1,0,0,0
33,CIN,2016-09-11,1,1,5,44,7,95,3,3,27.3,33.3,Sun,1,1,@,NYJ,W 23-22,18,5,11,2,11,3,27.3,0,0,,340,1,5,44,7,95,12,139,2,2,1,4,3,0,381,56,6.80,66,5.15,1,25:07,3:01,22,8,11,3,12,4,33.3,0,0,,2,2,2,4,3,0,0,0
34,CIN,2016-09-18,2,2,5,31,5,54,3,1,25.0,41.2,Sun,2,2,@,PIT,L 16-24,21,1,17,3,16,4,25.0,1,1,100.0,374,2,5,31,5,54,10,85,3,3,3,1,1,0,412,73,5.64,74,5.05,2,27:05,3:14,19,6,12,1,17,7,41.2,1,0,0.0,1,1,1,3,3,0,0,0
35,CIN,2016-09-25,2,1,9,69,5,41,1,1,41.7,50.0,Sun,3,3,,DEN,L 17-29,20,7,12,1,12,5,41.7,1,0,0.0,355,1,9,69,5,41,14,110,4,3,2,1,1,0,332,64,5.19,60,5.92,2,32:06,3:05,21,3,13,5,12,6,50.0,0,0,,2,2,2,1,1,0,0,0
