Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
111,WAS,2020-12-27,278,1,108,0,4,167,113,24:24,Sun,15,16,,CAR,L 13-20,26,47,21,55.3,1,2,2.1,4.3,63.3,3,13,6.0,5.9,5.56,4.43,4.16,10.7,35,3.2,1,19,28,67.9,1,4,30,1,80.5,19,386,69,5.59,67,4.18,4,3:01
112,WAS,2021-01-03,145,2,103,0,2,98,118,30:48,Sun,16,17,@,PHI,W 20-14,22,32,10,68.8,2,2,6.3,6.3,75.3,3,17,8.57,4.5,4.14,2.97,2.71,6.6,29,4.1,2,13,33,39.4,0,3,21,2,22.2,27,248,62,4.0,65,3.32,2,3:02
113,WAS,2021-09-12,133,1,126,0,1,334,90,23:57,Sun,1,1,,LAC,L 16-20,14,21,7,66.7,1,0,4.8,0.0,100.3,1,2,4.55,6.3,6.05,7.29,6.95,9.5,29,3.1,1,31,47,66.0,1,2,3,1,84.9,27,259,49,5.29,78,5.44,1,2:55
114,WAS,2021-09-16,320,2,87,1,1,228,163,28:16,Thu,2,2,,NYG,W 30-29,34,46,12,73.9,2,1,4.3,2.2,99.5,1,16,2.13,7.0,6.81,6.85,6.7,9.4,28,5.8,1,22,32,68.8,1,4,21,0,99.5,22,407,69,5.9,64,6.11,1,3:19
115,WAS,2021-09-26,212,2,78,1,3,359,122,24:23,Sun,3,3,@,BUF,L 21-43,14,24,10,58.3,2,2,8.3,8.3,80.6,1,0,4.0,8.8,8.48,6.75,6.48,15.1,33,3.7,1,33,44,75.0,4,0,0,0,128.9,25,290,50,5.8,77,6.25,3,3:06
116,WAS,2021-10-03,290,3,122,1,0,275,99,29:17,Sun,4,4,@,ATL,W 34-30,23,33,10,69.7,3,0,9.1,0.0,127.1,1,0,2.94,8.8,8.53,10.61,10.29,12.6,28,3.5,0,25,42,59.5,4,1,8,0,110.7,28,412,62,6.65,71,5.27,0,3:20
117,WAS,2021-10-10,242,0,131,2,2,271,98,36:26,Sun,5,5,,NOR,L 22-33,20,41,21,48.8,0,2,0.0,4.9,47.6,2,6,4.65,5.9,5.63,3.71,3.53,12.1,23,4.3,1,15,30,50.0,4,2,8,1,107.1,33,373,76,4.91,55,6.71,2,3:15
118,WAS,2021-10-17,182,1,94,0,2,390,109,26:07,Sun,6,6,,KAN,L 13-31,24,39,15,61.5,1,1,2.6,2.6,70.7,0,0,0.0,4.7,4.67,4.03,4.03,7.6,28,3.9,2,32,47,68.1,2,3,7,2,89.8,19,276,58,4.76,78,6.4,2,3:05
119,WAS,2021-10-24,235,1,195,0,2,247,57,32:54,Sun,7,7,@,GNB,L 10-24,25,37,12,67.6,1,1,2.7,2.7,86.3,4,33,9.76,6.4,5.73,5.68,5.12,9.4,15,3.8,0,27,35,77.1,3,3,27,0,124.3,29,430,70,6.14,53,5.74,2,3:07
120,WAS,2021-10-31,230,1,112,0,2,190,83,31:50,Sun,8,8,@,DEN,L 10-17,24,39,15,61.5,1,2,2.6,5.1,69.4,5,40,11.36,5.9,5.23,4.1,3.64,9.6,21,4.0,1,19,26,73.1,1,4,23,0,106.2,24,342,68,5.03,51,5.35,2,2:56
121,WAS,2021-11-14,226,1,94,2,1,220,53,39:08,Sun,9,10,,TAM,W 29-19,26,32,6,81.3,1,0,3.1,0.0,110.4,5,30,13.51,7.1,6.11,7.69,6.65,8.7,13,4.1,0,23,34,67.6,2,0,0,2,80.5,34,320,71,4.51,47,5.81,1,2:59
122,WAS,2021-11-21,179,3,190,0,1,186,111,35:53,Sun,10,11,@,CAR,W 27-21,16,22,6,72.7,3,0,13.6,0.0,141.3,3,27,12.0,8.1,7.16,10.86,9.56,11.2,21,5.3,1,21,27,77.8,2,1,3,0,120.1,40,369,65,5.68,49,6.06,1,3:06
123,WAS,2021-11-29,219,1,152,1,1,233,34,41:25,Mon,11,12,,SEA,W 17-15,27,35,8,77.1,1,1,2.9,2.9,90.5,1,4,2.78,6.3,6.08,5.54,5.39,8.1,12,2.8,0,20,31,64.5,2,2,14,0,108.7,43,371,79,4.7,45,5.93,1,3:09
124,WAS,2021-12-05,186,2,112,0,1,234,76,33:43,Sun,12,13,@,LVR,W 17-15,23,30,7,76.7,2,1,6.7,3.3,101.5,1,10,3.23,6.2,6.0,6.03,5.84,8.1,16,4.8,1,28,38,73.7,0,2,15,0,89.1,30,298,61,4.89,56,5.54,1,3:01
125,WAS,2021-12-12,124,1,100,1,4,201,122,25:31,Sun,13,14,,DAL,L 20-27,15,34,19,44.1,1,1,2.9,2.9,57.8,5,51,12.82,3.6,3.18,2.91,2.54,8.3,35,3.5,0,22,39,56.4,1,4,10,2,57.7,23,224,62,3.61,78,4.14,4,3:29
126,WAS,2021-12-21,174,0,63,2,0,281,238,24:43,Tue,14,15,@,PHI,L 17-27,20,31,11,64.5,0,0,0.0,0.0,81.9,2,20,6.06,5.6,5.27,5.61,5.27,8.7,41,5.8,2,20,26,76.9,1,3,15,1,108.0,21,237,54,4.39,70,7.41,0,3:01
127,WAS,2021-12-26,172,2,85,0,2,389,108,28:29,Sun,15,16,@,DAL,L 14-56,15,32,17,46.9,2,2,6.3,6.3,60.4,5,16,13.51,5.4,4.65,3.81,3.3,11.5,28,3.9,1,30,42,71.4,5,3,11,0,139.8,20,257,57,4.51,73,6.81,2,3:05
128,WAS,2022-01-02,218,0,94,1,1,212,118,27:51,Sun,16,17,,PHI,L 16-20,27,36,9,75.0,0,1,0.0,2.8,81.6,3,29,7.69,6.1,5.59,4.81,4.44,8.1,34,3.5,2,17,26,65.4,0,1,2,0,90.5,22,312,61,5.11,61,5.41,1,2:46
129,WAS,2022-01-09,99,0,226,1,0,83,94,32:17,Sun,17,18,@,NYG,W 22-7,9,18,9,50.0,0,0,0.0,0.0,71.5,3,21,14.29,5.5,4.71,5.5,4.71,11.0,25,3.8,0,15,31,48.4,1,3,20,2,38.8,37,325,58,5.6,59,3.0,0,2:50
130,WAS,2022-09-11,305,4,85,0,3,260,123,33:33,Sun,1,1,,JAX,W 28-22,27,41,14,65.9,4,2,9.8,4.9,101.0,1,8,2.38,7.4,7.26,7.2,7.02,11.3,18,6.8,1,24,42,57.1,1,2,15,1,73.5,28,390,70,5.57,62,6.18,3,3:19
131,WAS,2022-09-18,308,3,88,1,1,234,191,32:03,Sun,2,2,@,DET,L 27-36,30,46,16,65.2,3,1,6.5,2.2,99.6,5,29,9.8,6.7,6.04,7.02,6.33,10.3,24,8.0,0,20,34,58.8,4,3,22,0,119.0,21,396,72,5.5,61,6.97,1,3:07
132,WAS,2022-09-25,153,0,87,1,1,328,72,32:54,Sun,3,3,,PHI,L 8-24,25,43,18,58.1,0,0,0.0,0.0,71.0,9,58,17.31,3.6,2.94,3.56,2.94,6.1,30,2.4,0,22,35,62.9,3,3,12,0,122.1,22,240,74,3.24,68,5.88,1,3:11
133,WAS,2022-10-02,155,1,142,0,2,217,62,33:06,Sun,4,4,@,DAL,L 10-25,25,42,17,59.5,1,2,2.4,4.8,56.6,2,15,4.55,3.7,3.52,2.02,1.93,6.2,29,2.1,0,15,27,55.6,2,1,6,0,106.6,27,297,71,4.18,57,4.89,2,3:08
134,WAS,2022-10-09,342,2,43,0,1,136,105,27:20,Sun,5,5,,TEN,L 17-21,25,38,13,65.8,2,1,5.3,2.6,102.9,3,17,7.32,9.0,8.34,8.87,8.22,13.7,32,3.3,2,15,25,60.0,1,5,45,0,88.1,17,385,58,6.64,62,3.89,1,3:12
135,WAS,2022-10-13,86,0,128,1,0,154,237,27:48,Thu,6,6,@,CHI,W 12-7,12,22,10,54.5,0,0,0.0,0.0,66.3,3,13,12.0,3.9,3.44,3.91,3.44,7.2,37,6.4,0,14,27,51.9,1,5,36,1,66.0,28,214,53,4.04,69,5.67,0,2:51
136,WAS,2022-10-23,198,2,166,0,1,194,38,37:07,Sun,7,7,,GNB,W 23-21,20,33,13,60.6,2,1,6.1,3.0,85.5,1,3,2.94,6.0,5.82,5.85,5.68,9.9,12,3.2,0,23,35,65.7,2,0,0,0,99.0,38,364,72,5.06,47,4.94,1,3:21
137,WAS,2022-10-30,266,1,96,1,1,189,135,30:40,Sun,8,8,@,IND,W 17-16,23,31,8,74.2,1,1,3.2,3.2,98.7,2,13,6.06,8.6,8.06,7.77,7.3,11.6,29,4.7,1,17,23,73.9,0,2,12,0,97.9,28,362,61,5.93,54,6.0,1,2:50
138,WAS,2022-11-06,126,2,137,0,1,245,56,30:47,Sun,9,9,,MIN,L 17-20,15,28,13,53.6,2,1,7.1,3.6,77.8,3,23,9.68,4.5,4.06,4.32,3.9,8.4,22,2.5,0,23,41,56.1,2,2,17,1,79.8,30,263,61,4.31,65,4.63,1,3:08
139,WAS,2022-11-14,178,0,152,2,2,170,94,40:24,Mon,10,10,@,PHI,W 32-21,17,29,12,58.6,0,1,0.0,3.4,66.9,3,33,9.38,6.1,5.56,4.59,4.16,10.5,20,4.7,1,17,26,65.4,2,1,5,1,93.4,49,330,81,4.07,47,5.62,2,2:54
140,WAS,2022-11-20,191,0,153,1,0,127,21,34:56,Sun,11,11,@,HOU,W 23-10,15,27,12,55.6,0,0,0.0,0.0,77.9,0,0,0.0,7.1,7.07,7.07,7.07,12.7,16,1.3,1,19,33,57.6,0,5,42,2,40.8,40,344,67,5.13,54,2.74,0,2:54
141,WAS,2022-11-27,138,2,176,0,1,165,167,33:09,Sun,12,12,,ATL,W 19-13,14,23,9,60.9,2,1,8.7,4.3,88.7,0,0,0.0,6.0,6.0,5.78,5.78,9.9,29,5.8,0,15,25,60.0,1,1,9,1,76.2,37,314,60,5.23,55,6.04,1,2:47
142,WAS,2022-12-04,246,2,165,0,1,182,134,41:11,Sun,13,13,@,NYG,T 20-20 (OT),27,41,14,65.9,2,0,4.9,0.0,101.2,5,29,10.87,6.0,5.35,6.98,6.22,9.1,30,4.5,1,25,31,80.6,1,4,18,0,101.9,36,411,82,5.01,65,4.86,1,3:22
143,WAS,2022-12-18,228,1,159,0,2,160,128,29:30,Sun,14,15,,NYG,L 12-20,17,29,12,58.6,1,0,3.4,0.0,98.2,3,21,9.38,7.9,7.13,8.55,7.75,13.4,30,4.3,1,21,32,65.6,0,0,0,0,77.6,26,387,58,6.67,62,4.65,2,3:07
144,WAS,2022-12-24,270,3,79,0,2,218,153,33:35,Sat,15,16,@,SFO,L 20-37,25,34,9,73.5,3,1,8.8,2.9,115.9,2,19,5.56,7.9,7.5,8.38,7.92,10.8,26,5.9,2,15,22,68.2,2,3,16,1,111.6,33,349,69,5.06,51,7.27,2,3:10
145,WAS,2023-01-01,124,0,136,1,3,155,146,33:32,Sun,16,17,,CLE,L 10-24,16,28,12,57.1,0,3,0.0,10.7,31.4,3,19,9.68,4.4,4.0,-0.39,-0.35,7.8,30,4.9,0,9,18,50.0,3,5,14,0,119.2,37,260,68,3.82,53,5.68,3,2:49
146,WAS,2023-01-08,158,1,151,1,1,118,64,36:12,Sun,17,18,,DAL,W 26-6,11,19,8,57.9,1,1,5.3,5.3,83.0,3,11,13.64,8.3,7.18,7.0,6.05,14.4,27,2.4,0,14,38,36.8,1,1,10,1,43.5,41,309,63,4.9,66,2.76,1,3:03
147,WAS,2023-09-10,156,1,92,1,3,114,96,31:24,Sun,1,1,,ARI,W 20-16,19,31,12,61.3,1,1,3.2,3.2,77.6,6,46,16.22,5.0,4.22,4.23,3.54,8.2,25,3.8,0,21,30,70.0,0,3,18,0,76.2,28,248,65,3.82,58,3.62,3,3:08
148,WAS,2023-09-17,266,2,122,2,0,277,122,33:45,Sun,2,2,@,DEN,W 35-33,27,39,12,69.2,2,0,5.1,0.0,108.8,4,33,9.3,6.8,6.19,7.85,7.12,9.9,23,5.3,1,18,32,56.3,3,7,31,1,103.3,23,388,66,5.88,62,6.44,0,3:19
