Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Dallas Cowboys,Los Angeles Rams,1,387,280,1,1
Green Bay Packers,Minnesota Vikings,0,270,346,1,1
Tennessee Titans,Atlanta Falcons,1,375,342,1,1
Indianapolis Colts,New Orleans Saints,0,371,511,1,1
Pittsburgh Steelers,Jacksonville Jaguars,0,261,377,2,3
Miami Dolphins,New England Patriots,1,390,218,2,1
New York Giants,New York Jets,0,194,251,0,2
Washington Commanders,Philadelphia Eagles,0,472,374,1,2
Seattle Seahawks,Cleveland Browns,1,362,385,2,3
San Francisco 49ers,Cincinnati Bengals,0,460,400,3,1
Arizona Cardinals,Baltimore Ravens,0,310,268,2,0
Denver Broncos,Kansas City Chiefs,1,240,274,1,5
Los Angeles Chargers,Chicago Bears,1,352,295,1,2
Detroit Lions,Las Vegas Raiders,1,486,157,3,1
Pittsburgh Steelers,Tennessee Titans,1,326,340,0,1
Kansas City Chiefs,Miami Dolphins,1,267,292,1,1
Cleveland Browns,Arizona Cardinals,1,326,58,0,3
Green Bay Packers,Los Angeles Rams,1,391,187,2,2
Houston Texans,Tampa Bay Buccaneers,1,496,332,1,1
Atlanta Falcons,Minnesota Vikings,0,370,363,2,2
New Orleans Saints,Chicago Bears,1,301,368,0,5
New England Patriots,Washington Commanders,0,327,432,1,2
Baltimore Ravens,Seattle Seahawks,1,515,151,2,2
Carolina Panthers,Indianapolis Colts,0,275,198,3,1
Philadelphia Eagles,Dallas Cowboys,1,292,406,0,1
Las Vegas Raiders,New York Giants,1,334,277,0,2
Cincinnati Bengals,Buffalo Bills,1,397,317,0,2
New York Jets,Los Angeles Chargers,0,270,191,3,0
Chicago Bears,Carolina Panthers,1,295,213,0,0
New England Patriots,Indianapolis Colts,0,340,264,2,1
Cincinnati Bengals,Houston Texans,0,380,544,2,3
Baltimore Ravens,Cleveland Browns,0,306,373,2,2
Pittsburgh Steelers,Green Bay Packers,1,324,399,0,2
Jacksonville Jaguars,San Francisco 49ers,0,221,437,4,0
Tampa Bay Buccaneers,Tennessee Titans,1,340,209,1,1
Minnesota Vikings,New Orleans Saints,1,388,280,0,2
Los Angeles Chargers,Detroit Lions,0,421,533,1,0
Arizona Cardinals,Atlanta Falcons,1,352,254,1,0
Dallas Cowboys,New York Giants,1,640,172,2,1
Seattle Seahawks,Washington Commanders,1,489,356,0,1
Las Vegas Raiders,New York Jets,1,274,365,2,1
Buffalo Bills,Denver Broncos,0,369,300,4,1
Baltimore Ravens,Cincinnati Bengals,1,405,272,0,0
Carolina Panthers,Dallas Cowboys,0,187,311,2,0
Cleveland Browns,Pittsburgh Steelers,1,259,249,1,0
Green Bay Packers,Los Angeles Chargers,1,397,394,0,1
Jacksonville Jaguars,Tennessee Titans,1,389,235,0,2
Miami Dolphins,Las Vegas Raiders,1,422,296,3,3
Detroit Lions,Chicago Bears,1,338,334,4,1
Houston Texans,Arizona Cardinals,1,419,319,3,2
Washington Commanders,New York Giants,0,404,292,6,0
San Francisco 49ers,Tampa Bay Buccaneers,1,420,287,0,2
Los Angeles Rams,Seattle Seahawks,1,267,291,1,1
Buffalo Bills,New York Jets,1,393,155,1,4
Denver Broncos,Minnesota Vikings,1,295,385,0,3
Kansas City Chiefs,Philadelphia Eagles,0,336,238,2,1
Detroit Lions,Green Bay Packers,0,464,377,3,0
Dallas Cowboys,Washington Commanders,1,431,376,0,1
Seattle Seahawks,San Francisco 49ers,0,220,377,2,1
New York Jets,Miami Dolphins,0,159,395,2,3
Atlanta Falcons,New Orleans Saints,1,396,444,2,2
Tennessee Titans,Carolina Panthers,1,264,258,0,1
Cincinnati Bengals,Pittsburgh Steelers,0,222,421,1,1
Indianapolis Colts,Tampa Bay Buccaneers,1,394,298,1,2
Houston Texans,Jacksonville Jaguars,0,352,445,0,1
New York Giants,New England Patriots,1,220,283,1,3
Denver Broncos,Cleveland Browns,1,294,269,1,3
Arizona Cardinals,Los Angeles Rams,0,292,457,0,1
Las Vegas Raiders,Kansas City Chiefs,0,358,360,0,0
Philadelphia Eagles,Buffalo Bills,1,378,505,2,1
Los Angeles Chargers,Baltimore Ravens,0,279,361,4,0
Minnesota Vikings,Chicago Bears,0,242,317,4,2
Dallas Cowboys,Seattle Seahawks,1,411,406,0,1
New York Jets,Atlanta Falcons,0,259,194,3,0
Tennessee Titans,Indianapolis Colts,0,381,355,2,2
Houston Texans,Denver Broncos,1,353,282,0,3
New Orleans Saints,Detroit Lions,0,362,347,2,0
Washington Commanders,Miami Dolphins,0,245,406,1,0
New England Patriots,Los Angeles Chargers,0,257,241,1,0
