Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
103,GNB,2020-11-01,291,3,109,0,1,151,173,32:12,Sun,7,8,,MIN,L 22-28,27,41,14,65.9,3,0,7.3,0.0,110.9,1,0,2.38,7.1,6.93,8.56,8.36,10.8,34,5.1,3,11,14,78.6,1,1,9,0,135.4,24,400,66,6.06,49,6.61,1,3:11
104,GNB,2020-11-05,294,4,111,0,0,282,55,36:30,Thu,8,9,@,SFO,W 34-17,25,31,6,80.6,4,0,12.9,0.0,147.2,1,11,3.13,9.5,9.19,12.06,11.69,11.8,17,3.2,1,22,35,62.9,1,1,9,1,85.7,31,405,63,6.43,53,6.36,0,3:02
105,GNB,2020-11-15,315,2,80,1,2,151,109,31:41,Sun,9,10,,JAX,W 24-20,24,34,10,70.6,2,1,5.9,2.9,108.1,1,10,2.86,9.3,9.0,9.12,8.86,13.1,23,4.7,0,18,35,51.4,1,3,18,1,60.5,25,395,60,6.58,61,4.26,2,3:15
106,GNB,2020-11-22,301,3,66,1,4,280,140,27:49,Sun,10,11,@,IND,L 31-34 (OT),27,38,11,71.1,3,1,7.9,2.6,110.7,1,10,2.56,7.9,7.72,8.32,8.1,11.1,37,3.8,0,24,36,66.7,3,1,8,1,106.3,18,367,57,6.44,74,5.68,4,3:27
107,GNB,2020-11-29,211,4,182,1,0,229,121,37:44,Sun,11,12,,CHI,W 41-25,21,29,8,72.4,4,0,13.8,0.0,132.3,0,0,0.0,7.3,7.28,10.03,10.03,10.0,16,7.6,0,26,46,56.5,3,3,13,2,73.6,39,393,68,5.78,65,5.38,0,3:05
108,GNB,2020-12-06,288,3,149,1,0,161,117,31:39,Sun,12,13,,PHI,W 30-16,25,34,9,73.5,3,0,8.8,0.0,128.9,2,7,5.56,8.5,8.0,10.24,9.67,11.5,25,4.7,0,11,27,40.7,1,7,27,1,57.8,25,437,61,7.16,59,4.71,0,2:59
109,GNB,2020-12-13,290,3,120,1,0,242,51,35:30,Sun,13,14,@,DET,W 31-24,26,33,7,78.8,3,0,9.1,0.0,133.6,0,0,0.0,8.8,8.79,10.61,10.61,11.2,15,3.4,2,27,40,67.5,1,4,31,0,91.9,31,410,64,6.41,59,4.97,0,3:08
110,GNB,2020-12-19,96,1,195,2,0,249,115,29:09,Sat,14,15,,CAR,W 24-16,20,29,9,69.0,1,0,3.4,0.0,91.6,5,47,14.71,3.3,2.82,4.0,3.41,4.8,27,4.3,1,21,35,60.0,0,3,9,0,81.7,27,291,61,4.77,65,5.6,0,3:05
111,GNB,2020-12-27,214,4,234,2,1,104,156,36:37,Sun,15,16,,TEN,W 40-14,21,25,4,84.0,4,1,16.0,4.0,128.1,1,17,3.85,8.6,8.23,9.96,9.58,10.2,27,5.8,1,11,26,42.3,1,2,17,2,34.8,37,448,63,7.11,55,4.73,1,2:46
112,GNB,2021-01-03,237,4,79,1,1,248,108,24:32,Sun,16,17,@,CHI,W 35-16,19,24,5,79.2,4,0,16.7,0.0,147.9,1,3,4.0,9.9,9.48,13.21,12.68,12.5,31,3.5,1,33,42,78.6,0,1,4,1,81.3,19,316,44,7.18,74,4.81,1,2:54
