Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,KAN,2014-09-07,178,1,67,0,3,243,162,22:16,Sun,1,1,,TEN,L 10-26,19,35,16,54.3,1,3,2.9,8.6,45.2,4,24,10.26,5.1,4.56,1.8,1.62,9.4,38,4.3,0,22,33,66.7,2,4,23,0,108.5,17,245,56,4.38,75,5.4,3,3:22
2,KAN,2014-09-14,247,0,133,2,0,237,88,36:14,Sun,2,2,@,DEN,L 17-24,26,42,16,61.9,0,0,0.0,0.0,79.0,2,8,4.55,5.9,5.61,5.88,5.61,9.5,19,4.6,0,21,26,80.8,3,1,5,0,143.1,31,380,75,5.07,46,7.07,0,3:08
3,KAN,2014-09-21,168,3,174,2,2,191,141,33:42,Sun,3,3,@,MIA,W 34-15,19,25,6,76.0,3,0,12.0,0.0,136.0,5,18,16.67,6.7,5.6,9.12,7.6,8.8,20,7.1,0,21,43,48.8,1,4,14,0,69.0,41,342,71,4.82,67,4.96,2,3:01
4,KAN,2014-09-29,236,3,207,1,0,215,75,36:27,Mon,4,4,,NWE,W 41-14,20,26,6,76.9,3,0,11.5,0.0,144.4,2,12,7.14,9.1,8.43,11.38,10.57,11.8,16,4.7,0,20,30,66.7,2,3,14,2,81.9,38,443,66,6.71,49,5.92,0,2:48
5,KAN,2014-10-05,158,1,107,1,1,186,171,23:56,Sun,5,5,@,SFO,L 17-22,16,30,14,53.3,1,1,3.3,3.3,65.7,0,0,0.0,5.3,5.27,4.43,4.43,9.9,40,4.3,0,14,27,51.9,1,3,15,0,86.3,20,265,50,5.3,70,5.1,1,2:55
6,KAN,2014-10-19,211,1,154,1,0,182,69,39:00,Sun,6,7,@,LAC,W 23-20,19,28,9,67.9,1,0,3.6,0.0,103.4,3,10,9.68,7.5,6.81,8.25,7.45,11.1,16,4.3,0,17,31,54.8,2,2,23,1,80.3,39,365,70,5.21,49,5.12,0,3:04
7,KAN,2014-10-26,215,0,140,3,1,116,84,35:38,Sun,7,8,,LAR,W 34-7,25,29,4,86.2,0,0,0.0,0.0,98.7,2,8,6.45,7.4,6.94,7.41,6.94,8.6,19,4.4,0,15,25,60.0,1,7,44,1,68.1,33,355,64,5.55,51,3.92,1,2:59
8,KAN,2014-11-02,196,2,113,1,0,225,139,28:25,Sun,8,9,,NYJ,W 24-10,21,31,10,67.7,2,0,6.5,0.0,106.8,1,3,3.13,6.3,6.13,7.61,7.38,9.3,30,4.6,0,24,36,66.7,1,3,10,0,92.9,24,309,56,5.52,69,5.28,0,2:47
9,KAN,2014-11-09,151,0,127,2,1,253,111,29:18,Sun,9,10,@,BUF,W 17-13,17,29,12,58.6,0,0,0.0,0.0,76.4,6,26,17.14,5.2,4.31,5.21,4.31,8.9,22,5.0,0,29,48,60.4,1,1,6,0,81.3,24,278,59,4.71,71,5.13,1,3:02
10,KAN,2014-11-16,108,0,190,3,2,168,204,24:03,Sun,10,11,,SEA,W 24-20,11,16,5,68.8,0,0,0.0,0.0,87.5,0,0,0.0,6.8,6.75,6.75,6.75,9.8,37,5.5,0,20,32,62.5,2,2,10,0,96.9,30,298,46,6.48,71,5.24,2,3:04
