Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
144,CHI,2023-01-01,30,1,200,0,2,239,265,24:17,Sun,16,17,@,DET,L 10-41,7,21,14,33.3,1,1,4.8,4.8,40.8,7,45,25.0,1.4,1.07,0.24,0.18,4.3,39,6.8,2,21,29,72.4,3,2,16,0,131.2,22,230,50,4.6,70,7.2,2,2:54
145,CHI,2023-01-08,141,1,118,1,2,341,141,23:24,Sun,17,18,,MIN,L 13-29,13,27,14,48.1,1,2,3.7,7.4,46.4,1,6,3.57,5.2,5.04,2.63,2.54,10.8,38,3.7,2,28,33,84.8,1,0,0,1,107.2,22,259,50,5.18,71,6.79,2,2:56
146,CHI,2023-09-10,189,1,122,1,2,237,92,30:43,Sun,1,1,,GNB,L 20-38,24,37,13,64.9,1,1,2.7,2.7,78.2,4,27,9.76,5.1,4.61,4.43,4.0,7.9,32,2.9,1,15,27,55.6,3,1,8,0,122.0,29,311,70,4.44,60,5.48,2,3:10
147,CHI,2023-09-17,169,1,67,1,2,317,120,24:04,Sun,2,2,@,TAM,L 17-27,16,29,13,55.2,1,2,3.4,6.9,61.1,6,42,17.14,5.8,4.83,3.41,2.83,10.6,34,3.5,1,26,34,76.5,1,0,0,0,114.5,16,236,51,4.63,68,6.43,2,2:58
148,CHI,2023-09-24,87,1,116,0,2,303,153,23:47,Sun,3,3,@,KAN,L 10-41,11,22,11,50.0,1,1,4.5,4.5,58.7,3,12,12.0,4.0,3.48,2.82,2.48,7.9,37,4.1,2,27,38,71.1,3,0,0,2,98.9,26,203,51,3.98,75,6.08,2,2:55
149,CHI,2023-10-01,300,4,171,0,2,214,97,33:49,Sun,4,4,,DEN,L 28-31,28,35,7,80.0,4,1,11.4,2.9,132.7,4,35,10.26,8.6,7.69,9.57,8.59,10.7,19,5.1,0,21,28,75.0,3,1,9,0,132.1,31,471,70,6.73,48,6.48,2,2:55
150,CHI,2023-10-05,273,4,178,0,0,359,29,30:04,Thu,5,5,@,WAS,W 40-20,15,29,14,51.7,4,0,13.8,0.0,125.3,3,9,9.38,9.4,8.53,12.17,11.03,18.2,10,2.9,0,37,51,72.5,2,5,29,1,96.8,32,451,64,7.05,66,5.88,0,3:04
151,CHI,2023-10-15,113,0,162,1,3,174,46,35:11,Sun,6,6,,MIN,L 13-19,16,24,8,66.7,0,2,0.0,8.3,47.4,5,28,17.24,4.7,3.9,0.96,0.79,7.1,22,2.1,0,21,31,67.7,1,2,7,0,92.7,36,275,65,4.23,55,4.0,3,2:55
152,CHI,2023-10-22,150,1,173,2,0,196,39,34:06,Sun,7,7,,LVR,W 30-12,21,29,8,72.4,1,0,3.4,0.0,97.2,2,12,6.45,5.2,4.84,5.86,5.48,7.1,14,2.8,0,27,45,60.0,1,1,8,3,49.9,38,323,69,4.68,60,3.92,0,2:58
153,CHI,2023-10-29,222,0,73,2,2,298,54,28:32,Sun,8,8,@,LAC,L 13-30,25,37,12,67.6,0,2,0.0,5.4,62.0,1,10,2.63,6.0,5.84,3.57,3.47,8.9,25,2.2,0,31,40,77.5,3,0,0,0,122.7,25,295,63,4.68,65,5.42,2,2:55
154,CHI,2023-11-05,212,2,156,0,5,214,87,30:40,Sun,9,9,@,NOR,L 17-24,18,30,12,60.0,2,3,6.7,10.0,65.3,2,8,6.25,7.1,6.63,3.9,3.66,11.8,27,3.2,0,26,35,74.3,3,0,0,0,118.0,32,368,64,5.75,62,4.85,5,3:01
155,CHI,2023-11-09,162,0,133,1,0,170,43,33:31,Thu,10,10,,CAR,W 16-13,20,33,13,60.6,0,0,0.0,0.0,73.0,0,0,0.0,4.9,4.91,4.91,4.91,8.1,16,2.7,0,21,38,55.3,0,3,15,0,66.8,37,295,70,4.21,57,3.74,0,2:53
156,CHI,2023-11-19,151,1,183,1,1,223,115,40:24,Sun,11,11,@,DET,L 26-31,16,23,7,69.6,1,0,4.3,0.0,105.2,2,18,8.0,6.6,6.04,7.43,6.84,9.4,22,5.2,2,23,35,65.7,2,2,13,3,66.7,46,334,71,4.7,59,5.73,1,3:03
157,CHI,2023-11-27,199,0,118,0,2,169,73,35:50,Mon,12,12,@,MIN,W 12-10,27,37,10,73.0,0,0,0.0,0.0,87.3,3,18,7.5,5.4,4.98,5.38,4.98,7.4,17,4.3,0,22,32,68.8,1,2,16,4,52.2,28,317,68,4.66,51,4.75,2,2:51
158,CHI,2023-12-10,194,1,142,2,0,127,140,33:19,Sun,13,14,,DET,W 28-13,19,33,14,57.6,1,0,3.0,0.0,88.3,3,29,8.33,5.9,5.39,6.48,5.94,10.2,24,5.8,1,20,35,57.1,1,4,34,2,50.5,30,336,66,5.09,63,4.24,0,3:04
159,CHI,2023-12-17,148,1,88,0,3,348,29,29:00,Sun,14,15,@,CLE,L 17-20,19,40,21,47.5,1,2,2.5,5.0,46.5,3,18,6.98,3.7,3.44,1.95,1.81,7.8,18,1.6,0,29,45,64.4,2,4,31,3,75.0,27,236,70,3.37,67,5.63,3,3:21
160,CHI,2023-12-24,170,1,250,2,1,213,93,34:32,Sun,15,16,,ARI,W 27-16,15,27,12,55.6,1,1,3.7,3.7,71.5,1,0,3.57,6.3,6.07,5.37,5.18,11.3,20,4.7,0,24,38,63.2,2,2,17,0,95.6,39,420,67,6.27,60,5.1,1,2:59
161,CHI,2023-12-31,240,1,192,3,0,173,134,37:14,Sun,16,17,,ATL,W 37-17,20,32,12,62.5,1,0,3.1,0.0,99.5,3,28,8.57,7.5,6.86,8.13,7.43,12.0,24,5.6,1,13,33,39.4,1,2,7,4,27.3,37,432,72,6.0,59,5.2,0,3:15
162,CHI,2024-01-07,117,0,75,0,0,308,124,28:36,Sun,17,18,@,GNB,L 9-17,11,16,5,68.8,0,0,0.0,0.0,97.9,5,31,23.81,7.3,5.57,7.31,5.57,10.6,27,4.6,0,27,32,84.4,2,1,8,0,127.6,25,192,46,4.17,60,7.2,0,2:35
