Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
63,HOU,2017-12-25,51,1,176,0,2,226,104,29:04,Mon,15,16,,PIT,L 6-34,8,17,9,47.1,1,1,5.9,5.9,59.2,7,42,29.17,3.0,2.13,1.53,1.08,6.4,28,3.7,2,20,30,66.7,2,0,0,0,111.2,28,227,52,4.37,58,5.69,2,2:56
64,HOU,2017-12-31,124,0,85,1,1,104,146,28:47,Sun,16,17,@,IND,L 13-22,14,24,10,58.3,0,1,0.0,4.2,57.1,2,13,7.69,5.2,4.77,3.29,3.04,8.9,36,4.1,1,15,25,60.0,1,1,10,0,82.7,27,209,53,3.94,62,4.03,1,2:50
65,HOU,2018-09-09,158,1,167,1,2,267,122,28:50,Sun,1,1,@,NWE,L 20-27,17,34,17,50.0,1,1,2.9,2.9,62.9,3,18,8.11,4.6,4.27,3.91,3.59,9.3,31,3.9,0,26,39,66.7,3,2,10,1,101.1,34,325,71,4.58,72,5.4,2,3:12
66,HOU,2018-09-16,289,2,148,0,1,183,100,29:38,Sun,2,2,@,TEN,L 17-20,22,32,10,68.8,2,1,6.3,3.1,107.6,4,21,11.11,9.0,8.03,8.88,7.89,13.1,34,2.9,0,15,22,68.2,2,1,8,0,123.9,26,437,62,7.05,57,4.96,1,2:57
67,HOU,2018-09-23,368,2,59,0,2,265,114,24:30,Sun,3,3,,NYG,L 22-27,24,40,16,60.0,2,1,5.0,2.5,98.4,3,17,6.98,9.2,8.56,9.08,8.44,15.3,27,4.2,1,25,29,86.2,2,4,32,0,127.7,19,427,62,6.89,60,6.32,2,2:58
68,HOU,2018-09-30,347,2,119,1,1,437,41,40:04,Sun,4,4,@,IND,W 37-34 (OT),29,42,13,69.0,2,1,4.8,2.4,102.8,7,28,14.29,8.3,7.08,8.14,6.98,12.0,17,2.4,0,40,62,64.5,4,4,27,0,106.7,35,466,84,5.55,83,5.76,1,3:57
69,HOU,2018-10-07,374,1,88,0,2,194,98,36:38,Sun,5,5,,DAL,W 19-16 (OT),33,44,11,75.0,1,1,2.3,2.3,98.2,1,1,2.22,8.5,8.31,7.93,7.76,11.3,29,3.4,0,18,29,62.1,1,2,14,2,64.4,31,462,76,6.08,60,4.87,2,3:23
70,HOU,2018-10-14,142,1,74,0,3,129,100,27:00,Sun,6,6,,BUF,W 20-13,15,26,11,57.7,1,2,3.8,7.7,59.3,7,35,21.21,5.5,4.3,2.77,2.18,9.5,27,3.7,0,16,29,55.2,1,2,16,2,49.4,24,216,57,3.79,58,3.95,3,2:55
71,HOU,2018-10-21,131,1,141,1,0,189,70,29:35,Sun,7,7,@,JAX,W 20-7,12,24,12,50.0,1,0,4.2,0.0,81.8,1,8,4.0,5.5,5.24,6.29,6.04,10.9,22,3.2,0,27,42,64.3,1,4,28,1,72.4,37,272,62,4.39,68,3.81,0,2:52
72,HOU,2018-10-25,239,5,188,1,0,254,116,28:51,Thu,8,8,,MIA,W 42-23,16,20,4,80.0,5,0,25.0,0.0,156.0,0,0,0.0,12.0,11.95,16.95,16.95,14.9,25,4.6,1,22,38,57.9,1,2,15,1,76.0,35,427,55,7.76,65,5.69,0,3:21
73,HOU,2018-11-04,192,2,98,0,0,273,75,32:25,Sun,9,9,@,DEN,W 19-17,17,24,7,70.8,2,0,8.3,0.0,125.9,4,21,14.29,8.0,6.86,9.67,8.29,11.3,20,3.8,1,26,42,61.9,1,2,17,0,88.7,33,290,61,4.75,64,5.44,0,3:05
74,HOU,2018-11-18,181,1,139,0,3,154,124,29:03,Sun,10,11,@,WAS,W 23-21,16,24,8,66.7,1,2,4.2,8.3,72.9,3,27,11.11,7.5,6.7,4.63,4.11,11.3,29,4.3,2,18,39,46.2,1,5,35,2,44.2,31,320,58,5.52,73,3.81,3,3:03
75,HOU,2018-11-26,181,2,281,2,0,260,105,29:58,Mon,11,12,,TEN,W 34-17,19,24,5,79.2,2,0,8.3,0.0,130.9,4,29,14.29,7.5,6.46,9.21,7.89,9.5,23,4.6,0,22,23,95.7,2,6,43,0,142.8,34,462,62,7.45,52,7.02,0,2:44
76,HOU,2018-12-02,197,1,187,0,0,397,31,37:35,Sun,12,13,,CLE,W 29-13,22,31,9,71.0,1,0,3.2,0.0,102.1,4,27,11.43,6.4,5.63,7.0,6.2,9.0,9,3.4,1,29,43,67.4,1,0,0,3,75.4,39,384,74,5.19,52,8.23,0,3:02
77,HOU,2018-12-09,226,1,89,2,0,386,50,31:57,Sun,13,14,,IND,L 21-24,27,38,11,71.1,1,0,2.6,0.0,99.3,5,41,11.63,5.9,5.26,6.47,5.72,8.4,23,2.2,1,27,41,65.9,2,2,13,1,102.3,25,315,68,4.63,66,6.61,0,3:10
